<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
LIX,20180713,40.4,40.4,40.2,40.4,25710
LIX,20180712,40.1,40.4,40,40.2,15360
LIX,20180711,40.8,40.8,40.1,40.1,6750
LIX,20180710,40.8,41,40.3,40.3,3880
LIX,20180709,41.5,41.5,40.1,41,5230
LIX,20180706,40.5,40.5,40,40.5,28860
LIX,20180705,41.9,41.9,40,40,13690
LIX,20180704,41.9,41.9,41.9,41.9,20
LIX,20180703,41,42,40,41,9320
LIX,20180702,42.2,42.2,40.7,41,10480
LIX,20180629,42,42,41,41.7,1070
LIX,20180628,41.2,41.8,41.1,41.5,56490
LIX,20180627,42.4,42.4,41.5,42.2,2030
LIX,20180626,41.5,41.5,41,41.5,7030
LIX,20180625,41.2,42.5,41.1,41.2,2670
LIX,20180622,42,42,41.9,41.9,300
LIX,20180621,41.5,42.8,41.5,42,6680
LIX,20180620,42.1,42.1,41.6,42,4800
LIX,20180619,42.9,42.9,41.3,42.7,3140
LIX,20180618,41.9,41.9,41,41.7,2860
LIX,20180615,41.9,42,41.3,42,7880
LIX,20180614,41.5,41.9,41.35,41.9,7960
LIX,20180613,42.9,42.9,41.35,42,3740
LIX,20180612,41.6,41.6,41.35,41.35,5870
LIX,20180611,43.5,43.5,41.5,41.55,8090
LIX,20180608,42,42,41.5,41.5,2460
LIX,20180607,42,42,42,42,860
LIX,20180606,42,42,41.5,41.5,18030
LIX,20180605,42,42,41.4,41.5,8110
LIX,20180604,41.5,42.8,41.4,42,29820
LIX,20180601,42.5,44,41.5,41.8,47690
LIX,20180531,42.5,43,42.5,43,70
LIX,20180530,42.8,42.8,41.7,42.5,17670
LIX,20180529,41.2,42.9,41.2,42.8,13720
LIX,20180528,42,42.8,41.6,42,19320
LIX,20180525,43,43,42.8,42.8,1020
LIX,20180524,42.1,45,42,43,8980
LIX,20180523,41.8,43.3,41.5,42.1,8860
LIX,20180522,43.7,43.7,42,43.6,5020
LIX,20180521,43.9,43.9,42.8,43.7,6450
LIX,20180518,43,43.9,43,43.9,3650
LIX,20180517,42.1,43,42.1,43,8640
LIX,20180516,43.11,44.67,43.01,43.7,240
LIX,20180515,43.7,43.7,43.12,43.11,20510
LIX,20180514,43.8,43.8,43.31,43.7,3970
LIX,20180511,43.69,43.69,43.21,43.31,20700
LIX,20180510,44.77,44.77,43.51,43.5,18560
LIX,20180509,43.8,43.8,43.22,43.8,33420
LIX,20180508,43.79,43.79,43.79,43.8,80570
LIX,20180507,44.67,44.67,43.6,44.67,12780
LIX,20180504,44.67,44.67,43.36,44.67,380
LIX,20180503,43.8,44.28,43.8,44.28,8140
LIX,20180502,45.16,45.16,43.61,44.77,11440
LIX,20180427,43.99,45.75,43.7,43.8,36810
