<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
LM7,20180713,3.7,3.7,3.7,3.7,1000
LM7,20180712,3.7,4.1,3.7,3.7,3400
LM7,20180711,3.9,4.5,3.8,3.8,4200
LM7,20180710,3.9,4.2,3.7,4.2,6200
LM7,20180709,3.9,3.9,3.9,3.9,3000
LM7,20180706,3.4,3.6,3.4,3.6,4300
LM7,20180705,3.8,3.8,3.3,3.3,7100
LM7,20180704,3.5,4,3.5,3.5,14000
LM7,20180703,4,4,3.6,3.7,40500
LM7,20180702,3.6,3.7,3.6,3.7,10100
LM7,20180629,3.6,3.6,3.6,3.6,200
LM7,20180628,3.8,4.6,3.8,3.8,6200
LM7,20180627,3.7,4.2,3.7,4.2,5300
LM7,20180626,3.9,3.9,3.5,3.9,2200
LM7,20180625,3.4,3.6,3.4,3.6,200
LM7,20180622,,,,3.3,0
LM7,20180621,,,,3.3,0
LM7,20180620,,,,3.3,0
LM7,20180619,3.3,3.3,3.3,3.3,100
LM7,20180618,3.4,3.4,3.4,3.4,100
LM7,20180615,3.7,3.7,3.7,3.7,100
LM7,20180614,3.8,3.8,3.3,3.4,6800
LM7,20180613,3.5,3.9,3.5,3.5,1600
LM7,20180612,3.5,4,3.5,3.6,3300
LM7,20180611,3.7,3.7,3.3,3.7,700
LM7,20180608,3.4,3.4,3.4,3.4,1000
LM7,20180607,3.2,3.2,3.1,3.1,1500
LM7,20180606,3.2,3.8,3.2,3.3,12900
LM7,20180605,3.5,3.5,3.5,3.5,1800
LM7,20180604,3.8,3.8,3.8,3.8,12000
LM7,20180601,3.5,3.5,3.5,3.5,100
LM7,20180531,3.2,3.2,3.2,3.2,1000
LM7,20180530,3,3,3,3,100
LM7,20180529,3.6,3.6,3.1,3.1,8800
LM7,20180528,3.3,3.8,3.3,3.3,20100
LM7,20180525,,,,3.6,0
LM7,20180524,3.6,3.6,3.6,3.6,200
LM7,20180523,3.5,3.9,3.5,3.9,1400
LM7,20180522,3.2,3.8,3.2,3.8,15200
LM7,20180521,3.5,3.5,3.2,3.5,1300
LM7,20180518,3.2,3.2,3.2,3.2,500
LM7,20180517,3.3,3.3,3.3,3.3,500
LM7,20180516,3.2,3.5,3.2,3.5,2600
LM7,20180515,3.1,3.5,3.1,3.5,12500
LM7,20180514,3.2,3.7,3.2,3.2,4400
LM7,20180511,3.5,3.5,3.4,3.5,3300
LM7,20180510,3.2,3.2,3.2,3.2,500
LM7,20180509,,,,3.3,0
LM7,20180508,3.3,3.3,3.3,3.3,800
LM7,20180507,,,,3.4,0
LM7,20180504,3.4,3.4,3.1,3.4,13300
LM7,20180503,3.1,3.6,3.1,3.1,2800
LM7,20180502,3.2,3.3,3.2,3.3,2300
LM7,20180427,3.5,3.5,3.1,3.5,900
LM7,20180426,,,,3.2,0
LM7,20180424,3.7,3.7,3.2,3.2,12300
LM7,20180423,3.4,3.4,3.4,3.4,2000
LM7,20180420,3.4,3.4,3.4,3.4,4000
LM7,20180419,3.1,3.1,3.1,3.1,500
LM7,20180418,2.9,2.9,2.9,2.9,1000
LM7,20180417,3,3,2.7,2.7,600
LM7,20180416,3,3.4,3,3,2500
LM7,20180413,3.1,3.6,3,3.1,2800
LM7,20180412,3.2,3.3,3.2,3.3,200
LM7,20180411,3,3.5,3,3.5,14100
LM7,20180410,3.2,3.2,3.2,3.2,1000
LM7,20180409,2.9,3.5,2.9,3.5,6100
LM7,20180406,3.2,3.2,3.2,3.2,1000
LM7,20180405,3.2,3.5,3.2,3.5,200
LM7,20180404,3.2,3.5,3.2,3.5,200
LM7,20180403,3.5,3.5,3.5,3.5,2400
LM7,20180402,3.8,3.8,3.6,3.6,13000
LM7,20180330,4,4,3.9,3.9,1700
LM7,20180329,3.6,3.7,3.6,3.7,6400
LM7,20180328,3.5,3.5,3.4,3.4,200
LM7,20180327,3,3.4,3,3.4,3200
LM7,20180326,3,3.6,3,3.1,19300
LM7,20180323,3.2,3.5,3.2,3.3,3600
LM7,20180322,3.4,3.5,3.2,3.5,22000
LM7,20180321,2.9,3.4,2.8,3.3,19900
LM7,20180320,3.1,3.1,3.1,3.1,100
LM7,20180319,2.9,3.4,2.8,3.3,13300
LM7,20180316,3.3,3.4,3.1,3.1,10700
LM7,20180315,3.1,3.1,3.1,3.1,1100
LM7,20180314,3.3,3.3,3.1,3.3,14700
LM7,20180313,3.3,3.3,3,3,7700
LM7,20180312,2.8,3.4,2.8,3,1700
LM7,20180309,3,3.1,3,3.1,500
LM7,20180308,3.3,3.3,3.3,3.3,2600
LM7,20180307,3.3,3.3,3,3,8500
LM7,20180306,3,3,2.7,3,7000
LM7,20180305,2.8,3.2,2.8,2.8,11100
LM7,20180302,3.1,3.1,3.1,3.1,26300
LM7,20180301,3,3.4,3,3.4,20200
LM7,20180228,3,3.3,3,3.3,400
LM7,20180227,2.9,3.3,2.9,3.3,5300
LM7,20180226,3.3,3.3,2.9,3.2,4100
LM7,20180223,,,,3,0
LM7,20180222,,,,3,0
LM7,20180221,3,3,3,3,100
LM7,20180213,2.8,2.8,2.8,2.8,2200
LM7,20180212,,,,2.8,0
LM7,20180209,2.8,2.8,2.8,2.8,1000
LM7,20180208,,,,2.8,0
LM7,20180207,2.8,2.8,2.8,2.8,4000
LM7,20180206,2.8,2.8,2.8,2.8,10500
LM7,20180205,3.1,3.1,3.1,3.1,1000
LM7,20180202,,,,3.4,0
