<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
LSS,20180713,7.14,7.2,6.9,7,40570
LSS,20180712,7.17,7.22,6.82,7.17,27920
LSS,20180711,7.25,7.25,6.81,7.2,5070
LSS,20180710,6.95,7.3,6.95,7.25,40170
LSS,20180709,7.3,7.39,7.05,7.3,9900
LSS,20180706,7.4,7.5,7,7.45,26330
LSS,20180705,7.02,7.5,6.9,7.2,60090
LSS,20180704,7.4,7.65,7.11,7.4,12120
LSS,20180703,7.79,7.79,7.4,7.4,51280
LSS,20180702,7.51,7.68,7.5,7.64,15310
LSS,20180629,7.6,7.95,7.6,7.68,5560
LSS,20180628,7.57,7.9,7.57,7.87,17250
LSS,20180627,7.82,7.9,7.5,7.9,11550
LSS,20180626,7.8,7.9,7.74,7.9,7070
LSS,20180625,8,8,7.85,7.96,15140
LSS,20180622,7.72,8.6,7.72,8,78440
LSS,20180621,8.2,8.2,8.1,8.15,12280
LSS,20180620,8.2,8.4,8,8.2,112220
LSS,20180619,8.31,8.31,8,8.2,41030
LSS,20180618,8.5,8.55,8.3,8.36,12680
LSS,20180615,8.45,8.5,8.3,8.5,33790
LSS,20180614,8.3,8.44,8.2,8.44,90000
LSS,20180613,8.33,8.39,8.33,8.36,20980
LSS,20180612,8.4,8.4,8.1,8.35,5580
LSS,20180611,8.3,8.4,8.3,8.4,15810
LSS,20180608,8.15,8.49,8.1,8.25,23950
LSS,20180607,8.44,8.44,8.16,8.22,21010
LSS,20180606,8.59,8.59,8.2,8.22,30410
LSS,20180605,8.6,8.6,8.2,8.2,72740
LSS,20180604,8.59,8.59,8.3,8.49,17670
LSS,20180601,8.5,8.6,8.2,8.2,12030
LSS,20180531,8.6,8.6,8.5,8.5,6520
LSS,20180530,8.4,8.6,8.4,8.5,5000
LSS,20180529,8.5,8.62,8.3,8.62,20720
LSS,20180528,8.65,8.65,7.72,8.4,34770
LSS,20180525,8.6,8.6,8.3,8.3,7550
LSS,20180524,8.6,8.69,8.3,8.59,19150
LSS,20180523,8.79,8.79,8.2,8.6,6060
LSS,20180522,8.7,8.7,8.31,8.31,4300
LSS,20180521,9.19,9.19,8.43,8.8,5780
LSS,20180518,8.8,8.8,8.74,8.74,5560
LSS,20180517,8.89,8.89,8.8,8.8,1250
LSS,20180516,9.1,9.1,8.7,8.89,8720
LSS,20180515,8.85,8.89,8.6,8.7,11930
LSS,20180514,8.88,8.9,8.6,8.89,6660
LSS,20180511,8.85,8.9,8.53,8.88,3380
LSS,20180510,8.9,8.95,8.6,8.89,20430
LSS,20180509,8.45,8.94,8.45,8.7,14910
LSS,20180508,8.99,8.99,8.8,8.94,11530
LSS,20180507,9,9,8.9,8.99,41580
LSS,20180504,8.8,8.84,8.71,8.84,25760
LSS,20180503,8.8,8.9,8.67,8.84,11880
LSS,20180502,8.97,9.09,8.61,8.97,16290
LSS,20180427,8.9,9,8.8,8.81,14810
LSS,20180426,9.09,9.09,8.8,8.9,43080
LSS,20180424,9.09,9.29,8.81,9.09,27130
LSS,20180423,9.09,9.29,9.09,9.09,43630
LSS,20180420,9.29,9.3,9.19,9.3,5700
LSS,20180419,9.3,9.3,9.19,9.3,11430
LSS,20180418,8.95,9.3,8.95,9.3,24140
LSS,20180417,9.58,9.58,9.2,9.49,38500
LSS,20180416,9.58,9.78,9.19,9.58,66700
LSS,20180413,9.18,9.64,9.16,9.39,77060
LSS,20180412,8.85,9.04,8.8,9.05,30760
LSS,20180411,8.85,8.9,8.8,8.81,76350
LSS,20180410,8.81,8.86,8.7,8.85,89180
LSS,20180409,8.65,8.84,8.62,8.81,169540
LSS,20180406,8.86,8.88,8.7,8.8,135910
LSS,20180405,8.84,8.86,8.6,8.86,58550
LSS,20180404,9.08,9.08,8.54,8.8,224670
LSS,20180403,8.7,8.87,8.57,8.87,72330
LSS,20180402,8.83,9.09,8.7,8.85,71060
LSS,20180330,8.91,9.07,8.84,8.86,18730
LSS,20180329,8.95,8.99,8.91,8.95,50200
LSS,20180328,9,9.18,8.91,8.95,9850
LSS,20180327,9.19,9.19,9,9,41300
LSS,20180326,9.2,9.2,9.01,9.07,65870
LSS,20180323,8.92,9.08,8.8,9.07,76670
LSS,20180322,8.97,9.24,8.92,8.92,206140
LSS,20180321,9.24,9.24,8.9,8.97,197610
LSS,20180320,9.43,9.43,9,9.24,102120
LSS,20180319,9.47,9.47,9.2,9.34,74840
LSS,20180316,9.44,9.54,9.29,9.44,74280
LSS,20180315,9.58,9.58,9.38,9.44,61850
LSS,20180314,9.66,9.66,9.41,9.55,26230
LSS,20180313,9.6,9.65,9.58,9.62,7950
LSS,20180312,9.63,9.68,9.48,9.63,31790
LSS,20180309,9.48,9.77,9.48,9.68,20140
LSS,20180308,9.58,9.68,9.48,9.65,12710
LSS,20180307,9.66,9.67,9.39,9.58,16660
LSS,20180306,9.73,9.73,9.39,9.68,308150
LSS,20180305,9.87,9.92,9.77,9.78,57510
LSS,20180302,9.78,10.07,9.58,9.97,40260
LSS,20180301,9.29,9.88,9.29,9.78,53690
LSS,20180228,10.07,10.17,9.78,9.78,108800
LSS,20180227,10.17,10.37,10.07,10.17,22500
LSS,20180226,10.37,10.37,9.98,10.27,115730
LSS,20180223,10.37,10.42,10.22,10.37,127410
LSS,20180222,10.76,10.76,10.46,10.66,29420
LSS,20180221,10.32,10.61,10.32,10.61,22900
LSS,20180213,10.7,10.7,10.46,10.56,16630
LSS,20180212,10.32,10.66,10.07,10.46,97260
LSS,20180209,10.27,10.56,10.27,10.27,116720
LSS,20180208,10.75,10.75,10.46,10.71,59500
LSS,20180207,10.46,10.51,10.17,10.51,315330
LSS,20180206,10.46,10.46,9.75,10.46,465110
LSS,20180205,10.47,10.61,10.27,10.46,411540
LSS,20180202,10.37,10.66,10.27,10.27,87530
LSS,20180201,9.97,10.41,9.92,10.17,184340
LSS,20180131,10.76,10.85,10.41,10.41,363920
LSS,20180130,10.9,11,10.85,11,127560
LSS,20180129,11.05,11.05,10.8,11,338990
LSS,20180126,10.95,11,10.9,11,150100
LSS,20180125,11.05,11.05,10.9,10.95,345890
LSS,20180122,11.39,11.39,10.95,11.05,416420
LSS,20180119,11.24,11.24,11.05,11.1,119950
LSS,20180118,11,11.05,10.9,10.95,178880
LSS,20180117,11.15,11.15,11.05,11.05,255710
LSS,20180116,11.35,11.35,11,11.05,142040
LSS,20180115,11.44,11.54,11.2,11.2,319550
LSS,20180112,11.64,12.13,11.64,11.64,278090
LSS,20180111,12.13,12.23,11.79,12.13,392330
LSS,20180110,12.32,12.42,12.02,12.13,420940
LSS,20180109,11.15,11.78,11.15,11.78,796180
LSS,20180108,11.05,11.1,10.95,11.05,247210
LSS,20180105,10.9,11,10.81,11,254530
LSS,20180104,10.95,11.05,10.9,11.05,112700
LSS,20180103,11.05,11.05,10.9,10.95,140390
LSS,20180102,11,11.15,10.95,11,136770
LSS,20171229,10.95,11.05,10.95,11,102970
LSS,20171228,10.95,11.1,10.9,11.05,142850
LSS,20171227,10.95,11.05,10.9,10.95,117570
LSS,20171226,11.05,11.05,10.9,10.9,78420
LSS,20171225,11.2,11.2,10.95,10.95,79140
LSS,20171222,10.9,11.19,10.9,11.15,133550
LSS,20171221,10.95,11.2,10.9,10.9,175290
LSS,20171220,10.86,11.15,10.86,11.05,77120
LSS,20171219,11.25,11.35,10.96,11.15,85000
LSS,20171218,11.05,11.2,11,11.2,263010
LSS,20171215,10.85,11.05,10.85,11.05,76580
LSS,20171214,10.71,11.05,10.71,10.9,83730
LSS,20171213,10.85,11.05,10.7,10.71,141500
LSS,20171212,10.7,11.05,10.56,10.85,342330
LSS,20171211,10.95,11,10.75,10.85,289140
LSS,20171208,11.1,11.2,10.96,10.95,244910
LSS,20171207,11.25,11.35,11.15,11.2,93090
LSS,20171206,11.34,11.39,11.05,11.25,144620
LSS,20171205,10.8,11.53,10.75,11.29,330620
LSS,20171204,11,11,10.85,10.85,52060
LSS,20171201,10.76,11,10.76,11,132580
LSS,20171130,10.76,10.9,10.76,10.76,137030
LSS,20171129,10.76,10.86,10.66,10.66,214710
LSS,20171128,10.95,10.95,10.65,10.66,251410
LSS,20171127,10.75,11.09,10.75,10.85,236560
LSS,20171124,10.76,10.86,10.66,10.85,219840
LSS,20171123,10.56,10.71,10.46,10.71,196020
LSS,20171122,10.46,10.56,10.26,10.56,227780
LSS,20171121,10.76,10.81,10.42,10.46,436040
LSS,20171120,10.76,10.86,10.71,10.81,266500
LSS,20171117,10.76,10.86,10.61,10.81,277560
LSS,20171116,11.25,11.3,10.71,10.81,247890
LSS,20171115,10.56,11.09,10.46,11.1,384670
LSS,20171114,9.93,10.42,9.93,10.41,492450
LSS,20171113,9.58,9.97,9.58,9.76,369110
LSS,20171110,8.86,9.56,8.86,9.55,538330
LSS,20171109,8.9,9,8.75,8.94,120130
LSS,20171108,8.8,8.99,8.73,8.85,230530
LSS,20171107,8.8,8.8,8.62,8.77,127450
LSS,20171106,9,9,8.6,8.89,103650
LSS,20171103,8.35,8.8,8.11,8.8,281260
LSS,20171102,8.41,8.61,8.28,8.28,829090
LSS,20171101,9.38,9.77,8.89,8.9,271030
LSS,20171031,9.78,10.37,9.56,9.55,292380
LSS,20171030,10.41,10.51,10.26,10.27,30160
LSS,20171027,10.56,10.56,10.22,10.41,61170
LSS,20171026,10.66,10.76,10.42,10.56,58190
LSS,20171025,10.9,10.9,10.56,10.66,84340
LSS,20171024,10.41,10.65,10.26,10.66,252130
LSS,20171023,10.61,10.66,10.42,10.41,233290
LSS,20171020,10.95,10.95,10.71,10.71,106680
LSS,20171019,10.61,10.76,10.61,10.71,191040
LSS,20171018,10.8,10.85,10.56,10.61,481320
LSS,20171017,10.9,10.95,10.85,10.85,140160
LSS,20171016,11,11.24,10.9,10.9,94440
LSS,20171013,10.95,10.95,10.9,10.95,69870
LSS,20171012,11,11.1,10.9,10.95,127960
LSS,20171011,11.25,11.3,11.05,11.05,235000
LSS,20171010,11.1,11.2,11.05,11.15,46050
LSS,20171009,11.39,11.44,11.05,11.15,137100
LSS,20171006,11.05,11.29,11.05,11.29,223050
LSS,20171005,11.15,11.15,10.95,11.05,57530
LSS,20171004,11.1,11.15,11.05,11.1,122620
LSS,20171003,11,11.19,10.9,11.05,169990
LSS,20171002,11.1,11.2,10.95,10.95,123310
LSS,20170929,11.2,11.25,11.05,11.15,124800
LSS,20170928,11.29,11.29,11.09,11.1,233930
LSS,20170927,11.25,11.4,11.2,11.29,219120
LSS,20170926,11.49,11.49,11.25,11.25,300370
