<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
MBS,20180713,15.3,15.5,15,15.4,86800
MBS,20180712,14.9,15.2,14.8,15.2,63200
MBS,20180711,15.2,15.2,14.6,15.2,186030
MBS,20180710,15,15.6,15,15.6,116706
MBS,20180709,15.3,15.9,15.3,15.5,92110
MBS,20180706,14.8,15.8,14,15.8,363420
MBS,20180705,15,15,14.1,14.6,265143
MBS,20180704,14.1,15.5,14.1,15.5,138000
MBS,20180703,15,15.1,14,14.5,395710
MBS,20180702,15.1,15.1,14.5,15,213910
MBS,20180629,15.3,15.4,14.9,15.2,173370
MBS,20180628,15.6,15.6,14.8,15.5,216310
MBS,20180627,15.7,15.7,15.2,15.6,191337
MBS,20180626,15.7,15.7,15,15.7,303300
MBS,20180625,15.5,15.8,15.4,15.8,162700
MBS,20180622,15.3,15.5,15.2,15.5,123600
MBS,20180621,14.9,15.6,14.9,15.5,327424
MBS,20180620,14.7,15,14.3,15,226658
MBS,20180619,15.5,15.5,14,14.5,660803
MBS,20180618,16.4,16.7,15.5,15.5,236115
MBS,20180615,16.9,16.9,16.4,16.6,81515
MBS,20180614,16.5,16.9,16.5,16.7,231080
MBS,20180613,16.6,16.8,16.5,16.7,85795
MBS,20180612,17.1,17.1,16.4,16.6,335666
MBS,20180611,17,17.5,16.9,17.3,339989
MBS,20180608,17.4,17.4,17,17.4,171660
MBS,20180607,17.4,17.8,17,17.4,480875
MBS,20180606,16.5,17.3,16.3,17.3,299771
MBS,20180605,16,16.5,15.9,16.5,295410
MBS,20180604,16,16.3,15.6,16,212450
MBS,20180601,15.9,16.3,15.8,16,218772
MBS,20180531,15.1,15.9,15.1,15.9,138812
MBS,20180530,15.4,15.5,15,15.1,217030
MBS,20180529,14.3,15.8,14.3,15.6,266309
MBS,20180528,16,16,14.4,14.4,618031
MBS,20180525,16.5,16.5,16,16,97910
MBS,20180524,16.6,16.6,16,16.5,68973
MBS,20180523,16.2,16.5,15.9,16.5,136920
MBS,20180522,16.8,16.8,15.5,16.4,350400
MBS,20180521,16.7,17.1,16.7,16.7,166968
MBS,20180518,16.6,16.9,16.3,16.7,161972
MBS,20180517,16.6,17,16.6,16.7,118800
MBS,20180516,17.1,17.1,16.7,16.7,151800
MBS,20180515,17,17.3,16.9,17,214557
MBS,20180514,17.2,17.3,17,17,206400
MBS,20180511,16.7,17.3,16.7,17.2,153260
MBS,20180510,17.8,17.8,17,17,274200
MBS,20180509,17.8,18.1,17.6,18.1,302600
MBS,20180508,18.3,18.3,17.8,18.2,210247
MBS,20180507,17.2,18.3,17,18.3,373418
MBS,20180504,17.3,17.4,16.7,17,450400
MBS,20180503,16.6,16.8,16.1,16.8,282589
MBS,20180502,17.6,17.6,16.5,16.6,177055
MBS,20180427,16.5,17.6,16.2,17.5,362280
MBS,20180426,17.6,17.6,16,16.6,836786
MBS,20180424,17.9,18.1,17.5,17.6,598620
MBS,20180423,19.9,19.9,18,18,699000
MBS,20180420,19.8,19.8,19.4,19.8,349300
MBS,20180419,19.7,19.9,19.4,19.6,756100
MBS,20180418,19.6,20.3,19.6,19.7,520245
MBS,20180417,19.6,19.9,19.5,19.6,352800
MBS,20180416,20,20,19.1,19.5,556810
MBS,20180413,20.4,21,19.6,20,708325
MBS,20180412,19.7,20.5,18.7,20.4,822846
MBS,20180411,22,22,19.8,19.8,4208245
MBS,20180410,23,23,21.7,22,1786081
MBS,20180409,21.7,22.7,21.3,22.6,1365771
MBS,20180406,20.4,21.5,20.3,21.5,1384389
MBS,20180405,20.9,20.9,20.2,20.4,977171
MBS,20180404,20,20.9,20,20.6,1513245
MBS,20180403,19.3,20,19,19.9,1153491
MBS,20180402,18.7,19.5,18.5,19.2,1010143
MBS,20180330,18,18.6,18,18.6,717802
MBS,20180329,18,18.1,17.8,17.9,351040
MBS,20180328,18.1,18.1,17.8,18,214157
MBS,20180327,18,18.4,17.9,18.1,688350
MBS,20180326,17.3,17.9,17.2,17.8,339340
MBS,20180323,18,18,17,17.2,1574010
MBS,20180322,18.6,18.6,18.1,18.1,783158
MBS,20180321,18.6,18.8,18.3,18.4,657280
MBS,20180320,19,19.1,18.5,18.6,1313424
MBS,20180319,18.5,19.3,18.3,18.9,1580561
MBS,20180316,18.5,18.7,18.2,18.2,816644
MBS,20180315,18.7,18.9,18,18.5,734473
MBS,20180314,18.1,18.7,18.1,18.4,1627475
MBS,20180313,16.5,18.1,16,18.1,2749558
MBS,20180312,18.1,18.1,16.7,16.7,586494
MBS,20180309,17.6,19.3,17.6,18.1,608176
MBS,20180308,16,17.6,14.6,17.6,9450988
MBS,20180307,15.4,16.1,15.4,16,973300
MBS,20180306,15.6,15.7,15,15,324260
MBS,20180305,15.8,16,15.5,15.7,156190
MBS,20180302,15.6,15.8,15.4,15.8,148918
MBS,20180301,15.6,15.8,15.4,15.6,219240
MBS,20180228,15.4,15.6,15.2,15.6,148900
MBS,20180227,15.3,16,15.1,15.4,253300
MBS,20180226,15.2,15.5,15.1,15.1,192310
MBS,20180223,14.8,15.8,14.5,15.1,312812
MBS,20180222,14.9,14.9,14.5,14.7,40920
MBS,20180221,15.3,15.3,14.9,15.1,39752
MBS,20180213,15.1,15.3,14.8,15.3,186860
MBS,20180212,15.3,15.4,14.7,15.3,60050
MBS,20180209,14.2,15.5,13.4,15.5,59549
MBS,20180208,14.8,14.8,14.2,14.8,72604
MBS,20180207,13.9,14.8,13.9,14.8,104618
MBS,20180206,13.7,14.5,12.7,13.5,427670
MBS,20180205,15.4,15.5,14.1,14.1,342324
MBS,20180202,15.6,16,15.3,15.6,201499
MBS,20180201,16,16,15.6,15.6,298210
MBS,20180131,16.2,16.4,15.7,16,489941
MBS,20180130,15.7,16.2,15.6,16.2,166941
MBS,20180129,15.5,16.2,15.5,16,151940
MBS,20180126,16,16,15.5,15.9,268420
MBS,20180125,15.9,16.3,15.9,15.9,345111
MBS,20180122,15.1,15.7,15.1,15.5,267090
MBS,20180119,15.2,15.4,15.1,15.2,200900
MBS,20180118,15.3,15.3,14.9,15.2,267112
MBS,20180117,15.4,15.8,15.3,15.3,429110
MBS,20180116,15.6,15.6,15.2,15.5,237250
MBS,20180115,15.2,15.6,15.1,15.6,204400
MBS,20180112,15.7,15.8,14.9,15.5,514328
MBS,20180111,15.6,16.1,15.6,15.7,261170
MBS,20180110,15.4,16.3,15.4,15.6,566943
MBS,20180109,14.2,15.6,14.1,15.5,1076371
MBS,20180108,14.2,14.2,14,14.2,115340
MBS,20180105,14.3,14.3,14.1,14.1,60700
MBS,20180104,14.3,14.3,14.2,14.3,131500
MBS,20180103,14.3,14.5,14.2,14.3,167812
MBS,20180102,14.4,14.5,14.2,14.2,357018
MBS,20171229,14.4,14.4,14.2,14.4,213853
MBS,20171228,14.1,14.4,14.1,14.4,177588
MBS,20171227,14.5,14.5,14.1,14.1,199900
MBS,20171226,14.5,14.5,14.3,14.5,236823
MBS,20171225,14.5,14.5,14.4,14.4,172000
MBS,20171222,14.1,14.4,14,14.4,148140
MBS,20171221,14.1,14.3,14,14.1,358800
MBS,20171220,14.5,14.6,14.1,14.1,190313
MBS,20171219,13.5,14.5,13.5,14.5,282400
MBS,20171218,13.7,13.9,13.5,13.5,98300
MBS,20171215,13.6,13.6,13.5,13.6,64830
MBS,20171214,13.6,13.6,13.4,13.6,25900
MBS,20171213,13.4,13.5,13.4,13.5,22510
MBS,20171212,13.2,13.4,13,13.3,333519
MBS,20171211,13.5,13.5,13.2,13.2,267430
MBS,20171208,13.6,13.7,13.5,13.5,133742
MBS,20171207,13.9,13.9,13.6,13.6,148900
MBS,20171206,13.9,13.9,13.6,13.8,201500
MBS,20171205,14.4,14.6,14,14,396572
MBS,20171204,13.9,14.4,13.9,14.3,307110
MBS,20171201,13.8,14.2,13.7,13.9,191336
MBS,20171130,14,14,13.7,13.7,189800
MBS,20171129,13.5,13.9,13.5,13.8,242632
MBS,20171128,14.1,14.1,13.5,13.5,247488
MBS,20171127,13.5,14.3,13.5,14.1,631936
MBS,20171124,13.3,13.5,13.2,13.5,195660
MBS,20171123,13.5,13.6,13.3,13.3,300650
MBS,20171122,13,13.4,13,13.3,483432
MBS,20171121,12.9,13,12.8,13,79500
MBS,20171120,12.8,13,12.8,12.9,53650
MBS,20171117,12.8,13.1,12.8,12.8,87300
MBS,20171116,12.9,13,12.7,13,103303
MBS,20171115,13,13.1,12.7,13,131156
MBS,20171114,13.2,13.5,12.8,13.1,246451
MBS,20171113,13.1,13.2,13,13.2,39728
MBS,20171110,12.9,13.2,12.9,13.1,165089
MBS,20171109,13.2,13.2,13,13.2,208358
MBS,20171108,13,13.2,12.9,13.2,402450
MBS,20171107,12.6,13,12.5,12.9,203500
MBS,20171106,12.7,12.9,12.6,12.7,102472
MBS,20171103,12.4,12.7,12.4,12.7,211496
MBS,20171102,12.2,12.7,12.2,12.4,188919
MBS,20171101,11.9,12.3,11.8,12.2,218449
MBS,20171031,12.2,12.2,11.5,11.9,186932
MBS,20171030,12.5,12.6,12.1,12.3,164410
MBS,20171027,12.4,12.4,12.3,12.4,16600
MBS,20171026,12.5,12.5,12.3,12.4,69400
MBS,20171025,12.7,12.7,12.4,12.4,105900
MBS,20171024,12.4,12.7,12.4,12.7,338800
MBS,20171023,12.9,12.9,12.5,12.5,240900
MBS,20171020,12.8,13,12.7,12.9,144010
MBS,20171019,13.1,13.1,12.9,12.9,124900
MBS,20171018,13.2,13.3,13.1,13.1,187575
MBS,20171017,12.8,13.1,12.8,13.1,167381
MBS,20171016,12.9,13,12.4,12.8,284906
MBS,20171013,13.2,13.2,13,13,312473
MBS,20171012,13.2,13.4,13,13.2,507663
MBS,20171011,12.9,13.2,12.8,13,474028
MBS,20171010,12.6,12.9,12.6,12.9,438827
MBS,20171009,12.1,12.6,12.1,12.6,412740
MBS,20171006,11.8,12.2,11.8,12,254115
MBS,20171005,11.9,11.9,11.7,11.7,75290
MBS,20171004,11.7,11.9,11.7,11.9,69500
MBS,20171003,11.6,11.8,11.5,11.7,146600
MBS,20171002,11.9,11.9,11.6,11.6,81000
MBS,20170929,11.6,11.9,11.6,11.8,86500
MBS,20170928,11.9,11.9,11.6,11.6,174300
MBS,20170927,12,12,11.7,11.9,142100
MBS,20170926,12.1,12.2,12,12.2,87572
MBS,20170925,12.3,12.3,12.1,12.1,58878
MBS,20170922,12.4,12.4,12.2,12.2,82500
MBS,20170921,12.4,12.4,12.3,12.4,63055
MBS,20170920,12.2,12.4,12.2,12.4,118430
MBS,20170919,12.5,12.5,12.3,12.3,182950
MBS,20170918,12.7,12.7,12.4,12.5,197422
MBS,20170915,12.2,12.8,12.2,12.6,392420
MBS,20170914,12,12.5,12,12.3,373033
MBS,20170913,11.8,12.1,11.8,11.9,242900
MBS,20170912,11.7,11.8,11.6,11.7,132710
MBS,20170911,10.8,11.9,10.8,11.7,145000
MBS,20170908,12,12,11.8,12,144200
MBS,20170907,11.5,12.2,11.5,12,348870
MBS,20170906,11.9,11.9,11.5,11.5,213600
MBS,20170905,11.9,12,11.8,11.9,90000
MBS,20170901,12.1,12.1,12,12,91200
MBS,20170831,11.8,12,11.7,12,235610
MBS,20170830,12.2,12.2,11.8,11.8,125900
MBS,20170829,12.4,12.5,12.1,12.1,207810
MBS,20170828,12.2,12.4,12.1,12.4,190600
MBS,20170825,12.3,12.3,12,12.2,183000
MBS,20170824,12.3,12.4,12,12.3,271070
MBS,20170823,11.9,12,11.9,11.9,69808
MBS,20170822,12.09,12.19,11.9,11.9,140500
MBS,20170821,12,12.1,11.71,12.09,112262
MBS,20170818,11.9,12,11.61,12,240000
MBS,20170817,12.28,12.28,11.8,11.9,187353
MBS,20170816,12.57,12.57,12.19,12.28,64895
MBS,20170815,12.48,12.58,12.19,12.38,192610
