<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
MDC,20180713,,,,4.6,0
MDC,20180712,4.6,4.6,4.6,4.6,100
MDC,20180711,,,,4.6,0
MDC,20180710,,,,4.6,0
MDC,20180709,,,,4.6,0
MDC,20180706,,,,4.6,0
MDC,20180705,,,,4.6,0
MDC,20180704,4.6,4.6,4.6,4.6,100
MDC,20180703,4.6,4.6,4.6,4.6,200
MDC,20180702,4.6,4.6,4.5,4.6,5600
MDC,20180629,4.6,4.6,4.6,4.6,2440
MDC,20180628,,,,4.2,0
MDC,20180627,,,,4.2,0
MDC,20180626,,,,4.2,0
MDC,20180625,4.2,4.2,4.2,4.2,100
MDC,20180622,,,,4.2,0
MDC,20180621,,,,4.2,0
MDC,20180620,,,,4.2,0
MDC,20180619,,,,4.2,0
MDC,20180618,4.2,4.2,4.2,4.2,100
MDC,20180615,,,,3.9,0
MDC,20180614,3.9,3.9,3.9,3.9,5
MDC,20180613,,,,3.9,0
MDC,20180612,,,,3.9,0
MDC,20180611,3.9,3.9,3.9,3.9,1502
MDC,20180608,,,,3.81,0
MDC,20180607,,,,3.81,0
MDC,20180606,,,,3.81,0
MDC,20180605,3.9,3.9,3.81,3.81,3300
MDC,20180604,3.81,3.81,3.81,3.81,4
MDC,20180601,,,,3.81,0
MDC,20180531,3.81,3.81,3.81,3.81,3
MDC,20180530,3.81,3.81,3.81,3.81,101
MDC,20180529,3.81,3.81,3.81,3.81,1700
MDC,20180528,3.81,3.81,3.81,3.81,1000
MDC,20180525,4.35,4.35,3.72,3.81,710
MDC,20180524,3.99,3.99,3.99,3.99,3570
MDC,20180523,3.99,3.99,3.99,3.99,400
MDC,20180522,,,,4.26,0
MDC,20180521,4.26,4.26,4.26,4.26,4000
MDC,20180518,,,,4.35,0
MDC,20180517,,,,4.35,0
MDC,20180516,,,,4.35,0
MDC,20180515,,,,4.35,0
MDC,20180514,4.35,4.35,4.35,4.35,74
MDC,20180511,,,,4.35,0
MDC,20180510,3.9,4.35,3.9,4.35,200
MDC,20180509,,,,4.08,0
MDC,20180508,,,,4.08,0
MDC,20180507,4.08,4.08,4.08,4.08,400
MDC,20180504,,,,4.26,0
MDC,20180503,,,,4.26,0
MDC,20180502,4.26,4.26,4.26,4.26,82
MDC,20180427,4.26,4.26,4.26,4.26,39
MDC,20180426,,,,4.26,0
MDC,20180424,,,,4.26,0
MDC,20180423,,,,4.26,0
MDC,20180420,,,,4.26,0
MDC,20180419,4.26,4.26,4.26,4.26,100
MDC,20180418,,,,4.35,0
MDC,20180417,,,,4.35,0
MDC,20180416,,,,4.35,0
MDC,20180413,4.35,4.35,4.35,4.35,57
MDC,20180412,,,,4.35,0
MDC,20180411,,,,4.35,0
MDC,20180410,4.35,4.35,4.35,4.35,100
MDC,20180409,4.17,4.17,4.17,4.17,1700
MDC,20180406,,,,4.26,0
MDC,20180405,,,,4.26,0
MDC,20180404,3.81,4.26,3.81,4.26,200
MDC,20180403,3.99,3.99,3.99,3.99,200
MDC,20180402,4.35,4.35,4.35,4.35,300
MDC,20180330,,,,4.08,0
MDC,20180329,,,,4.08,0
MDC,20180328,4.08,4.08,4.08,4.08,10
MDC,20180327,4.08,4.08,4.08,4.08,4000
MDC,20180326,4.44,4.44,4.44,4.44,5400
MDC,20180323,,,,4.08,0
MDC,20180322,,,,4.08,0
MDC,20180321,4.08,4.08,4.08,4.08,1500
MDC,20180320,,,,4.44,0
MDC,20180319,,,,4.44,0
MDC,20180316,,,,4.44,0
MDC,20180315,4.44,4.44,4.44,4.44,200
MDC,20180314,,,,4.44,0
MDC,20180313,4.26,4.44,4.26,4.44,2176
MDC,20180312,,,,4.26,0
MDC,20180309,4.17,4.26,4.17,4.26,300
MDC,20180308,4.08,4.44,4.08,4.44,200
MDC,20180307,4.26,4.44,4.26,4.44,1200
MDC,20180306,3.99,4.08,3.81,4.08,20400
MDC,20180305,,,,4.17,0
MDC,20180302,4.17,4.17,4.17,4.17,51
MDC,20180301,4.26,4.26,4.17,4.17,6000
MDC,20180228,,,,4.26,0
MDC,20180227,4.26,4.26,4.26,4.26,500
MDC,20180226,3.99,3.99,3.99,3.99,1100
MDC,20180223,3.81,3.81,3.81,3.81,100
MDC,20180222,,,,3.99,0
MDC,20180221,3.99,3.99,3.99,3.99,100
MDC,20180213,,,,4.17,0
MDC,20180212,4.44,4.44,4.17,4.17,3000
MDC,20180209,,,,4.44,0
MDC,20180208,,,,4.44,0
MDC,20180207,4.44,4.44,4.44,4.44,1000
MDC,20180206,4.35,4.35,4.35,4.35,4000
MDC,20180205,4.35,4.35,4.35,4.35,100
MDC,20180202,3.99,4.26,3.99,4.26,13000
MDC,20180201,,,,3.9,0
MDC,20180131,4.08,4.08,3.81,3.9,19300
MDC,20180130,4.08,4.08,4.08,4.08,100
MDC,20180129,4.36,4.36,4.36,4.35,1100
MDC,20180126,,,,4.44,0
MDC,20180125,,,,4.44,0
MDC,20180122,4.44,4.44,4.44,4.44,7900
MDC,20180119,,,,4.08,0
MDC,20180118,4.08,4.08,4.08,4.08,1500
MDC,20180117,4.08,4.08,4.08,4.08,5100
MDC,20180116,,,,4.17,0
MDC,20180115,4.17,4.17,4.17,4.17,500
MDC,20180112,,,,3.81,0
MDC,20180111,,,,3.81,0
MDC,20180110,3.81,3.81,3.81,3.81,1500
MDC,20180109,,,,3.99,0
MDC,20180108,,,,3.99,0
MDC,20180105,,,,3.99,0
MDC,20180104,,,,3.99,0
MDC,20180103,3.99,3.99,3.99,3.99,400
MDC,20180102,4.08,4.08,4.08,4.08,1000
MDC,20171229,4.17,4.17,4.17,4.17,1000
MDC,20171228,,,,4.44,0
MDC,20171227,,,,4.44,0
MDC,20171226,4.44,4.44,4.44,4.44,1700
MDC,20171225,,,,4.08,0
MDC,20171222,,,,4.08,0
MDC,20171221,4.08,4.08,4.08,4.08,1886
MDC,20171220,,,,4.53,0
MDC,20171219,,,,4.53,0
MDC,20171218,,,,4.53,0
MDC,20171215,,,,4.53,0
MDC,20171214,,,,4.53,0
MDC,20171213,,,,4.53,0
MDC,20171212,,,,4.53,0
MDC,20171211,,,,4.53,0
MDC,20171208,,,,4.53,0
MDC,20171207,,,,4.53,0
MDC,20171206,,,,4.53,0
MDC,20171205,,,,4.53,0
MDC,20171204,4.53,4.53,4.53,4.53,10
MDC,20171201,,,,4.53,0
MDC,20171130,,,,4.53,0
MDC,20171129,,,,4.53,0
MDC,20171128,,,,4.53,0
MDC,20171127,4.53,4.53,4.53,4.53,1000
MDC,20171124,,,,4.53,0
MDC,20171123,,,,4.53,0
MDC,20171122,,,,4.53,0
MDC,20171121,,,,4.53,0
MDC,20171120,,,,4.53,0
MDC,20171117,4.53,4.53,4.53,4.53,15
MDC,20171116,,,,4.53,0
MDC,20171115,,,,4.53,0
MDC,20171114,,,,4.53,0
MDC,20171113,,,,4.53,0
MDC,20171110,,,,4.53,0
MDC,20171109,,,,4.53,0
MDC,20171108,,,,4.53,0
MDC,20171107,4.54,4.54,4.54,4.53,200
MDC,20171106,,,,4.99,0
MDC,20171103,,,,4.99,0
MDC,20171102,,,,4.99,0
MDC,20171101,,,,4.99,0
MDC,20171031,,,,4.99,0
MDC,20171030,,,,4.99,0
MDC,20171027,,,,4.99,0
MDC,20171026,4.99,4.99,4.99,4.99,100
MDC,20171025,4.63,4.63,4.63,4.63,1700
MDC,20171024,,,,4.72,0
MDC,20171023,,,,4.72,0
MDC,20171020,,,,4.72,0
MDC,20171019,4.72,4.72,4.72,4.72,82
MDC,20171018,4.72,4.72,4.72,4.72,3000
MDC,20171017,,,,5.17,0
MDC,20171016,,,,5.17,0
MDC,20171013,,,,5.17,0
MDC,20171012,,,,5.17,0
MDC,20171011,,,,5.17,0
MDC,20171010,,,,5.17,0
MDC,20171009,,,,5.17,0
MDC,20171006,,,,5.17,0
MDC,20171005,,,,5.17,0
