<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
MDG,20180713,11.8,11.8,11.8,11.8,30
MDG,20180712,,,,12,0
MDG,20180711,,,,12,0
MDG,20180710,,,,12,0
MDG,20180709,12,12,12,12,50
MDG,20180706,11.5,12,11,12,5000
MDG,20180705,11.5,11.5,11.5,11.5,100
MDG,20180704,,,,11.75,0
MDG,20180703,11.7,12.35,11.7,11.75,50
MDG,20180702,11.65,12.45,11.65,12.45,110
MDG,20180629,12.6,12.6,12.5,12.5,200
MDG,20180628,10.8,12.2,10.8,12.2,80
MDG,20180627,,,,11.55,0
MDG,20180626,,,,11.55,0
MDG,20180625,12.5,12.5,11.55,11.55,110
MDG,20180622,12.5,12.5,11.7,11.7,5070
MDG,20180621,12,12.5,12,12.5,331590
MDG,20180620,11.9,12,11.55,12,2020
MDG,20180619,11.2,11.9,11.2,11.9,190
MDG,20180618,11.05,12,11.05,11.9,631000
MDG,20180615,11.4,11.75,11.4,11.75,4000
MDG,20180614,11.5,11.6,11.4,11.4,4810
MDG,20180613,12.75,12.75,11.2,12.2,40
MDG,20180612,,,,12,0
MDG,20180611,12,12,11.4,12,1470
MDG,20180608,11.5,11.5,11.5,11.5,20
MDG,20180607,11.26,11.6,11.26,11.6,700
MDG,20180606,11.21,11.97,11.21,11.98,4740
MDG,20180605,11.41,11.41,11.41,11.4,100
MDG,20180604,,,,11.6,0
MDG,20180601,11.5,11.59,11.5,11.6,1000
MDG,20180531,,,,11.64,0
MDG,20180530,11.69,11.69,11.21,11.64,410
MDG,20180529,,,,11.64,0
MDG,20180528,,,,11.64,0
MDG,20180525,,,,11.64,0
MDG,20180524,11.02,11.64,11.02,11.64,1070
MDG,20180523,,,,11.69,0
MDG,20180522,11.02,11.69,11.02,11.69,240
MDG,20180521,12.17,12.17,11.5,11.5,110
MDG,20180518,11.5,11.6,11.5,11.5,24610
MDG,20180517,11.12,11.31,11.12,11.31,2010
MDG,20180516,11.12,11.12,11.12,11.12,100
MDG,20180515,11.12,11.12,10.83,11.07,8080
MDG,20180514,11.12,11.12,11.12,11.12,500
MDG,20180511,11.12,11.6,11.12,11.6,3030
MDG,20180510,11.11,11.11,11.11,11.12,1020
MDG,20180509,11.4,11.4,11.4,11.4,2000
MDG,20180508,11.02,11.4,11.02,11.4,990
MDG,20180507,11.02,11.5,11.02,11.5,4260
MDG,20180504,11.31,11.79,11.02,11.31,1220
MDG,20180503,11.02,11.3,11.02,11.31,20
MDG,20180502,,,,11.4,0
MDG,20180427,10.97,11.4,10.97,11.4,1050
MDG,20180426,10.54,10.93,10.54,10.92,30
MDG,20180424,10.83,10.83,10.83,10.83,210
MDG,20180423,11.5,11.55,10.54,10.83,2690
MDG,20180420,10.83,10.83,10.83,10.83,30
MDG,20180419,11.5,11.5,11.5,11.5,10
MDG,20180418,,,,11.4,0
MDG,20180417,,,,11.4,0
MDG,20180416,11.11,11.4,11.11,11.4,5200
MDG,20180413,,,,11.4,0
MDG,20180412,10.92,11.4,10.54,11.4,3300
MDG,20180411,10.92,11.02,10.2,11.02,1160
MDG,20180410,10.93,10.93,10.93,10.92,20
MDG,20180409,10.93,11.31,10.93,11.31,140
MDG,20180406,11.5,11.98,11.31,11.31,1880
MDG,20180405,11.36,11.36,11.36,11.36,1000
MDG,20180404,11.36,11.36,11.36,11.36,2010
MDG,20180403,12.17,12.17,11.5,12.17,68910
MDG,20180402,,,,12.36,0
MDG,20180330,11.5,12.36,11.26,12.36,22510
MDG,20180329,12.07,12.07,12.07,12.07,30
MDG,20180328,11.5,11.5,11.5,11.5,1200
MDG,20180327,11.5,11.5,11.5,11.5,50
MDG,20180326,11.85,11.85,11.85,11.85,910
MDG,20180323,11.85,11.85,11.85,11.85,290
MDG,20180322,12.21,12.21,11.41,11.94,710
MDG,20180321,11.5,11.5,11.41,11.41,7030
MDG,20180320,11.59,11.59,11.46,11.59,190
MDG,20180319,11.46,11.5,11.46,11.46,23020
MDG,20180316,,,,11.46,0
MDG,20180315,11.5,11.5,11.46,11.46,2210
MDG,20180314,11.5,11.5,11.23,11.5,3670
MDG,20180313,11.5,11.5,11.5,11.5,5250
MDG,20180312,11.77,11.77,11.15,11.72,2610
MDG,20180309,11.5,11.77,11.5,11.77,720
MDG,20180308,,,,11.5,0
MDG,20180307,11.68,11.68,11.5,11.5,1600
MDG,20180306,12.08,12.08,11.68,11.68,9790
MDG,20180305,,,,12.08,0
MDG,20180302,11.37,12.12,11.37,12.08,4370
MDG,20180301,11.67,11.94,11.67,11.68,5620
MDG,20180228,11.68,11.95,11.68,11.94,460
MDG,20180227,12.16,12.16,11.67,11.68,30380
MDG,20180226,12.21,12.39,12.17,12.16,20110
MDG,20180223,12.21,12.21,12.21,12.21,1000
MDG,20180222,12.21,12.21,12.21,12.21,100
MDG,20180221,11.37,12.21,11.37,12.21,640
MDG,20180213,11.5,12.2,11.5,12.21,110
MDG,20180212,11.63,11.63,11.63,11.63,100
MDG,20180209,,,,11.5,0
MDG,20180208,11.63,11.63,11.5,11.5,9910
MDG,20180207,11.9,11.9,11.9,11.9,30
MDG,20180206,10.97,11.5,10.97,11.5,2600
