<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
MKV,20180713,,,,15.5,0
MKV,20180712,,,,15.5,0
MKV,20180711,,,,15.5,0
MKV,20180710,,,,15.5,0
MKV,20180709,,,,15.5,0
MKV,20180706,,,,15.5,0
MKV,20180705,,,,15.5,0
MKV,20180704,,,,15.5,0
MKV,20180703,,,,15.5,0
MKV,20180702,,,,15.5,0
MKV,20180629,,,,15.5,0
MKV,20180628,,,,15.5,0
MKV,20180627,,,,15.5,0
MKV,20180626,,,,15.5,0
MKV,20180625,15.5,15.5,15.5,15.5,500
MKV,20180622,14.1,14.1,14.1,14.1,400
MKV,20180621,12.9,12.9,12.9,12.9,500
MKV,20180620,,,,11.8,0
MKV,20180619,,,,11.8,0
MKV,20180618,,,,11.8,0
MKV,20180615,,,,11.8,0
MKV,20180614,,,,11.8,0
MKV,20180613,,,,11.8,0
MKV,20180612,,,,11.8,0
MKV,20180611,,,,11.8,0
MKV,20180608,,,,11.8,0
MKV,20180607,,,,11.8,0
MKV,20180606,,,,11.8,0
MKV,20180605,,,,11.8,0
MKV,20180604,,,,11.8,0
MKV,20180601,,,,11.8,0
MKV,20180531,,,,11.8,0
MKV,20180530,,,,11.8,0
MKV,20180529,,,,11.8,0
MKV,20180528,,,,11.8,0
MKV,20180525,,,,11.8,0
MKV,20180524,,,,11.8,0
MKV,20180523,,,,11.8,0
MKV,20180522,11.8,11.8,11.8,11.8,3700
MKV,20180521,,,,11.8,0
MKV,20180518,11.8,11.8,11.8,11.8,30000
MKV,20180517,,,,12,0
MKV,20180516,,,,12,0
MKV,20180515,11.8,13.2,11.8,12,27226
MKV,20180514,11.8,12,11.8,12,30000
MKV,20180511,11.7,11.8,11.7,11.8,20704
MKV,20180510,,,,11.8,0
MKV,20180509,11.8,11.8,11.8,11.8,8000
MKV,20180508,,,,11.8,0
MKV,20180507,,,,11.8,0
MKV,20180504,,,,11.8,0
MKV,20180503,,,,11.8,0
MKV,20180502,,,,11.8,0
MKV,20180427,,,,11.8,0
MKV,20180426,,,,11.8,0
MKV,20180424,11.8,11.8,11.8,11.8,1500
MKV,20180423,11.8,11.8,11.8,11.8,5000
MKV,20180420,,,,12,0
MKV,20180419,12,12,12,12,5000
MKV,20180418,11.8,11.8,11.8,11.8,5006
MKV,20180417,11.8,11.8,11.8,11.8,5000
MKV,20180416,11.8,11.8,11.8,11.8,5000
MKV,20180413,11.8,11.8,11.8,11.8,17000
MKV,20180412,,,,11.8,0
MKV,20180411,,,,11.8,0
MKV,20180410,,,,11.8,0
MKV,20180409,,,,11.8,0
MKV,20180406,,,,11.8,0
MKV,20180405,,,,11.8,0
MKV,20180404,,,,11.8,0
MKV,20180403,,,,11.8,0
MKV,20180402,,,,11.8,0
MKV,20180330,,,,11.8,0
MKV,20180329,,,,11.8,0
MKV,20180328,,,,11.8,0
MKV,20180327,,,,11.8,0
MKV,20180326,,,,11.8,0
MKV,20180323,,,,11.8,0
MKV,20180322,,,,11.8,0
MKV,20180321,,,,11.8,0
MKV,20180320,,,,11.8,0
MKV,20180319,11.8,11.8,11.8,11.8,6
MKV,20180316,,,,11.8,0
MKV,20180315,,,,11.8,0
MKV,20180314,,,,11.8,0
MKV,20180313,11.8,11.8,11.8,11.8,6
MKV,20180312,11.8,11.8,11.8,11.8,100
MKV,20180309,,,,11.7,0
MKV,20180308,,,,11.7,0
MKV,20180307,,,,11.7,0
MKV,20180306,,,,11.7,0
MKV,20180305,,,,11.7,0
MKV,20180302,,,,11.7,0
MKV,20180301,,,,11.7,0
MKV,20180228,,,,11.7,0
MKV,20180227,11.7,11.7,11.7,11.7,6500
MKV,20180226,,,,11.8,0
MKV,20180223,,,,11.8,0
MKV,20180222,,,,11.8,0
MKV,20180221,11.8,11.8,11.8,11.8,6100
MKV,20180213,11.8,11.8,11.8,11.8,18500
MKV,20180212,,,,11.8,0
MKV,20180209,,,,11.8,0
MKV,20180208,,,,11.8,0
MKV,20180207,,,,11.8,0
MKV,20180206,,,,11.8,0
MKV,20180205,,,,11.8,0
MKV,20180202,,,,11.8,0
MKV,20180201,,,,11.8,0
MKV,20180131,,,,11.8,0
MKV,20180130,,,,11.8,0
MKV,20180129,,,,11.8,0
MKV,20180126,,,,11.8,0
MKV,20180125,,,,11.8,0
MKV,20180122,,,,11.8,0
MKV,20180119,11.8,11.8,11.8,11.8,100
MKV,20180118,,,,10.8,0
MKV,20180117,,,,10.8,0
MKV,20180116,,,,10.8,0
MKV,20180115,,,,10.8,0
MKV,20180112,,,,10.8,0
MKV,20180111,,,,10.8,0
MKV,20180110,,,,10.8,0
MKV,20180109,,,,10.8,0
MKV,20180108,,,,10.8,0
MKV,20180105,,,,10.8,0
MKV,20180104,,,,10.8,0
MKV,20180103,,,,10.8,0
MKV,20180102,,,,10.8,0
MKV,20171229,,,,10.8,0
MKV,20171228,,,,10.8,0
MKV,20171227,,,,10.8,0
MKV,20171226,,,,10.8,0
MKV,20171225,,,,10.8,0
MKV,20171222,,,,10.8,0
MKV,20171221,10.8,10.8,10.8,10.8,24
MKV,20171220,10.8,10.8,10.8,10.8,12
MKV,20171219,,,,10.8,0
MKV,20171218,,,,10.8,0
MKV,20171215,,,,10.8,0
MKV,20171214,,,,10.8,0
MKV,20171213,10.8,10.8,10.8,10.8,100
MKV,20171212,,,,12,0
MKV,20171211,,,,12,0
MKV,20171208,,,,12,0
MKV,20171207,,,,12,0
MKV,20171206,,,,12,0
MKV,20171205,,,,12,0
MKV,20171204,,,,12,0
MKV,20171201,,,,12,0
MKV,20171130,,,,12,0
MKV,20171129,,,,12,0
MKV,20171128,,,,12,0
MKV,20171127,12,12,12,12,1000
MKV,20171124,,,,12,0
MKV,20171123,,,,12,0
MKV,20171122,,,,12,0
MKV,20171121,,,,12,0
MKV,20171120,,,,12,0
MKV,20171117,,,,12,0
MKV,20171116,,,,12,0
MKV,20171115,,,,12,0
MKV,20171114,,,,12,0
MKV,20171113,,,,12,0
MKV,20171110,,,,12,0
MKV,20171109,,,,12,0
MKV,20171108,,,,12,0
MKV,20171107,,,,12,0
MKV,20171106,,,,12,0
MKV,20171103,,,,12,0
MKV,20171102,,,,12,0
MKV,20171101,,,,12,0
MKV,20171031,,,,12,0
MKV,20171030,,,,12,0
MKV,20171027,,,,12,0
MKV,20171026,,,,12,0
MKV,20171025,,,,12,0
MKV,20171024,,,,12,0
MKV,20171023,,,,12,0
MKV,20171020,,,,12,0
MKV,20171019,,,,12,0
MKV,20171018,,,,12,0
MKV,20171017,,,,12,0
MKV,20171016,,,,12,0
MKV,20171013,,,,12,0
MKV,20171012,,,,12,0
MKV,20171011,,,,12,0
MKV,20171010,,,,12,0
MKV,20171009,,,,12,0
MKV,20171006,,,,12,0
MKV,20171005,,,,12,0
MKV,20171004,,,,12,0
MKV,20171003,,,,12,0
MKV,20171002,12,12,12,12,19000
MKV,20170929,,,,12,0
MKV,20170928,12,12,12,12,52000
MKV,20170927,13,13,13,13,7000
MKV,20170926,,,,13.6,0
MKV,20170925,,,,13.6,0
MKV,20170922,,,,13.6,0
MKV,20170921,,,,13.6,0
MKV,20170920,,,,13.6,0
MKV,20170919,,,,13.6,0
MKV,20170918,,,,13.6,0
MKV,20170915,,,,13.6,0
MKV,20170914,,,,13.6,0
MKV,20170913,,,,13.6,0
MKV,20170912,,,,13.6,0
MKV,20170911,,,,13.6,0
MKV,20170908,,,,13.6,0
MKV,20170907,,,,13.6,0
MKV,20170906,,,,13.6,0
MKV,20170905,,,,13.6,0
MKV,20170901,,,,13.6,0
MKV,20170831,13.6,13.6,13.6,13.6,2900
MKV,20170830,,,,13.6,0
MKV,20170829,,,,13.6,0
MKV,20170828,,,,13.6,0
MKV,20170825,,,,13.6,0
MKV,20170824,,,,13.6,0
MKV,20170823,,,,13.6,0
MKV,20170822,,,,13.6,0
MKV,20170821,,,,13.6,0
MKV,20170818,,,,13.6,0
MKV,20170817,,,,13.6,0
MKV,20170816,13.6,13.6,13.6,13.6,1000
MKV,20170815,,,,13.6,0
MKV,20170814,,,,13.6,0
MKV,20170811,,,,13.6,0
MKV,20170810,,,,13.6,0
MKV,20170809,13.6,13.6,13.6,13.6,1000
MKV,20170808,,,,14.5,0
MKV,20170807,14.5,14.5,14.5,14.5,5400
MKV,20170804,14.5,14.5,14.5,14.5,7000
MKV,20170803,,,,14.3,0
MKV,20170802,13.6,14.3,13.6,14.3,235600
MKV,20170801,14,14,13.6,13.6,4500
MKV,20170731,,,,15,0
MKV,20170728,,,,15,0
MKV,20170727,15,15,15,15,11000
MKV,20170726,15.5,15.5,14.5,14.5,1100
MKV,20170725,18,18,15.9,15.9,5600
MKV,20170724,,,,17.6,0
MKV,20170721,,,,17.6,0
MKV,20170720,,,,17.6,0
MKV,20170719,,,,17.6,0
MKV,20170718,,,,17.6,0
MKV,20170717,,,,17.6,0
MKV,20170714,,,,17.6,0
MKV,20170713,,,,17.6,0
MKV,20170712,,,,17.6,0
MKV,20170711,,,,17.6,0
MKV,20170710,,,,17.6,0
MKV,20170707,,,,17.6,0
MKV,20170706,,,,17.6,0
MKV,20170705,,,,17.6,0
MKV,20170704,,,,17.6,0
MKV,20170703,,,,17.6,0
MKV,20170630,17.5,17.6,17.5,17.6,4400
MKV,20170629,15.2,16,15.2,16,3500
MKV,20170628,14.5,14.6,14.5,14.6,5400
MKV,20170627,15.9,15.9,14.5,14.5,3800
MKV,20170626,14.9,14.9,14.9,14.9,13000
MKV,20170623,,,,14.9,0
MKV,20170622,13.6,14.9,13.6,14.9,9000
MKV,20170621,,,,13.6,0
MKV,20170620,,,,13.6,0
MKV,20170619,,,,13.6,0
MKV,20170616,,,,13.6,0
MKV,20170615,,,,13.6,0
MKV,20170614,,,,13.6,0
MKV,20170613,,,,13.6,0
MKV,20170612,,,,13.6,0
MKV,20170609,,,,13.6,0
MKV,20170608,13.6,13.6,13.6,13.6,1000
MKV,20170607,14.3,14.3,14.3,14.3,300
MKV,20170606,,,,13,0
MKV,20170605,,,,13,0
MKV,20170602,,,,13,0
MKV,20170601,,,,13,0
MKV,20170531,,,,13,0
MKV,20170530,13,13,13,13,192785
MKV,20170529,,,,14.4,0
MKV,20170526,,,,14.4,0
MKV,20170525,,,,14.4,0
MKV,20170524,,,,14.4,0
MKV,20170523,,,,14.4,0
MKV,20170522,,,,14.4,0
MKV,20170519,,,,14.4,0
MKV,20170518,,,,14.4,0
MKV,20170517,,,,14.4,0
