<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
NBP,20180713,,,,12.6,0
NBP,20180712,,,,12.6,0
NBP,20180711,,,,12.6,0
NBP,20180710,,,,12.6,0
NBP,20180709,,,,12.6,0
NBP,20180706,,,,12.6,0
NBP,20180705,,,,12.6,0
NBP,20180704,,,,12.6,0
NBP,20180703,12.6,12.6,12.6,12.6,100
NBP,20180702,14.3,14.3,14,14,5500
NBP,20180629,14.2,14.2,14.2,14.2,2000
NBP,20180628,,,,14.6,0
NBP,20180627,,,,14.6,0
NBP,20180626,,,,14.6,0
NBP,20180625,,,,14.6,0
NBP,20180622,,,,14.6,0
NBP,20180621,,,,14.6,0
NBP,20180620,,,,14.6,0
NBP,20180619,,,,14.6,0
NBP,20180618,,,,14.6,0
NBP,20180615,,,,14.6,0
NBP,20180614,,,,14.6,0
NBP,20180613,,,,14.6,0
NBP,20180612,,,,14.6,0
NBP,20180611,14.6,14.6,14.6,14.6,100
NBP,20180608,,,,14.5,0
NBP,20180607,14.5,14.5,14.5,14.5,100
NBP,20180606,,,,14,0
NBP,20180605,,,,14,0
NBP,20180604,,,,14,0
NBP,20180601,,,,14,0
NBP,20180531,,,,14,0
NBP,20180530,,,,14,0
NBP,20180529,,,,14,0
NBP,20180528,14,14,14,14,300
NBP,20180525,,,,15,0
NBP,20180524,,,,15,0
NBP,20180523,,,,15,0
NBP,20180522,,,,15,0
NBP,20180521,,,,15,0
NBP,20180518,15,15,15,15,600
NBP,20180517,,,,15,0
NBP,20180516,,,,15,0
NBP,20180515,15,15,15,15,1000
NBP,20180514,15,15,15,15,3000
NBP,20180511,,,,14.2,0
NBP,20180510,,,,14.2,0
NBP,20180509,15,15,14.2,14.2,3700
NBP,20180508,,,,15,0
NBP,20180507,,,,15,0
NBP,20180504,,,,15,0
NBP,20180503,,,,15,0
NBP,20180502,,,,15,0
NBP,20180427,,,,15,0
NBP,20180426,15,15,15,15,1000
NBP,20180424,,,,15.4,0
NBP,20180423,15.4,15.4,15.4,15.4,2000
NBP,20180420,,,,15.2,0
NBP,20180419,,,,15.2,0
NBP,20180418,15.2,15.2,15.2,15.2,100
NBP,20180417,14.1,14.2,14.1,14.2,2400
NBP,20180416,,,,15.5,0
NBP,20180413,15.5,15.5,15.5,15.5,1900
NBP,20180412,,,,15.8,0
NBP,20180411,,,,15.8,0
NBP,20180410,15.8,15.8,15.8,15.8,2000
NBP,20180409,16,16,16,16,3200
NBP,20180406,15.5,15.5,15.5,15.5,2000
NBP,20180405,,,,15,0
NBP,20180404,,,,15,0
NBP,20180403,,,,15,0
NBP,20180402,15,15,15,15,3000
NBP,20180330,14.8,14.9,14.8,14.9,1100
NBP,20180329,,,,14.7,0
NBP,20180328,,,,14.7,0
NBP,20180327,,,,14.7,0
NBP,20180326,14.3,14.7,14.3,14.7,3700
NBP,20180323,14.3,14.3,14.3,14.3,100
NBP,20180322,15.8,15.8,15.8,15.8,200
NBP,20180321,15,15.2,15,15.2,1200
NBP,20180320,15,15,15,15,5400
NBP,20180319,14.6,14.6,14.5,14.5,1400
NBP,20180316,14.5,14.5,14.5,14.5,3000
NBP,20180315,14.5,14.5,14.5,14.5,500
NBP,20180314,15,15,15,15,600
NBP,20180313,15,15,15,15,1200
NBP,20180312,15.2,15.2,15.2,15.2,100
NBP,20180309,14.1,15.2,14.1,15.2,5100
NBP,20180308,14,14,14,14,5000
NBP,20180307,14.1,14.1,14.1,14.1,100
NBP,20180306,14.1,15.4,14,15.4,1900
NBP,20180305,14.3,15.5,14.3,15.5,200
NBP,20180302,14.3,15.8,14.3,15.8,200
NBP,20180301,14.3,15.8,14.3,15.8,200
NBP,20180228,14.3,15.8,14.3,15.8,200
NBP,20180227,14.3,15.8,14.3,15.8,200
NBP,20180226,14.4,15.8,14.4,15.8,300
NBP,20180223,15.9,15.9,15.9,15.9,100
NBP,20180222,13.7,15,13.7,15,200
NBP,20180221,15.2,15.2,15.2,15.2,100
NBP,20180213,,,,14.9,0
NBP,20180212,13.9,14.9,13.9,14.9,300
NBP,20180209,12.6,13.9,12.6,13.9,200
NBP,20180208,13,13.9,13,13.9,200
NBP,20180207,,,,14.1,0
NBP,20180206,,,,14.1,0
NBP,20180205,,,,14.1,0
NBP,20180202,,,,14.1,0
NBP,20180201,14.1,14.1,14.1,14.1,500
NBP,20180131,13.9,13.9,13.9,13.9,1000
NBP,20180130,13.9,13.9,13.9,13.9,1500
NBP,20180129,,,,13.9,0
NBP,20180126,13.9,13.9,13.9,13.9,600
NBP,20180125,,,,13.8,0
NBP,20180122,12.6,13.8,12.6,13.8,300
NBP,20180119,13,13.9,11.8,13.9,5600
NBP,20180118,13,13,13,13,4100
NBP,20180117,14.4,14.4,14.4,14.4,100
NBP,20180116,12.3,13.7,12.2,13.7,8200
NBP,20180115,13.5,13.5,13.5,13.5,4600
NBP,20180112,,,,14.8,0
NBP,20180111,,,,14.8,0
NBP,20180110,,,,14.8,0
NBP,20180109,,,,14.8,0
NBP,20180108,,,,14.8,0
NBP,20180105,,,,14.8,0
NBP,20180104,,,,14.8,0
NBP,20180103,,,,14.8,0
NBP,20180102,,,,14.8,0
NBP,20171229,12.8,14.8,12.8,14.8,3100
NBP,20171228,,,,13.9,0
NBP,20171227,,,,13.9,0
NBP,20171226,,,,13.9,0
NBP,20171225,,,,13.9,0
