<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
NCT,20180713,87,87,86,86.9,3370
NCT,20180712,86.5,86.5,86,86.5,5900
NCT,20180711,87,87,85,86.7,5200
NCT,20180710,85.1,88,85,87,13640
NCT,20180709,89.3,89.3,87.9,87.9,3060
NCT,20180706,88.6,89.3,82.4,88,13020
NCT,20180705,92,92,88.6,88.6,8570
NCT,20180704,89,92,89,92,90
NCT,20180703,92,93,88.6,92,6240
NCT,20180702,93,93,92,92,2570
NCT,20180629,92,93,92,93,81480
NCT,20180628,92.6,93,92.6,92.8,39550
NCT,20180627,92,93,92,93,26830
NCT,20180626,92,93,92,93,28620
NCT,20180625,93,93.5,92.7,93,19420
NCT,20180622,92,94,91,93,16510
NCT,20180621,93,93,93,93,12510
NCT,20180620,92.5,93,92.3,93,20570
NCT,20180619,93,93,92.5,92.7,8050
NCT,20180618,92.9,93,92,93,13120
NCT,20180615,91.7,94,91.7,93,32990
NCT,20180614,93,94.2,93,93.6,79640
NCT,20180613,94,94,91,93,9150
NCT,20180612,93,93,91,93,11040
NCT,20180611,92,92,91,92,4090
NCT,20180608,92,92.3,91.1,92.3,720
NCT,20180607,92.6,92.6,92,92.1,10190
NCT,20180606,93,93,91,91.6,7200
NCT,20180605,92.9,93,91.6,91.6,4120
NCT,20180604,91.5,94,90.8,92.7,18560
NCT,20180601,91,98,91,91.5,19500
NCT,20180531,96.5,96.5,91.6,93,4640
NCT,20180530,98,99.8,90.5,96.5,56510
NCT,20180529,94.04,94.99,94.04,94.8,72220
NCT,20180528,94.52,94.52,92.15,94.42,16060
NCT,20180525,93.28,95.84,93.09,94.9,15480
NCT,20180524,94.04,94.04,93.09,94.04,5640
NCT,20180523,93.85,94.04,92.71,94.04,16690
NCT,20180522,92.91,94.8,92.91,94.04,59250
NCT,20180521,93.86,93.86,93.29,93.76,1620
NCT,20180518,92.62,94.8,92.62,93.95,15580
NCT,20180517,92.61,94.99,92.61,93.09,30300
NCT,20180516,92.9,92.9,92.33,92.33,2120
NCT,20180515,92.33,92.9,92.14,92.9,12180
NCT,20180514,92.43,92.52,92.14,92.33,2060
NCT,20180511,92.62,92.62,91.29,92.52,10800
NCT,20180510,92.81,93.09,92.14,92.9,7730
NCT,20180509,92.33,92.9,92.14,92.9,3090
NCT,20180508,93.38,93.38,91.39,93.09,4630
NCT,20180507,92.14,93.56,91.19,93.38,7280
NCT,20180504,93.57,93.57,90.25,93.47,22980
NCT,20180503,94.04,94.04,91.38,93.57,18990
NCT,20180502,94.04,94.04,92.14,92.14,5750
NCT,20180427,92.14,94.04,91.67,94.04,6440
NCT,20180426,93.09,93.95,92.05,92.14,7050
NCT,20180424,91.19,92.04,91.19,92.05,6680
NCT,20180423,94.04,94.04,91.2,91.19,13780
NCT,20180420,94.04,94.04,92.14,93,9810
NCT,20180419,94.89,94.89,92.05,93.09,8220
NCT,20180418,94.13,94.13,89.29,94.04,13400
NCT,20180417,92.24,94.99,92.14,94.04,9610
NCT,20180416,92.14,94.51,88.34,94.04,7150
NCT,20180413,92.62,97.37,92.62,94.04,21240
NCT,20180412,94.99,94.99,92.62,92.62,16100
NCT,20180411,96.8,96.8,94.05,94.99,5270
NCT,20180410,98.5,98.5,94.61,96.8,6980
NCT,20180409,98.79,98.79,95.46,95.56,5800
NCT,20180406,98.7,98.7,95,95.37,6210
NCT,20180405,97.37,97.75,96.9,97.75,3800
NCT,20180404,94.81,99.74,94.81,99.27,34360
NCT,20180403,95.38,98.79,95.09,95.66,7150
NCT,20180402,97.84,98.79,94.99,97.37,10260
NCT,20180330,96.6,97.84,96.42,97.84,29200
NCT,20180329,98.79,98.79,96.42,96.51,36560
NCT,20180328,94.99,99.74,94.99,98.79,22450
NCT,20180327,97.84,97.84,95.95,96.13,2210
NCT,20180326,96.89,99.74,95.47,97.75,5500
NCT,20180323,98.7,98.7,95,96.89,2930
NCT,20180322,94.51,98.69,94.51,98.7,28740
NCT,20180321,94.42,94.42,93.66,94.42,59550
NCT,20180320,94.23,94.42,94.04,94.23,2010
NCT,20180319,94.8,94.8,94.04,94.42,4230
NCT,20180316,94.04,94.99,94.04,94.8,7390
NCT,20180315,95.94,95.94,94.04,94.04,4730
NCT,20180314,94.9,95.94,93.57,95.94,35430
NCT,20180313,94.52,94.99,94.52,94.99,8520
NCT,20180312,94.99,95.08,94.04,94.52,16890
NCT,20180309,96.89,97.36,94.9,94.99,22400
NCT,20180308,97.46,97.84,96.89,96.89,41770
NCT,20180307,97.84,98.31,95.94,97.46,43890
NCT,20180306,98.32,98.32,97.66,97.65,9900
NCT,20180305,99.74,99.74,98.32,98.32,1270
NCT,20180302,98.6,99.74,97.84,99.74,16520
NCT,20180301,99.08,99.08,97.94,98.6,3920
NCT,20180228,98.89,100.79,98.89,99.08,7330
