<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
NET,20180713,21,21,20.5,21,5900
NET,20180712,21.7,22.3,20.5,21.3,2400
NET,20180711,24.5,24.5,21.6,21.6,2128
NET,20180710,,,,22.5,0
NET,20180709,21.6,23.5,21.5,22.5,16500
NET,20180706,23.8,23.8,23.8,23.8,100
NET,20180705,21.7,22.7,21.7,22.7,200
NET,20180704,22.6,22.6,21.6,22.6,1800
NET,20180703,22,22.6,22,22,2000
NET,20180702,23.4,23.4,21.4,22.7,400
NET,20180629,21.2,23.4,21.2,23.4,200
NET,20180628,23.4,23.4,23.4,23.4,4
NET,20180627,,,,23.4,0
NET,20180626,23.4,23.4,23.4,23.4,10
NET,20180625,20.8,23.5,20.8,23.4,2000
NET,20180622,24,24,23,23,550
NET,20180621,22.8,22.8,22.8,22.8,230
NET,20180620,22.52,22.9,22.52,22.89,1100
NET,20180619,22.52,22.52,22.52,22.52,5900
NET,20180618,23.18,23.27,22.52,22.99,1000
NET,20180615,,,,23.18,0
NET,20180614,22.52,23.18,22.52,23.18,1100
NET,20180613,23.27,23.27,23.27,23.27,100
NET,20180612,22.8,22.8,22.52,22.52,4900
NET,20180611,22.8,22.8,22.8,22.8,620
NET,20180608,22.05,22.8,22.05,22.8,5000
NET,20180607,22.05,22.14,22.05,22.14,4100
NET,20180606,21.86,22.33,21.86,22.33,600
NET,20180605,21.86,22.33,21.67,22.33,1400
NET,20180604,21.58,21.96,21.58,21.67,11200
NET,20180601,21.86,21.86,21.58,21.58,1400
NET,20180531,21.02,21.96,21.02,21.77,3519
NET,20180530,21.01,21.39,20.92,21.02,5300
NET,20180529,20.83,21.49,20.83,21.39,3821
NET,20180528,21.58,21.58,20.83,20.83,8100
NET,20180525,22.24,22.24,21.58,21.58,1000
NET,20180524,21.2,22.33,21.2,22.33,7200
NET,20180523,,,,22.8,0
NET,20180522,20.64,22.8,20.64,22.8,200
NET,20180521,22.8,22.8,22.52,22.8,2500
NET,20180518,22.52,22.52,22.52,22.52,4010
NET,20180517,,,,22.99,0
NET,20180516,23.08,23.08,22.52,22.99,1200
NET,20180515,22.52,23.46,22.52,23.27,2500
NET,20180514,,,,22.8,0
NET,20180511,22.89,22.89,22.42,22.8,5100
NET,20180510,23.08,23.08,23.08,23.08,100
NET,20180509,22.52,23.27,22.52,23.08,3800
NET,20180508,23.46,24.4,21.49,21.49,50800
NET,20180507,23.46,23.46,23.46,23.46,4520
NET,20180504,24.4,24.4,23.46,23.46,9002
NET,20180503,23.55,24.77,23.17,24.49,2200
NET,20180502,25.33,25.33,25.33,25.33,50000
NET,20180427,22.8,23.65,22.8,23.55,5000
NET,20180426,,,,23.18,0
NET,20180424,21.3,23.93,21.3,23.18,3444
NET,20180423,23.65,23.65,23.18,23.18,8400
NET,20180420,,,,23.27,0
NET,20180419,23.65,23.65,23.27,23.27,1804
NET,20180418,23.93,23.93,23.27,23.27,3800
NET,20180417,23.65,23.93,23.27,23.27,9700
NET,20180416,23.46,23.46,23.18,23.18,25200
NET,20180413,23.46,24.68,23.27,23.93,17300
NET,20180412,23.45,23.45,23.27,23.46,27100
NET,20180411,23.46,23.46,23.27,23.36,13300
NET,20180410,23.37,23.46,23.37,23.46,5100
NET,20180409,23.36,23.45,23.36,23.46,18300
NET,20180406,23.36,23.36,23.36,23.36,14220
NET,20180405,23.37,23.37,23.27,23.27,14400
NET,20180404,23.46,23.46,23.46,23.46,1790
NET,20180403,23.55,23.55,23.55,23.55,320
NET,20180402,23.45,23.83,23.36,23.83,13500
NET,20180330,23.37,23.37,23.37,23.36,3500
NET,20180329,23.36,23.45,23.27,23.46,11200
NET,20180328,23.45,23.64,23.36,23.36,11610
NET,20180327,23.46,23.46,23.37,23.36,12100
NET,20180326,23.74,23.74,23.46,23.46,600
NET,20180323,23.36,23.46,23.18,23.46,14302
NET,20180322,23.27,23.64,23.27,23.27,10720
NET,20180321,23.36,23.36,23.27,23.36,18900
NET,20180320,23.55,23.55,23.36,23.36,7480
NET,20180319,23.45,23.74,23.36,23.36,1700
NET,20180316,23.37,23.37,23.37,23.36,10700
NET,20180315,23.27,23.46,23.27,23.46,14800
NET,20180314,23.27,23.36,23.18,23.18,14900
NET,20180313,23.37,23.74,23.27,23.27,11700
NET,20180312,23.18,23.84,23.18,23.46,1600
NET,20180309,23.46,23.46,23.18,23.46,43300
NET,20180308,23.18,23.74,23.18,23.74,8130
NET,20180307,23.93,23.93,23.18,23.18,17004
NET,20180306,23.83,24.39,23.27,23.27,11105
NET,20180305,23.27,23.46,23.27,23.36,25800
NET,20180302,23.83,23.83,23.18,23.27,24400
NET,20180301,23.84,23.84,23.27,23.27,5100
NET,20180228,24.21,25.15,23.55,23.93,1600
NET,20180227,24.4,24.4,23.55,23.55,4000
NET,20180226,24.4,24.4,23.74,23.74,4800
NET,20180223,23.55,23.74,23.36,23.74,1600
NET,20180222,23.55,23.55,23.55,23.55,2700
NET,20180221,23.55,24.11,23.55,24.11,5600
NET,20180213,24.11,24.11,24.11,24.11,500
NET,20180212,24.3,24.3,23.46,24.11,8700
NET,20180209,24.4,24.4,22.99,23.46,27360
NET,20180208,23.74,23.74,23.08,23.18,13700
NET,20180207,24.39,24.39,22.99,23.74,12500
NET,20180206,23.17,24.21,22.52,23.55,19800
NET,20180205,24.21,24.87,23.18,24.3,7000
NET,20180202,24.12,24.12,23.18,23.46,14601
NET,20180201,24.12,24.12,23.27,23.46,4100
NET,20180131,24.31,24.31,23.18,23.46,7600
NET,20180130,24.3,24.3,23.18,23.18,23400
NET,20180129,23.74,23.74,23.37,23.46,36120
NET,20180126,23.74,23.84,23.46,23.46,36600
NET,20180125,24.77,24.77,23.74,23.93,46800
NET,20180122,25.34,25.34,23.83,24.39,15900
NET,20180119,25.14,25.14,24.2,24.21,26640
NET,20180118,25.42,25.42,24.3,24.39,40800
NET,20180117,24.58,24.67,24.49,24.58,15412
NET,20180116,25.14,25.14,24.58,24.58,26600
NET,20180115,25.33,25.33,24.96,25.33,21000
NET,20180112,26.08,26.08,25.33,25.71,12516
NET,20180111,25.34,26.28,24.77,26.08,62716
NET,20180110,25.33,25.33,24.02,25.15,33114
NET,20180109,25.33,25.33,24.11,24.86,5920
NET,20180108,24.58,24.58,24.4,24.39,2600
NET,20180105,25.05,25.8,24.01,25.24,6300
NET,20180104,24.3,24.39,24.2,24.39,4400
NET,20180103,24.67,24.67,23.64,24.39,6710
NET,20180102,24.86,25.05,24.68,25.05,3613
NET,20171229,26.08,27.21,25.24,25.24,2100
NET,20171228,25.33,26.27,24.58,25.24,4100
NET,20171227,24.02,25.33,24.02,25.33,31650
NET,20171226,24.02,24.02,24.02,24.02,220
NET,20171225,24.49,24.49,23.83,23.83,4500
NET,20171222,23.83,24.58,23.46,24.3,24300
NET,20171221,24.39,24.39,24.01,24.02,6760
NET,20171220,24.4,24.4,24.4,24.39,2530
NET,20171219,23.92,24.21,23.46,24.21,5140
NET,20171218,23.92,24.3,23.83,24.3,4549
NET,20171215,23.93,24.3,23.93,24.3,2400
NET,20171214,23.93,24.49,23.93,24.49,45000
NET,20171213,23.84,24.21,23.65,23.93,15135
NET,20171212,23.45,23.83,23.45,23.46,10935
NET,20171211,23.65,23.84,23.46,23.83,8940
NET,20171208,23.46,23.93,23.46,23.93,2954
NET,20171207,23.65,23.65,23.46,23.46,8080
NET,20171206,23.46,24.21,23.36,24.21,7100
NET,20171205,23.55,24.3,23.36,24.3,20100
NET,20171204,24.11,24.3,21.95,24.11,29660
NET,20171201,24.11,24.39,24.11,24.39,5300
NET,20171130,24.3,24.3,24.11,24.11,16155
NET,20171129,24.2,24.2,23.75,24.11,22320
NET,20171128,24.47,25.1,24.11,24.29,22000
NET,20171127,24.29,24.29,24.11,24.2,17900
NET,20171124,24.2,24.29,24.11,24.29,10029
