<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
NGC,20180713,10,10,8.3,8.3,1400
NGC,20180712,,,,9.2,0
NGC,20180711,,,,9.2,0
NGC,20180710,,,,9.2,0
NGC,20180709,,,,9.2,0
NGC,20180706,9.1,9.2,9.1,9.2,400
NGC,20180705,,,,8.4,0
NGC,20180704,,,,8.4,0
NGC,20180703,,,,8.4,0
NGC,20180702,,,,8.4,0
NGC,20180629,8.4,8.4,8.4,8.4,100
NGC,20180628,7.7,7.7,7.7,7.7,1000
NGC,20180627,7,8,7,7,1000
NGC,20180626,8.9,8.9,7.3,7.3,1500
NGC,20180625,8.1,8.1,8.1,8.1,100
NGC,20180622,,,,9,0
NGC,20180621,9,9,9,9,500
NGC,20180620,,,,9.9,0
NGC,20180619,,,,9.9,0
NGC,20180618,9.9,9.9,9.9,9.9,1000
NGC,20180615,,,,11,0
NGC,20180614,,,,11,0
NGC,20180613,,,,11,0
NGC,20180612,,,,11,0
NGC,20180611,,,,11,0
NGC,20180608,,,,11,0
NGC,20180607,,,,11,0
NGC,20180606,,,,11,0
NGC,20180605,,,,11,0
NGC,20180604,,,,11,0
NGC,20180601,,,,11,0
NGC,20180531,,,,11,0
NGC,20180530,,,,11,0
NGC,20180529,,,,11,0
NGC,20180528,,,,11,0
NGC,20180525,,,,11,0
NGC,20180524,,,,11,0
NGC,20180523,,,,11,0
NGC,20180522,,,,11,0
NGC,20180521,,,,11,0
NGC,20180518,,,,11,0
NGC,20180517,,,,11,0
NGC,20180516,,,,11,0
NGC,20180515,,,,11,0
NGC,20180514,,,,11,0
NGC,20180511,,,,11,0
NGC,20180510,,,,11,0
NGC,20180509,,,,11,0
NGC,20180508,,,,11,0
NGC,20180507,11,11,11,11,100
NGC,20180504,10.8,10.8,10.8,10.8,200
NGC,20180503,,,,11.9,0
NGC,20180502,,,,11.9,0
NGC,20180427,,,,11.9,0
NGC,20180426,,,,11.9,0
NGC,20180424,,,,11.9,0
NGC,20180423,,,,11.9,0
NGC,20180420,,,,11.9,0
NGC,20180419,,,,11.9,0
NGC,20180418,,,,11.9,0
NGC,20180417,,,,11.9,0
NGC,20180416,,,,11.9,0
NGC,20180413,11.9,11.9,11.9,11.9,1000
NGC,20180412,,,,13.2,0
NGC,20180411,,,,13.2,0
NGC,20180410,,,,13.2,0
NGC,20180409,13.2,13.2,13.2,13.2,100
NGC,20180406,,,,12,0
NGC,20180405,,,,12,0
NGC,20180404,,,,12,0
NGC,20180403,12,12,12,12,30
NGC,20180402,,,,12,0
NGC,20180330,,,,12,0
NGC,20180329,,,,12,0
NGC,20180328,,,,12,0
NGC,20180327,,,,12,0
NGC,20180326,,,,12,0
NGC,20180323,,,,12,0
NGC,20180322,,,,12,0
NGC,20180321,,,,12,0
NGC,20180320,,,,12,0
NGC,20180319,,,,12,0
NGC,20180316,,,,12,0
NGC,20180315,,,,12,0
NGC,20180314,,,,12,0
NGC,20180313,,,,12,0
NGC,20180312,,,,12,0
NGC,20180309,,,,12,0
