<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
NLG,20180713,28.5,29.2,28.3,29.2,295880
NLG,20180712,28.45,28.9,27.8,28.45,391500
NLG,20180711,28.3,28.8,27.9,28,272830
NLG,20180710,29.35,29.35,28.6,28.95,196350
NLG,20180709,28.5,29.2,28.5,29,410090
NLG,20180706,27.6,28.8,27.6,28.5,395400
NLG,20180705,28.5,28.5,27.5,28.3,425750
NLG,20180704,27,28.2,26.6,28.2,459830
NLG,20180703,27.5,28,27,27,280320
NLG,20180702,27.6,28.1,27,28.1,565370
NLG,20180629,27.7,28.05,27.5,28,348430
NLG,20180628,27.9,28.1,27.3,28.1,431580
NLG,20180627,28.4,28.4,27.8,28,437360
NLG,20180626,28.4,28.5,27.6,28.4,767130
NLG,20180625,28.5,28.5,28.1,28.4,788690
NLG,20180622,27.5,28.7,27.5,28,291730
NLG,20180621,28.6,28.85,27.5,27.9,478730
NLG,20180620,28.7,29.1,27.8,28.85,372880
NLG,20180619,29.2,29.7,27.75,28.85,1194750
NLG,20180618,30.5,30.5,29.5,29.8,586890
NLG,20180615,30.5,30.5,29.9,30.4,169670
NLG,20180614,29.7,30.7,29.7,30.5,368550
NLG,20180613,30.1,31.3,30,30,477390
NLG,20180612,30.5,31,29.5,30.9,484690
NLG,20180611,30.05,31.5,30.05,30.7,267150
NLG,20180608,30.8,31.5,30.5,30.6,243980
NLG,20180607,31.9,31.9,30.6,31.7,426880
NLG,20180606,31.8,32.15,30.5,31.9,441420
NLG,20180605,29.85,30.17,29.05,30.17,765050
NLG,20180604,26.82,28.2,26.82,28.2,617100
NLG,20180601,27,27,26.37,26.37,158030
NLG,20180531,25.83,26.77,25.7,26.73,274920
NLG,20180530,26.64,26.64,25.7,25.7,377440
NLG,20180529,26.46,26.64,24.85,26.64,455810
NLG,20180528,27.44,27.44,25.79,26.55,1045070
NLG,20180525,28.25,28.34,26.82,27.71,485550
NLG,20180524,29.23,29.41,28.02,28.16,330080
NLG,20180523,27.53,29.45,27.53,29.14,265820
NLG,20180522,30.21,30.21,28.15,29.05,288330
NLG,20180521,30.66,30.66,30.03,30.21,120760
NLG,20180518,30.39,30.39,29.23,30.12,201400
NLG,20180517,28.29,30.48,28.29,30.39,278190
NLG,20180516,30.39,30.57,29.5,30.39,217050
NLG,20180515,30.21,30.57,29.85,30.39,161430
NLG,20180514,30.3,30.39,29.85,30.21,221900
NLG,20180511,29.14,30.3,28.34,30.3,561620
NLG,20180510,30.21,30.21,29.14,29.14,466910
NLG,20180509,30.39,30.52,29.81,30.3,326910
NLG,20180508,31.28,31.28,30.7,30.7,98890
NLG,20180507,31.28,31.28,30.39,31.28,185510
NLG,20180504,30.48,31.29,29.5,31.28,331320
NLG,20180503,29.99,31.24,29.54,30.84,639480
NLG,20180502,32.18,32.18,29.95,31.73,270650
NLG,20180427,31.68,32.18,30.39,32.18,358040
NLG,20180426,31.28,32.4,29.27,31.64,810500
NLG,20180424,31.47,32.18,31.47,31.46,627120
NLG,20180423,36.29,36.29,33.79,33.79,538980
NLG,20180420,35.67,36.56,35.67,36.29,292160
NLG,20180419,37.45,38.17,36.47,36.47,184600
NLG,20180418,36.65,38.26,36.6,37.45,600500
NLG,20180417,35.8,36.47,35.31,36.47,156710
NLG,20180416,35.75,36.29,35.3,35.98,167330
NLG,20180413,36.65,36.73,36.02,36.02,321120
NLG,20180412,36.65,36.74,36.2,36.69,362940
NLG,20180411,37.45,37.45,36.56,36.65,609390
NLG,20180410,36.2,37.01,36.2,36.65,480620
NLG,20180409,38.35,38.35,36.56,36.56,437300
NLG,20180406,36.38,38.25,36.38,37.81,740910
NLG,20180405,35.31,35.76,35.04,35.75,177800
NLG,20180404,34.37,35.67,33.97,35.31,426280
NLG,20180403,34.41,34.72,34.05,34.37,252180
NLG,20180402,33.43,34.86,33.34,34.32,486040
NLG,20180330,32.85,33.34,32.18,32.98,399580
NLG,20180329,32.63,32.98,32.18,32.45,70100
NLG,20180328,31.19,32.8,31.01,32.67,604670
NLG,20180327,31.28,31.64,31.06,31.19,238240
NLG,20180326,31.1,31.1,30.47,31.1,57990
NLG,20180323,30.39,31.1,30.39,31.1,161810
NLG,20180322,31.37,32,31.1,31.1,261560
NLG,20180321,31.64,31.64,31.19,31.46,206410
NLG,20180320,31.28,31.55,31.06,31.19,218000
NLG,20180319,32,32,31.37,31.64,241180
NLG,20180316,31.64,32.18,31.64,31.73,166380
NLG,20180315,30.92,31.82,30.92,31.73,352370
NLG,20180314,31.19,31.37,30.83,31.19,329740
NLG,20180313,31.38,31.38,30.93,31.19,128370
NLG,20180312,31.46,31.46,30.92,30.93,167420
NLG,20180309,31.28,31.64,31.06,31.46,228260
NLG,20180308,30.44,31.15,30.44,31.06,221030
NLG,20180307,30.84,30.84,30.39,30.66,349530
NLG,20180306,30.12,31.1,29.72,30.84,369090
NLG,20180305,29.86,31.2,29.86,30.3,397120
NLG,20180302,28.07,29.77,28.07,29.5,217330
NLG,20180301,28.6,28.69,28.42,28.56,317160
NLG,20180228,29.09,29.18,28.6,28.6,147430
NLG,20180227,29.53,29.53,28.64,29.05,227760
NLG,20180226,27.92,28.42,27.43,28.01,492110
NLG,20180223,27.59,27.84,27.34,27.43,257720
NLG,20180222,27.18,28,26.93,27.59,547060
NLG,20180221,27.43,27.68,26.94,27.18,227890
NLG,20180213,28,28,27.26,27.43,101280
NLG,20180212,27.18,27.6,26.61,27.18,393940
NLG,20180209,25.86,27.75,25.86,27.72,334070
NLG,20180208,25.53,27.59,25.53,27.59,476140
NLG,20180207,24.79,26.11,24.79,26.11,682350
NLG,20180206,24.43,26.24,24.43,24.42,621300
NLG,20180205,26.77,28.01,26.23,26.24,429110
NLG,20180202,27.84,28.17,27.76,28.17,296060
NLG,20180201,29,29,28.01,28.05,365750
NLG,20180131,29.24,29.57,28.75,28.75,1095480
NLG,20180130,26.86,29.53,26.86,28.83,810260
NLG,20180129,28.01,28.34,27.6,27.64,467560
NLG,20180126,28.5,28.83,27.93,28.01,659430
NLG,20180125,28.83,28.99,28.13,28.42,1909330
NLG,20180122,27.59,28.58,27.59,28.29,793770
NLG,20180119,26.94,27.51,26.44,26.81,450570
NLG,20180118,26.36,26.9,25.87,26.69,531180
NLG,20180117,28.25,28.58,26.93,26.94,794030
NLG,20180116,28.26,29,28.09,28.25,814640
NLG,20180115,27.02,28.42,26.77,28.42,1488270
NLG,20180112,27.18,27.43,26.69,26.77,550980
NLG,20180111,27.43,27.43,26.93,27.18,420290
NLG,20180110,26.19,27.55,26.19,27.18,1109350
NLG,20180109,25.95,26.12,25.62,26.07,494540
NLG,20180108,25.37,25.53,25.12,25.54,289680
