<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
NSH,20180713,10.3,11.2,10.2,10.5,1048600
NSH,20180712,10.1,10.8,9.6,10.5,1083900
NSH,20180711,10.2,10.2,10,10.2,997300
NSH,20180710,10.5,10.5,10.1,10.4,1122050
NSH,20180709,10.3,10.8,9.6,10.5,1135400
NSH,20180706,10,10.3,9.5,10.3,1202500
NSH,20180705,10.2,10.2,9.9,10.2,1099900
NSH,20180704,10.1,10.2,9.9,10.2,1251900
NSH,20180703,10.2,10.2,9.5,10.2,1275200
NSH,20180702,10.4,10.8,10,10.2,1140925
NSH,20180629,10.4,10.5,9.7,10.4,1023700
NSH,20180628,10.1,10.4,10,10.4,1179800
NSH,20180627,10.2,10.3,10,10.2,1266800
NSH,20180626,10.3,10.7,10,10.2,1222100
NSH,20180625,10.1,10.5,9.6,10.3,1203600
NSH,20180622,10.4,10.6,10.2,10.3,1302300
NSH,20180621,10.4,10.8,9.7,10.4,1373100
NSH,20180620,10.3,10.4,10.2,10.4,1370600
NSH,20180619,10.3,10.6,9.7,10.4,1039300
NSH,20180618,10.4,10.6,10.2,10.4,1062800
NSH,20180615,10.3,10.4,9.8,10.4,1139400
NSH,20180614,10.5,10.8,9.8,10.4,1210700
NSH,20180613,10.5,10.5,10.3,10.5,981400
NSH,20180612,10.3,10.5,10.3,10.5,972539
NSH,20180611,10.4,10.5,10.4,10.5,832600
NSH,20180608,10.5,10.6,9.8,10.6,927500
NSH,20180607,10.5,10.6,10.4,10.5,938200
NSH,20180606,10.7,10.7,10.3,10.7,969040
NSH,20180605,10.8,11,10,10.9,1159300
NSH,20180604,10.9,11,10.2,10.8,1086500
NSH,20180601,11.9,11.9,10.7,10.9,982300
NSH,20180531,10.5,11.5,9.7,11.3,1274808
NSH,20180530,11.4,11.9,10.5,10.5,794000
NSH,20180529,10.2,11.4,10.2,11.4,1063600
NSH,20180528,11.6,11.6,10.7,10.9,1194408
NSH,20180525,11.1,11.5,10.7,11.5,1152900
NSH,20180524,11,11.2,10.5,11.1,1206200
NSH,20180523,10.5,11.1,9.8,11.1,1247712
NSH,20180522,11.1,11.1,10.5,10.5,1197900
NSH,20180521,10.4,11.5,10.4,11.5,1044200
NSH,20180518,11.6,11.6,11.2,11.2,1081500
NSH,20180517,11.9,11.9,11.1,11.7,1027310
NSH,20180516,11.8,12,11.5,11.9,952800
NSH,20180515,12.1,12.1,11.8,12,984400
NSH,20180514,12.3,12.4,11.1,12.1,1076000
NSH,20180511,11.8,12.1,11.5,12.1,961960
NSH,20180510,11.7,11.9,11,11.9,1034800
NSH,20180509,12.3,12.3,11.8,11.8,1076600
NSH,20180508,12.6,13.4,11.9,12.3,1025200
NSH,20180507,12,12.5,11.9,12.5,1025200
NSH,20180504,12.2,12.2,11.7,12,988600
NSH,20180503,12.2,13,11.4,12.4,1000700
NSH,20180502,11.8,12.3,11.3,12.3,944200
NSH,20180427,12.1,12.8,11.6,12.1,990400
NSH,20180426,12,12.4,11.3,12.1,1012700
NSH,20180424,12.2,12.2,11.6,12.2,571500
NSH,20180423,12,12.3,11.7,12.2,616900
NSH,20180420,12,12.3,11.8,12.3,552900
NSH,20180419,12.6,12.7,11.8,12.3,394100
NSH,20180418,11.3,12.5,11.3,12.5,562510
NSH,20180417,10.9,11.4,10.6,11.4,572700
NSH,20180416,10.2,11.2,10.2,11.2,282800
NSH,20180413,10.4,11.3,10.3,11,519300
NSH,20180412,11,11.3,10.8,11.1,621000
NSH,20180411,11.3,11.3,10.7,11.1,524619
NSH,20180410,10.5,11.3,10.4,11.3,374200
NSH,20180409,11.2,11.2,10.2,11,608900
NSH,20180406,10.7,11.3,10.3,11,279400
NSH,20180405,10.6,10.8,10.1,10.7,321739
NSH,20180404,10.5,10.7,9.9,10.6,283900
NSH,20180403,10.2,10.7,9.8,10.6,270300
NSH,20180402,9.9,10.6,9.9,10.6,335700
NSH,20180330,9.8,10.5,9.7,10.5,273100
NSH,20180329,10,10.6,9.8,10.5,275310
NSH,20180328,9.7,10.6,9.7,10.6,280100
NSH,20180327,10.4,10.4,9.7,10.4,282500
NSH,20180326,9.8,10.4,9.7,10.4,288600
NSH,20180323,10,10.3,9.7,10.2,266200
NSH,20180322,11.5,11.5,10.4,10.4,51200
NSH,20180321,11.6,11.6,11,11.5,251500
NSH,20180320,11,11.9,11,11.6,310600
NSH,20180319,12.5,12.5,11.3,11.3,508610
NSH,20180316,10.6,11.4,10.6,11.4,413300
NSH,20180315,9.4,10.4,9.4,10.4,350900
NSH,20180314,9.4,9.9,9.3,9.5,384700
NSH,20180313,9.3,9.4,9.2,9.4,375900
NSH,20180312,9.4,9.4,9.2,9.4,353900
NSH,20180309,9.2,9.4,9.1,9.4,117500
NSH,20180308,9.2,9.4,9.1,9.4,259100
NSH,20180307,9.2,9.5,9,9.4,257400
NSH,20180306,9.2,9.2,9,9.2,192200
NSH,20180305,9.2,9.3,9.2,9.3,400
NSH,20180302,9.3,9.3,9.3,9.3,3100
NSH,20180301,9.3,9.3,9.2,9.3,61500
NSH,20180228,9.3,9.4,9.2,9.4,60700
NSH,20180227,9.3,9.4,9.3,9.3,60900
NSH,20180226,9.5,9.6,9,9.3,73000
NSH,20180223,9.5,9.6,9.5,9.5,70200
NSH,20180222,9.7,9.7,9.3,9.5,72700
NSH,20180221,9.5,9.9,8.8,9.9,70400
NSH,20180213,9.9,10,9.5,9.5,60200
NSH,20180212,9.5,9.9,9.5,9.9,61800
NSH,20180209,9.6,9.6,8.8,9.5,126100
NSH,20180208,9.4,9.8,8.9,9.7,194900
NSH,20180207,10,10,9.3,9.4,160500
NSH,20180206,10.1,10.2,9.1,10.2,127100
NSH,20180205,9.4,10.1,9,10.1,155400
NSH,20180202,10.3,10.3,9.4,9.4,156700
