<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
NT2,20180713,27,27.25,26.3,26.35,353600
NT2,20180712,27.01,27.37,26.83,27.01,791450
NT2,20180711,27.46,27.46,27.19,27.37,397030
NT2,20180710,27.15,27.51,27.01,27.46,965140
NT2,20180709,27.19,27.37,27.01,27.1,234860
NT2,20180706,26.73,26.91,26.55,26.83,204920
NT2,20180705,27.19,27.28,26.64,26.64,512890
NT2,20180704,26.42,27.46,26.19,27.46,263010
NT2,20180703,26.46,26.46,25.92,26.19,475010
NT2,20180702,26.46,26.51,25.83,26.37,275120
NT2,20180629,26.37,26.64,26.23,26.37,358000
NT2,20180628,26.73,26.82,26.28,26.55,180550
NT2,20180627,26.78,27.01,26.64,26.87,259940
NT2,20180626,27.01,27.01,26.51,26.87,95400
NT2,20180625,26.88,27.33,26.88,27.01,232690
NT2,20180622,26.64,27,26.6,26.83,241060
NT2,20180621,26.55,26.82,26.37,26.55,114690
NT2,20180620,26.46,26.73,26.19,26.55,124780
NT2,20180619,26.64,27,25.69,26.46,466320
NT2,20180618,27.19,27.46,26.65,26.64,326380
NT2,20180615,26.64,27.18,26.64,27.1,347820
NT2,20180614,26.33,26.55,26.28,26.46,295150
NT2,20180613,26.37,26.37,26.28,26.28,123580
NT2,20180612,26.28,26.42,26.1,26.37,314390
NT2,20180611,26.28,26.73,26.1,26.42,81650
NT2,20180608,26.47,26.78,26.1,26.28,286620
NT2,20180607,27.46,27.92,26.74,26.83,718550
NT2,20180606,26.42,27.19,26.06,27.01,630840
NT2,20180605,25.69,26.37,25.69,26.01,434440
NT2,20180604,25.6,25.92,25.15,25.69,255480
NT2,20180601,25.69,26.01,25.6,25.6,284050
NT2,20180531,25.19,25.82,25.19,25.69,193930
NT2,20180530,24.92,25.46,24.69,25.1,340860
NT2,20180529,24.47,25.01,24.2,24.92,253590
NT2,20180528,24.47,24.83,24.2,24.47,386050
NT2,20180525,24.65,25.83,24.47,24.56,574100
NT2,20180524,24.65,25.06,24.51,24.65,509620
NT2,20180523,24.47,24.92,24.47,24.65,287560
NT2,20180522,25.47,25.47,23.84,24.47,656470
NT2,20180521,26.88,26.92,25.38,25.56,509310
NT2,20180518,27.1,27.1,26.56,26.83,366010
NT2,20180517,27.01,27.15,26.92,26.92,501450
NT2,20180516,26.75,27.09,26.75,26.92,321490
NT2,20180515,26.96,27.09,26.75,26.92,271880
NT2,20180514,27,27.04,26.7,26.79,424730
NT2,20180511,26.75,26.75,25.9,26.66,412640
NT2,20180510,26.45,27,26.45,26.75,228360
NT2,20180509,27.09,27.09,26.41,26.45,512710
NT2,20180508,26.32,26.83,25.98,26.2,1503690
NT2,20180507,26.33,26.67,25.86,25.98,332890
NT2,20180504,26.5,26.5,25.73,25.86,651340
NT2,20180503,26.24,26.37,25.82,26.37,471840
NT2,20180502,27.13,27.13,26.37,26.37,301760
NT2,20180427,27.09,27.17,26.58,26.75,201360
NT2,20180426,27.17,27.17,26.75,26.92,436400
NT2,20180424,25.56,27.43,25.56,27.17,336940
NT2,20180423,27.38,27.42,25.89,25.9,213160
NT2,20180420,27.34,27.94,26.88,27.38,273800
NT2,20180419,26.92,27.43,26.92,27.09,588290
NT2,20180418,26.83,27.08,26.83,26.92,450700
NT2,20180417,26.88,26.92,26.8,26.83,464610
NT2,20180416,26.36,27.04,26.36,26.88,353540
NT2,20180413,27.17,27.34,26.79,26.83,218470
NT2,20180412,26.92,27.34,26.41,27.17,217470
NT2,20180411,26.58,27.6,26.41,26.58,339890
NT2,20180410,27.17,27.17,26.41,26.58,641090
NT2,20180409,28.02,28.27,26.92,27,241280
NT2,20180406,29.3,29.3,27.98,28.02,386470
NT2,20180405,27.17,27.98,26.49,27.98,385890
NT2,20180404,26.16,26.33,26.12,26.15,700150
NT2,20180403,26.33,26.33,26.07,26.2,1069050
NT2,20180402,26.32,26.32,26.15,26.2,541780
NT2,20180330,26.16,26.16,25.99,26.15,742460
NT2,20180329,26.15,26.23,26.15,26.2,923920
NT2,20180328,26.32,26.32,26.15,26.15,519620
NT2,20180327,26.24,26.32,26.24,26.32,196020
NT2,20180326,26.24,26.32,26.15,26.32,928950
NT2,20180323,26.24,26.4,26.07,26.32,1521580
NT2,20180322,26.41,26.41,26.24,26.32,481230
NT2,20180321,25.56,26.66,25.56,26.41,704930
NT2,20180320,26.49,26.49,25.73,25.9,1064950
NT2,20180319,26.45,26.83,26.45,26.49,280420
NT2,20180316,26.62,26.74,26.15,26.45,478480
NT2,20180315,25.72,26.49,25.51,26.49,291830
NT2,20180314,26.32,26.36,25.22,25.47,502900
NT2,20180313,24.88,26.32,24.8,26.32,138520
NT2,20180312,25.13,25.21,24.75,24.88,669800
NT2,20180309,25.73,25.73,25.14,25.13,582400
NT2,20180308,26.83,26.83,25.73,25.73,551380
NT2,20180307,26.24,26.74,26.24,26.41,289340
NT2,20180306,26.88,26.88,25.9,26.32,196910
NT2,20180305,27.09,27.09,26.33,26.75,194840
NT2,20180302,27.17,27.17,26.41,26.75,149850
NT2,20180301,26.84,27.17,26.41,26.75,390670
NT2,20180228,26.75,27.59,26.75,26.92,184180
NT2,20180227,28.03,28.45,27.01,27.17,325190
NT2,20180226,29.64,29.64,28.45,28.45,182690
NT2,20180223,28.27,28.95,28.27,28.79,247580
NT2,20180222,26.36,28.78,26.36,28.02,402440
NT2,20180221,27.34,27.34,26.92,27,105190
NT2,20180213,27.08,27.59,26.32,27.17,111540
NT2,20180212,26.32,27.59,26.32,26.32,206140
NT2,20180209,26.41,27.17,25.47,26.32,263780
NT2,20180208,27.94,28.4,26.92,27.17,153730
NT2,20180207,28.44,28.44,27.89,28.02,144820
NT2,20180206,28.28,28.28,26.41,28.02,222270
NT2,20180205,28.4,28.53,27.93,28.28,292720
NT2,20180202,28.44,28.61,28.1,28.4,242400
NT2,20180201,28.03,28.49,28.03,28.02,339560
NT2,20180131,28.02,28.7,28.02,28.11,193630
NT2,20180130,27.6,28.87,27.6,28.87,241160
NT2,20180129,28.54,29.89,27.6,27.6,383020
NT2,20180126,27.43,29.72,27.43,29.3,140810
NT2,20180125,29.34,29.55,27.85,27.85,504340
NT2,20180122,30.4,30.4,28.96,29.68,138890
NT2,20180119,30.4,30.74,29.98,30.4,324960
NT2,20180118,30.23,30.4,29.59,30.4,300280
NT2,20180117,30.74,30.74,29.64,30.23,822660
NT2,20180116,31.04,31.04,30.4,30.74,166570
NT2,20180115,30.99,31.16,30.57,31.04,1472590
NT2,20180112,29.68,30.96,29.68,30.74,859620
NT2,20180111,29.38,29.63,29.13,29.64,189410
NT2,20180110,29.12,29.46,29.04,29.38,282100
NT2,20180109,28.53,28.95,28.53,28.87,158460
NT2,20180108,28.71,28.88,28.11,28.87,122220
NT2,20180105,29.72,29.72,28.88,28.96,238420
NT2,20180104,28.62,29.72,28.62,29.47,156840
NT2,20180103,29.04,29.72,29.04,29.68,278380
NT2,20180102,28.79,29.04,28.28,29.04,287820
NT2,20171229,27.51,28.53,27.43,28.45,378040
NT2,20171228,27.34,27.85,27.34,27.43,37440
NT2,20171227,27.68,27.93,27.51,27.85,50170
NT2,20171226,27.17,27.68,27.17,27.68,98440
NT2,20171225,27.43,28.24,27.18,27.17,45530
NT2,20171222,28.32,28.32,27.35,27.94,45200
NT2,20171221,28.02,28.02,27.6,27.6,186970
NT2,20171220,28.7,28.7,27.6,28.02,80430
NT2,20171219,28.53,28.95,27.43,28.02,48160
NT2,20171218,27.13,28.66,27.13,28.53,328700
NT2,20171215,27.3,27.85,27.13,27.13,439930
NT2,20171214,27.17,27.6,27.17,27.6,41830
NT2,20171213,27.98,27.98,26.96,26.96,83700
NT2,20171212,27.9,28.03,27.09,27.64,188580
NT2,20171211,28.28,28.45,27.6,28.28,122480
NT2,20171208,28.7,28.7,28.36,28.53,295630
NT2,20171207,28.87,28.87,28.03,28.7,332860
NT2,20171206,28.2,28.96,28.2,28.79,381130
NT2,20171205,29.3,29.38,28.71,28.96,433510
NT2,20171204,27.94,29.3,27.9,29.3,419100
NT2,20171201,27.55,27.98,27.26,27.94,191700
NT2,20171130,27.42,27.55,27.26,27.34,365260
NT2,20171129,26.41,27.34,26.41,27.34,108390
NT2,20171128,26.58,26.91,26.58,26.92,276020
NT2,20171127,26.75,26.83,26.41,26.83,216140
NT2,20171124,26.58,26.83,26.24,26.75,160280
NT2,20171123,26.02,26.57,26.02,26.58,242140
NT2,20171122,25.22,26.49,25.22,26.32,622220
NT2,20171121,25.55,25.81,25.39,25.47,908520
NT2,20171120,26.32,26.32,25.39,25.47,411540
NT2,20171117,26.33,26.41,26.07,26.15,256370
NT2,20171116,26.66,26.66,26.24,26.41,303530
NT2,20171115,26.45,26.83,26.45,26.66,285400
NT2,20171114,26.15,26.83,25.98,26.83,567400
NT2,20171113,26.07,26.07,25.73,25.81,349600
NT2,20171110,25.64,26.02,25.64,26.03,236260
NT2,20171109,25.3,25.98,25.3,25.81,363610
NT2,20171108,25.6,25.77,25.43,25.47,810040
NT2,20171107,25.77,25.81,25.47,25.64,166320
NT2,20171106,25.39,26.03,25.39,25.77,873810
NT2,20171103,25.47,25.89,25.43,25.56,1184110
NT2,20171102,25.64,25.72,25.39,25.47,360180
NT2,20171101,25.43,25.94,25.39,25.47,349680
NT2,20171031,24.88,25.43,24.79,25.43,421330
NT2,20171030,25.64,25.73,25.05,25.43,611040
NT2,20171027,25.22,26.32,25.22,26.32,618410
NT2,20171026,25.09,25.3,24.71,25.22,135540
NT2,20171025,25.04,25.55,24.96,25.26,363770
NT2,20171024,24.28,25.05,24.03,24.96,451880
NT2,20171023,23.69,24.2,23.69,24.2,217480
NT2,20171020,24.04,24.12,23.95,24.07,218530
NT2,20171019,24.2,24.37,23.95,24.29,269040
NT2,20171018,24.33,24.37,24.03,24.03,442440
NT2,20171017,24.71,24.71,24.2,24.33,374790
NT2,20171016,24.63,24.88,24.29,24.79,347680
NT2,20171013,24.63,24.97,24.46,24.84,557960
NT2,20171012,24.71,24.92,24.62,24.63,480290
NT2,20171011,23.86,25.01,23.78,24.79,1045770
NT2,20171010,23.56,24.15,23.52,23.99,618930
NT2,20171009,23.6,23.77,23.52,23.56,416090
NT2,20171006,23.1,23.63,22.86,23.18,547480
NT2,20171005,22.11,23.1,22.11,23.02,1057030
NT2,20171004,21.75,21.96,21.63,21.95,324320
NT2,20171003,21.79,21.79,21.5,21.63,449030
NT2,20171002,21.79,21.95,21.63,21.79,197650
NT2,20170929,21.55,21.87,21.55,21.75,138490
NT2,20170928,21.83,21.87,21.54,21.71,197350
NT2,20170927,21.54,21.83,21.38,21.83,330620
NT2,20170926,21.38,21.47,21.14,21.46,101580
NT2,20170925,21.22,21.26,21.18,21.22,125930
NT2,20170922,21.38,21.5,21.13,21.22,306370
NT2,20170921,20.89,21.38,20.85,21.38,213580
NT2,20170920,20.64,20.84,20.6,20.85,442590
NT2,20170919,20.72,20.72,20.47,20.64,191730
NT2,20170918,20.89,20.89,20.69,20.72,125170
NT2,20170915,20.52,20.89,20.48,20.89,439430
NT2,20170914,20.48,20.64,20.4,20.52,271040
NT2,20170913,20.64,20.64,20.4,20.52,318170
NT2,20170912,20.4,20.56,20.23,20.48,171040
NT2,20170911,20.56,20.72,20.06,20.15,535620
NT2,20170908,21.09,21.09,20.72,20.72,319830
NT2,20170907,20.88,21.29,20.88,21.09,218020
NT2,20170906,21.13,21.21,21.09,21.13,292470
NT2,20170905,20.89,21.38,20.76,21.13,327390
NT2,20170901,21.22,21.22,20.48,20.64,707910
NT2,20170831,21.3,21.34,21.22,21.22,203470
NT2,20170830,21.46,21.54,21.21,21.3,439760
NT2,20170829,21.63,21.71,21.47,21.46,338430
NT2,20170828,21.54,21.7,21.54,21.63,167710
NT2,20170825,22.2,22.2,21.59,21.58,109690
NT2,20170824,22.04,22.12,21.75,21.75,98750
NT2,20170823,22.12,22.37,21.96,22.12,96660
NT2,20170822,22.41,22.41,22.08,22.12,167400
NT2,20170821,22.12,22.28,22.08,22.12,250320
NT2,20170818,22.28,22.28,22.08,22.12,197770
NT2,20170817,22.69,22.69,22.03,22.12,363190
NT2,20170816,22.85,22.85,22.69,22.69,172780
NT2,20170815,22.73,23.1,22.65,22.85,157590
NT2,20170814,22.73,22.85,22.65,22.73,234090
NT2,20170811,22.69,22.93,22.69,22.73,101020
NT2,20170810,22.94,22.94,22.61,22.73,138430
NT2,20170809,23.26,23.26,22.77,22.94,284890
NT2,20170808,23.35,23.35,23.1,23.26,311870
NT2,20170807,23.35,23.51,23.35,23.39,276510
NT2,20170804,23.18,23.38,23.1,23.35,142660
NT2,20170803,23.14,23.34,23.14,23.18,464490
NT2,20170802,23.18,23.35,23.14,23.14,393610
NT2,20170801,23.47,23.67,23.47,23.55,307620
NT2,20170731,23.3,23.51,23.18,23.47,357920
NT2,20170728,22.98,23.26,22.98,23.22,335690
NT2,20170727,23.26,23.26,23.01,23.1,92290
NT2,20170726,23.14,23.59,23.14,23.26,223580
NT2,20170725,22.77,23.14,22.61,23.14,146450
NT2,20170724,22.53,23.1,22.53,23.02,434440
NT2,20170721,22.53,23.02,22.53,22.53,732080
NT2,20170720,22.28,22.94,22.28,22.94,171720
NT2,20170719,22.85,22.85,22.2,22.28,545530
NT2,20170718,22.7,22.94,22.41,22.4,713940
NT2,20170717,23.51,23.51,22.77,22.9,491860
NT2,20170714,23.43,23.59,23.35,23.51,169510
NT2,20170713,23.43,23.55,23.39,23.51,233170
NT2,20170712,23.39,23.51,23.27,23.51,143570
NT2,20170711,23.34,23.59,23.18,23.43,349200
NT2,20170710,24,24,23.18,23.63,337180
NT2,20170707,24.21,24.29,23.96,23.96,292660
NT2,20170706,24.08,24.28,24.08,24.29,310780
NT2,20170705,24.16,24.37,23.75,24.12,210920
NT2,20170704,23.84,24.13,23.84,24.12,344550
NT2,20170703,23.43,23.84,23.43,23.84,461360
NT2,20170630,23.35,23.55,23.35,23.39,197740
NT2,20170629,23.59,23.75,23.34,23.35,284930
NT2,20170628,23.76,23.76,23.56,23.59,229070
NT2,20170627,23.64,23.88,23.64,23.76,261780
NT2,20170626,24,24.08,23.55,23.76,578870
NT2,20170623,23.97,24.17,23.76,24,302120
NT2,20170622,24.17,24.33,24.13,24.17,621970
NT2,20170621,24.08,24.33,24,24.17,882290
NT2,20170620,24.12,24.37,24.12,24.33,573280
NT2,20170619,23.84,24.33,23.55,23.92,792370
NT2,20170616,23.59,23.63,23.34,23.43,3592990
NT2,20170615,23.8,23.84,23.64,23.67,232000
NT2,20170614,23.92,24.09,23.76,23.8,478800
NT2,20170613,22.98,23.84,22.94,23.76,418340
NT2,20170612,23.35,23.47,22.85,23.02,413930
NT2,20170609,23.51,23.76,23.47,23.51,130690
NT2,20170608,23.76,23.96,23.68,23.76,155610
NT2,20170607,24.04,24.04,23.76,23.88,161330
NT2,20170606,23.59,24.12,23.51,23.84,490760
NT2,20170605,23.35,23.68,23.14,23.63,247740
NT2,20170602,23.51,23.67,22.9,23.39,639340
NT2,20170601,22.65,23.92,22.65,23.51,596440
NT2,20170531,22.65,22.69,22.61,22.65,320630
NT2,20170530,22.69,22.73,22.61,22.65,357750
NT2,20170529,22.94,22.94,22.61,22.65,219070
NT2,20170526,22.94,23.02,22.57,22.61,325370
NT2,20170525,23.26,23.34,22.93,22.94,632530
