<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
OPC,20180713,47.1,47.1,47,47,1070
OPC,20180712,47.1,48.85,47.1,47.1,110
OPC,20180711,50,50,47,47,20
OPC,20180710,49.85,49.85,48.8,48.8,400
OPC,20180709,46.65,47.5,46.65,47.5,1010
OPC,20180706,49.9,49.9,49.9,49.9,20
OPC,20180705,47,47.1,47,47,4200
OPC,20180704,46.4,50,46.4,50,1190
OPC,20180703,48.5,49.8,47,49.8,1300
OPC,20180702,49,49,48.5,48.5,90
OPC,20180629,50.4,50.5,50.4,50.5,30
OPC,20180628,48,49,48,49,330
OPC,20180627,45.8,51,45.8,51,1350
OPC,20180626,49,49,49,49,400
OPC,20180625,49,49,48,48,20
OPC,20180622,44.4,49,44.4,49,1090
OPC,20180621,49.45,49.45,47.5,47.5,1700
OPC,20180620,50,50,50,50,10
OPC,20180619,48.5,48.5,46,48,1900
OPC,20180618,48.9,49.1,48.5,49.1,70
OPC,20180615,48.95,49,48.9,48.9,120
OPC,20180614,48.3,49.2,47,48.8,11560
OPC,20180613,49,49.5,48.4,48.4,230
OPC,20180612,50.8,50.8,48.6,49,480
OPC,20180611,49.95,49.95,48.1,49.95,1520
OPC,20180608,48,49.7,48,49.7,7210
OPC,20180607,51,51,51,51,10
OPC,20180606,50,50.5,49,50.3,1240
OPC,20180605,50.9,52,47.4,50,4430
OPC,20180604,54,54.8,50.9,50.9,70
OPC,20180601,54.5,54.5,54.5,54.5,10
OPC,20180531,52,52,48,51,2950
OPC,20180530,55.2,58,51.5,51.5,1120
OPC,20180529,55.2,55.2,55.2,55.2,20
OPC,20180528,55,55,52,52,30
OPC,20180525,55,55,52.9,54.9,740
OPC,20180524,57,57,52,56.8,1080
OPC,20180523,53.9,53.9,52,53.9,30
OPC,20180522,59,59,54,54,6250
OPC,20180521,58,58,57.9,57.9,30
OPC,20180518,59,59,55,55,40
OPC,20180517,56.99,56.99,56.11,56.1,1440
OPC,20180516,56.99,56.99,56.99,56.99,20
OPC,20180515,54.04,54.53,54.04,54.04,170
OPC,20180514,56,58.85,54.04,54.04,6620
OPC,20180511,54.04,55.12,54.04,55.12,1350
OPC,20180510,48.63,51.58,48.63,51.58,3710
OPC,20180509,50.79,50.79,48.29,48.29,70
OPC,20180508,50.79,50.79,50.3,50.3,1540
OPC,20180507,50.6,50.7,49.12,50.3,7870
OPC,20180504,52.47,52.47,47.75,50.99,320
OPC,20180503,50.79,50.79,50.79,50.8,20
OPC,20180502,48.92,48.92,47.65,47.65,7610
OPC,20180427,47.6,48.05,46.47,48.04,790
OPC,20180426,48.15,48.15,46.18,46.67,8950
OPC,20180424,51.09,51.58,47.99,48,1180
OPC,20180423,51.09,51.59,51.09,51.58,110
OPC,20180420,51.98,51.98,51.88,51.88,50
OPC,20180419,52.47,52.47,50.7,50.7,1580
OPC,20180418,53.94,54.04,51.09,53.65,1490
OPC,20180417,51.38,53.05,51.38,53.06,930
OPC,20180416,,,,55.02,0
OPC,20180413,53.05,55.02,53.05,55.02,1010
OPC,20180412,54.92,55.02,54.92,55.02,1280
OPC,20180411,55.02,55.02,55.02,55.02,2200
OPC,20180410,55.02,55.02,55.02,55.02,100
OPC,20180409,55.02,55.02,54.04,55.02,6960
OPC,20180406,55.7,56.49,55.02,55.02,1770
OPC,20180405,55.9,55.9,55.21,55.9,5220
OPC,20180404,56.98,56.98,53.55,55.9,2410
OPC,20180403,52.67,55.81,52.57,55.51,1460
OPC,20180402,56.5,56.99,55.81,55.81,5080
OPC,20180330,55.9,56,55.71,55.71,40
OPC,20180329,56.79,56.79,55.02,55.02,20
OPC,20180328,54.04,54.04,54.04,54.04,10
OPC,20180327,56.99,56.99,55.71,55.71,40
OPC,20180326,,,,55.61,0
OPC,20180323,57.28,57.28,55.61,55.61,130
OPC,20180322,57.18,57.18,57.08,57.18,750
OPC,20180321,58.75,58.75,58.75,58.75,10
OPC,20180320,58.95,59.93,56.98,58.95,3710
OPC,20180319,58.96,58.96,58.96,58.95,50
OPC,20180316,57.48,57.48,56.99,56.99,2850
OPC,20180315,58.46,58.46,57.48,57.48,2500
OPC,20180314,58.46,58.46,58.46,58.46,20
OPC,20180313,58.46,58.46,57.97,57.97,590
OPC,20180312,57.48,58.46,57.48,58.46,1050
OPC,20180309,57.97,57.97,57.48,57.48,2200
OPC,20180308,57.97,57.97,57.87,57.97,4360
OPC,20180307,58.95,58.95,57.97,57.97,4240
OPC,20180306,58.95,58.95,58.95,58.95,670
OPC,20180305,58.46,58.46,55.12,55.12,400
OPC,20180302,58.46,58.95,58.46,58.95,740
OPC,20180301,58.95,58.95,58.95,58.95,3470
OPC,20180228,58.95,58.95,57.97,58.95,3810
OPC,20180227,59.93,59.93,57.48,57.48,4760
OPC,20180226,58.95,58.95,58.95,58.95,2610
OPC,20180223,55.03,56.7,55.03,56.69,460
OPC,20180222,,,,53.06,0
OPC,20180221,56.99,56.99,53.06,53.06,5510
OPC,20180213,56.5,56.99,56.3,56.3,6950
OPC,20180212,57.97,57.97,57.97,57.97,5050
OPC,20180209,57.97,58.85,57.97,58.85,810
OPC,20180208,58.85,58.85,57.97,57.97,280
OPC,20180207,55.02,55.02,53.05,55.02,2060
OPC,20180206,55.51,55.51,55.02,55.02,5220
OPC,20180205,57.18,58.95,56.99,58.95,2350
OPC,20180202,58.95,58.95,57.97,57.97,950
OPC,20180201,57.97,58.95,57.97,58.95,110
OPC,20180131,58.95,58.95,57.48,57.97,1210
OPC,20180130,58.95,58.95,58.95,58.95,2000
OPC,20180129,59.44,59.44,58.95,58.95,860
OPC,20180126,58.85,58.95,57.48,58.95,5570
OPC,20180125,57.28,57.87,57.28,57.87,1490
OPC,20180122,57.28,57.28,57.28,57.28,400
OPC,20180119,56.99,57.97,56.99,57.28,4420
OPC,20180118,57.48,58.95,56.99,56.99,1240
OPC,20180117,,,,57.97,0
OPC,20180116,58.95,58.95,57.18,57.97,1460
OPC,20180115,57.97,58.95,57.97,58.95,340
OPC,20180112,57.57,58.95,57.28,58.95,1020
OPC,20180111,58.95,58.95,58.95,58.95,60
OPC,20180110,57.97,58.96,57.78,58.95,5600
OPC,20180109,57.58,57.97,57.58,57.58,2630
OPC,20180108,57.58,57.58,57.58,57.58,10
OPC,20180105,57.97,58.46,57.58,57.58,2020
OPC,20180104,57.97,58.95,57.48,57.58,3020
OPC,20180103,57.97,58.66,57.48,57.48,2710
OPC,20180102,58.95,61.9,57.48,57.48,580
OPC,20171229,61.41,61.41,58.95,58.95,30
OPC,20171228,61.9,61.9,57.48,57.48,5190
OPC,20171227,57.77,59.44,57.77,59.44,1120
OPC,20171226,61.89,61.89,58.95,59.93,1020
OPC,20171225,57.48,59.93,57.48,59.93,2110
OPC,20171222,61.8,61.8,56.98,61.31,1210
OPC,20171221,61.9,61.9,59.93,59.93,2330
OPC,20171220,59.93,61.4,59.93,60.72,3030
OPC,20171219,56.1,60.42,56,59.93,630
OPC,20171218,61.89,61.89,58.95,58.95,120
OPC,20171215,61.8,61.8,60.42,60.42,120
OPC,20171214,61.89,61.89,58.46,59.93,1390
OPC,20171213,58.95,58.95,58.75,58.75,2010
OPC,20171212,58.95,58.95,58.46,58.46,3100
OPC,20171211,58.95,58.95,58.56,58.95,2630
OPC,20171208,58.46,59.44,58.46,59.44,1190
OPC,20171207,57.48,58.46,57.48,58.46,2030
OPC,20171206,58.17,58.46,56.99,56.99,9610
OPC,20171205,58.75,58.75,56.98,57.97,4050
OPC,20171204,58.85,58.95,55.02,58.75,6930
OPC,20171201,56,57.96,56,57.97,4520
OPC,20171130,58.75,58.75,58.75,58.75,100
OPC,20171129,58.75,58.75,58.75,58.75,10
OPC,20171128,58.95,58.95,58.75,58.75,1000
OPC,20171127,57.97,62,57.97,58.95,2070
OPC,20171124,,,,57.97,0
OPC,20171123,54.04,57.97,54.04,57.97,2220
OPC,20171122,55.02,56.98,55.02,56.99,3060
OPC,20171121,54.92,55.02,54.82,55.02,1040
OPC,20171120,53.84,55.02,53.84,55.02,1520
OPC,20171117,53.65,54.53,53.65,53.84,780
OPC,20171116,53.26,53.55,53.26,53.55,1140
OPC,20171115,53.84,54.04,50.7,53.06,90
OPC,20171114,50.8,54.83,50.8,52.66,3080
OPC,20171113,55.71,56.79,54.04,54.04,830
OPC,20171110,53.05,55.71,53.05,55.71,1900
OPC,20171109,52.27,53.84,52.27,53.84,2410
OPC,20171108,52.56,56,51.19,55.9,1030
OPC,20171107,56.99,56.99,55.02,55.02,20
OPC,20171106,54.04,54.04,51.43,54.04,3660
OPC,20171103,54.04,54.04,53.08,54.04,1700
OPC,20171102,54.04,54.04,53.55,54.04,1260
OPC,20171101,53.07,53.07,52.3,52.3,4000
OPC,20171031,54.04,54.04,53.08,53.07,2290
OPC,20171030,54.04,54.04,54.04,54.04,330
OPC,20171027,53.07,54.03,53.07,54.04,2060
OPC,20171026,53.08,53.08,53.08,53.07,2300
OPC,20171025,54.04,54.04,54.04,54.04,90
OPC,20171024,,,,52.3,0
OPC,20171023,52.11,55,52.11,52.3,16200
OPC,20171020,,,,53.07,0
OPC,20171019,53.07,53.07,53.07,53.07,10
OPC,20171018,,,,53.07,0
OPC,20171017,,,,53.07,0
OPC,20171016,52.11,53.07,52.11,53.07,2860
OPC,20171013,53.07,53.07,53.07,53.07,10
OPC,20171012,53.08,53.08,53.08,53.07,2140
OPC,20171011,,,,54.04,0
OPC,20171010,50.66,54.04,50.66,54.04,60
OPC,20171009,52.11,52.11,52.11,52.11,50
OPC,20171006,55,55,52.11,52.11,30
OPC,20171005,53.46,53.46,53.46,53.46,150
OPC,20171004,53.07,53.55,53.07,53.27,5710
OPC,20171003,53.07,53.55,53.07,53.55,2310
OPC,20171002,53.36,53.36,53.07,53.07,3800
OPC,20170929,53.07,53.55,53.07,53.36,1510
OPC,20170928,53.55,53.55,53.07,53.07,2120
OPC,20170927,52.11,53.65,50.18,53.07,1710
OPC,20170926,53.55,53.55,53.07,53.07,760
OPC,20170925,53.07,53.55,53.07,53.07,810
OPC,20170922,52.2,53.55,52.2,53.55,510
