<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PCE,20180713,,,,7.2,0
PCE,20180712,,,,7.2,0
PCE,20180711,7.2,7.2,7.2,7.2,100
PCE,20180710,,,,6.6,0
PCE,20180709,,,,6.6,0
PCE,20180706,,,,6.6,0
PCE,20180705,,,,6.6,0
PCE,20180704,,,,6.6,0
PCE,20180703,6.6,6.6,6.6,6.6,100
PCE,20180702,,,,7.2,0
PCE,20180629,7.2,7.2,7.2,7.2,100
PCE,20180628,,,,8,0
PCE,20180627,,,,8,0
PCE,20180626,,,,8,0
PCE,20180625,9.3,9.3,8,8,900
PCE,20180622,,,,8.5,0
PCE,20180621,,,,8.5,0
PCE,20180620,,,,8.5,0
PCE,20180619,10,10,8.5,8.5,500
PCE,20180618,9.3,9.3,9.3,9.3,100
PCE,20180615,,,,8.5,0
PCE,20180614,,,,8.5,0
PCE,20180613,,,,8.5,0
PCE,20180612,8.5,8.5,8.5,8.5,100
PCE,20180611,,,,9.2,0
PCE,20180608,,,,9.2,0
PCE,20180607,10,10,9.2,9.2,600
PCE,20180606,,,,9.5,0
PCE,20180605,8.6,9.5,8.6,9.5,200
PCE,20180604,10.2,10.2,9.4,9.4,300
PCE,20180601,9.3,9.3,9.3,9.3,100
PCE,20180531,,,,8.5,0
PCE,20180530,,,,8.5,0
PCE,20180529,,,,8.5,0
PCE,20180528,,,,8.5,0
PCE,20180525,,,,8.5,0
PCE,20180524,,,,8.5,0
PCE,20180523,,,,8.5,0
PCE,20180522,,,,8.5,0
PCE,20180521,,,,8.5,0
PCE,20180518,,,,8.5,0
PCE,20180517,,,,8.5,0
PCE,20180516,9.22,9.22,8.5,8.5,200
PCE,20180515,,,,8.41,0
PCE,20180514,,,,8.41,0
PCE,20180511,,,,8.41,0
PCE,20180510,,,,8.41,0
PCE,20180509,,,,8.41,0
PCE,20180508,,,,8.41,0
PCE,20180507,,,,8.41,0
PCE,20180504,,,,8.41,0
PCE,20180503,8.41,8.41,8.41,8.41,100
PCE,20180502,,,,9.22,0
PCE,20180427,,,,9.22,0
PCE,20180426,,,,9.22,0
PCE,20180424,9.22,9.22,9.22,9.22,100
PCE,20180423,9.4,9.4,8.95,8.95,2300
PCE,20180420,9.4,9.4,9.4,9.4,7300
PCE,20180419,8.86,9.4,8.86,9.4,200
PCE,20180418,,,,9.58,0
PCE,20180417,9.58,9.58,9.58,9.58,100
PCE,20180416,,,,8.77,0
PCE,20180413,,,,8.77,0
PCE,20180412,,,,8.77,0
PCE,20180411,,,,8.77,0
PCE,20180410,,,,8.77,0
PCE,20180409,8.77,8.77,8.77,8.77,100
PCE,20180406,9.58,9.58,9.58,9.58,100
PCE,20180405,8.86,8.86,8.86,8.86,100
PCE,20180404,9.4,9.4,9.4,9.4,1000
PCE,20180403,10.49,10.49,9.41,9.4,1800
PCE,20180402,8.87,9.68,8.87,9.68,400
PCE,20180330,9.68,9.68,9.68,9.68,200
PCE,20180329,9.77,10.67,9.77,10.67,500
PCE,20180328,9.76,9.76,9.76,9.77,200
PCE,20180327,9.23,9.23,9.23,9.22,100
PCE,20180326,8.86,10.21,8.86,10.22,200
PCE,20180323,,,,9.49,0
PCE,20180322,9.05,9.5,9.05,9.49,500
PCE,20180321,9.05,9.95,9.05,9.95,200
PCE,20180320,10.58,10.58,9.95,9.95,300
PCE,20180319,8.86,10.12,8.86,10.13,200
PCE,20180316,,,,9.49,0
PCE,20180315,9.49,9.49,9.49,9.49,100
PCE,20180314,,,,9.49,0
PCE,20180313,,,,9.49,0
