<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PCG,20180713,,,,19.7,0
PCG,20180712,,,,19.7,0
PCG,20180711,18.8,19.7,18.8,19.7,200
PCG,20180710,19.9,19.9,19.9,19.9,100
PCG,20180709,18.9,18.9,16.9,18.9,300
PCG,20180706,17.9,18.5,16,18.5,9143
PCG,20180705,15.8,18.6,15.8,17,6410
PCG,20180704,17.4,17.4,17,17,300
PCG,20180703,17.5,19.3,16.2,16.3,3633
PCG,20180702,14.9,17.9,14.7,17.9,870800
PCG,20180629,16.3,16.3,16.3,16.3,140
PCG,20180628,18.2,18.2,17.8,17.8,430
PCG,20180627,19.7,19.7,19.5,19.5,650
PCG,20180626,18,21.6,18,21.6,2640
PCG,20180625,20,20,18.5,19.9,32500
PCG,20180622,20.4,20.5,17.5,20.5,2340
PCG,20180621,17.4,19.8,17.4,19.4,2200
PCG,20180620,,,,19.3,0
PCG,20180619,18,19.5,18,19.3,20800
PCG,20180618,19,19.9,18,19.8,397210
PCG,20180615,16.8,20,16.8,19.9,422000
PCG,20180614,18.5,18.5,18.3,18.3,270
PCG,20180613,17.2,17.2,17.1,17.1,600
PCG,20180612,18,18.9,18,18.9,200
PCG,20180611,18.7,19.9,18.5,19.9,700
PCG,20180608,19.9,20.5,19.9,20.5,240
PCG,20180607,18.8,20,17.8,20,353860
PCG,20180606,16.5,19.6,16.5,19.6,275540
PCG,20180605,18.5,18.5,17.9,17.9,510
PCG,20180604,16.8,18.5,16.8,18.3,580
PCG,20180601,17.1,17.3,15.8,17.1,6900
PCG,20180531,15.5,17.2,15.5,16.8,5100
PCG,20180530,15.3,15.9,15.3,15.9,1050
PCG,20180529,15.5,15.5,15.3,15.3,2200
PCG,20180528,16.5,16.5,14.9,14.9,2100
PCG,20180525,18.5,18.5,16.1,16.5,9880
PCG,20180524,15.5,16.9,15.5,16.9,400
PCG,20180523,13.9,15.8,13.9,15.8,200
PCG,20180522,,,,14.8,0
PCG,20180521,13.6,14.8,13.6,14.8,202
PCG,20180518,12.8,13.9,12.8,13.9,1100
PCG,20180517,11.2,13.4,11.1,13.3,11600
PCG,20180516,12.2,13.7,12.2,12.2,2150
PCG,20180515,11.8,13.3,11.8,13.2,8000
PCG,20180514,11.3,12.3,11.3,12.3,1350
PCG,20180511,9.7,11.6,9.7,11.5,324700
PCG,20180510,9.8,10.8,9.8,10.6,295500
PCG,20180509,,,,10,0
PCG,20180508,10,10,9.9,10,1200
PCG,20180507,10.5,10.5,10.5,10.5,10
PCG,20180504,,,,10.5,0
PCG,20180503,,,,10.5,0
PCG,20180502,10.5,10.5,10.5,10.5,240
PCG,20180427,9.3,11.1,9.3,11.1,2600
PCG,20180426,8.3,10.1,8.3,10.1,4010
PCG,20180424,9.2,9.2,9.2,9.2,2230
PCG,20180423,8.4,8.4,8.4,8.4,533
PCG,20180420,7.7,7.7,7.6,7.7,3352000
PCG,20180419,7,7,7,7,100
PCG,20180418,,,,7.7,0
PCG,20180417,,,,7.7,0
PCG,20180416,,,,7.7,0
PCG,20180413,,,,7.7,0
PCG,20180412,,,,7.7,0
PCG,20180411,7.7,7.7,7.7,7.7,1043
PCG,20180410,8.5,8.5,8.5,8.5,117
PCG,20180409,9,9,9,9,200
PCG,20180406,9.8,9.8,9.8,9.8,5500
PCG,20180405,9,9,9,9,60
PCG,20180404,,,,9,0
PCG,20180403,,,,9,0
PCG,20180402,9,9,9,9,12000
PCG,20180330,8.2,8.2,8.2,8.2,1000
PCG,20180329,9,9,9,9,4200
PCG,20180328,9.8,9.8,9.8,9.8,300
PCG,20180327,9.8,9.8,9.8,9.8,4310
PCG,20180326,,,,10.8,0
PCG,20180323,,,,10.8,0
PCG,20180322,,,,10.8,0
PCG,20180321,10.8,10.8,10.8,10.8,100
PCG,20180320,,,,11.8,0
PCG,20180319,,,,11.8,0
PCG,20180316,,,,11.8,0
PCG,20180315,11.8,11.8,11.8,11.8,100
PCG,20180314,,,,10.8,0
PCG,20180313,,,,10.8,0
PCG,20180312,10.8,10.8,10.8,10.8,34
PCG,20180309,,,,10.8,0
PCG,20180308,,,,10.8,0
PCG,20180307,,,,10.8,0
PCG,20180306,10.8,10.8,10.8,10.8,541
PCG,20180305,12,12,12,12,500
PCG,20180302,,,,11.5,0
PCG,20180301,,,,11.5,0
PCG,20180228,,,,11.5,0
PCG,20180227,,,,11.5,0
PCG,20180226,,,,11.5,0
PCG,20180223,,,,11.5,0
PCG,20180222,,,,11.5,0
PCG,20180221,,,,11.5,0
PCG,20180213,11.5,11.5,11.5,11.5,2500
PCG,20180212,,,,11.3,0
PCG,20180209,,,,11.3,0
PCG,20180208,,,,11.3,0
PCG,20180207,,,,11.3,0
PCG,20180206,,,,11.3,0
PCG,20180205,11.3,11.3,11.3,11.3,7200
PCG,20180202,,,,12.5,0
PCG,20180201,11.3,12.5,11.3,12.5,3500
PCG,20180131,,,,12.5,0
PCG,20180130,,,,12.5,0
PCG,20180129,,,,12.5,0
PCG,20180126,12.5,12.5,12.5,12.5,1019
PCG,20180125,12.4,12.5,12.4,12.5,3800
PCG,20180122,12,12.5,12,12.5,3100
PCG,20180119,,,,12.5,0
PCG,20180118,11.8,12.5,10.7,12.5,10603
PCG,20180117,11.8,11.8,11.8,11.8,3800
PCG,20180116,10.9,10.9,10.8,10.8,6080
PCG,20180115,11.9,11.9,11.9,11.9,700
PCG,20180112,12,12.2,10,11.9,24900
PCG,20180111,11.1,11.1,11.1,11.1,100
PCG,20180110,,,,11.1,0
PCG,20180109,10.1,11.1,10.1,11.1,460
PCG,20180108,,,,11.1,0
PCG,20180105,10.3,11.1,10.3,11.1,3000
PCG,20180104,11.1,11.1,11.1,11.1,60
PCG,20180103,10.1,11.1,10.1,11.1,1860
PCG,20180102,11.2,11.2,11.2,11.2,3800
PCG,20171229,11.2,11.2,11.2,11.2,500
PCG,20171228,12.7,12.7,11.9,11.9,1710
PCG,20171227,12.7,12.7,11.6,12.7,24831
PCG,20171226,11.6,11.6,11.6,11.6,1720
PCG,20171225,10.6,10.6,10.6,10.6,4600
PCG,20171222,9.7,9.7,9.7,9.7,100
PCG,20171221,,,,8.9,0
PCG,20171220,8.9,8.9,8.9,8.9,100
PCG,20171219,8.1,8.1,8.1,8.1,6700
PCG,20171218,,,,7.4,0
PCG,20171215,,,,7.4,0
PCG,20171214,,,,7.4,0
PCG,20171213,7.4,7.4,7.4,7.4,3350000
PCG,20171212,7.9,7.9,6.8,6.8,30120
PCG,20171211,7.5,7.6,7.2,7.2,300
PCG,20171208,7.8,7.8,7.8,7.8,10
PCG,20171207,7.8,7.8,7.8,7.8,1120
PCG,20171206,,,,8.5,0
PCG,20171205,8.4,9,8.4,8.5,11400
PCG,20171204,7.6,8.2,7.6,8.2,2300
PCG,20171201,8.2,8.2,8.2,8.2,110
PCG,20171130,8.5,8.5,8.5,8.5,500
PCG,20171129,9.7,9.7,9.2,9.2,1900
PCG,20171128,9.8,9.9,8.9,8.9,1800
PCG,20171127,,,,9.8,0
PCG,20171124,,,,9.8,0
PCG,20171123,10,10.2,9.2,9.8,6500
PCG,20171122,,,,9.5,0
PCG,20171121,9.3,9.5,9.3,9.5,200
PCG,20171120,9.8,9.8,9.8,9.8,100
PCG,20171117,9.8,10.8,9.8,10.7,9400
PCG,20171116,9.5,11,9.5,9.9,6700
PCG,20171115,9.2,10.1,9.2,10,41700
PCG,20171114,9.2,9.2,8.5,9.2,400
PCG,20171113,7.5,8.5,7.5,8.5,1800
PCG,20171110,,,,7.9,0
PCG,20171109,,,,7.9,0
PCG,20171108,,,,7.9,0
PCG,20171107,,,,7.9,0
PCG,20171106,,,,7.9,0
PCG,20171103,,,,7.9,0
PCG,20171102,6.6,7.9,6.6,7.9,13620
PCG,20171101,,,,7.2,0
PCG,20171031,,,,7.2,0
PCG,20171030,,,,7.2,0
PCG,20171027,7.2,7.2,7.2,7.2,100
PCG,20171026,7.8,7.8,7.8,7.8,100
PCG,20171025,8.5,8.5,8.5,8.5,300
PCG,20171024,8.9,9.2,8.9,9.2,2100
PCG,20171023,9.6,10.5,9.6,9.7,8100
PCG,20171020,10.8,11.4,9.6,9.6,6020
PCG,20171019,9.5,10.5,9.1,10.5,17600
PCG,20171018,10.5,10.5,10,10,8800
PCG,20171017,9.6,9.6,8.8,9.6,177440
PCG,20171016,8.8,8.8,8.8,8.8,100
PCG,20171013,9.6,9.6,9.6,9.6,4612
PCG,20171012,8.8,9.6,8.8,9.6,41700
PCG,20171011,8.8,8.8,8.8,8.8,100
PCG,20171010,,,,8,0
PCG,20171009,,,,8,0
PCG,20171006,,,,8,0
PCG,20171005,,,,8,0
PCG,20171004,8,8,8,8,5160
PCG,20171003,10.2,10.2,8.6,8.6,4500
PCG,20171002,9.5,9.6,9.5,9.5,11628
PCG,20170929,8.8,8.8,8.8,8.8,100
PCG,20170928,10.2,10.5,9.4,9.6,20200
PCG,20170927,8.8,9.6,8.8,9.6,75300
PCG,20170926,9.3,9.3,8.8,8.8,400
PCG,20170925,9.7,9.7,9.7,9.7,10
PCG,20170922,9.9,9.9,8.6,9.7,32500
PCG,20170921,7.9,9.5,7.9,9.5,6200
PCG,20170920,8.7,8.7,8.7,8.7,128
PCG,20170919,8.1,8.1,8.1,8.1,2000
PCG,20170918,,,,8.1,0
PCG,20170915,8.1,8.8,8.1,8.1,3800
PCG,20170914,8.1,8.1,8.1,8.1,4910
PCG,20170913,8.1,8.1,8.1,8.1,10900
PCG,20170912,7.4,7.4,6.9,7.4,2940
PCG,20170911,6.8,6.8,6.8,6.8,360
PCG,20170908,7.5,7.5,7.5,7.5,50
PCG,20170907,7.5,7.5,7.5,7.5,10
PCG,20170906,,,,7.5,0
PCG,20170905,,,,7.5,0
PCG,20170901,,,,7.5,0
PCG,20170831,,,,7.5,0
PCG,20170830,,,,7.5,0
