<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PDN,20180713,69.5,70,69.5,70,3590
PDN,20180712,,,,69,0
PDN,20180711,69,69,69,69,18740
PDN,20180710,69,69,69,69,18000
PDN,20180709,,,,69,0
PDN,20180706,68.9,69,68.9,69,500
PDN,20180705,69,69,69,69,100
PDN,20180704,68.1,68.1,68.1,68.1,10
PDN,20180703,73,73,69,69,30
PDN,20180702,68.6,73,68.6,73,500
PDN,20180629,68,68.6,68,68.6,80
PDN,20180628,68.5,68.5,68.5,68.5,10
PDN,20180627,,,,65,0
PDN,20180626,65,65,65,65,400
PDN,20180625,65,65,65,65,50
PDN,20180622,,,,65,0
PDN,20180621,68,68,65,65,80
PDN,20180620,,,,69.3,0
PDN,20180619,61.1,69.3,61,69.3,880
PDN,20180618,65.1,65.1,64.3,65,3310
PDN,20180615,69,69.1,69,69.1,550
PDN,20180614,,,,66.6,0
PDN,20180613,,,,66.6,0
PDN,20180612,66.6,69.24,66.6,66.6,230
PDN,20180611,,,,66.6,0
PDN,20180608,66.41,66.6,66.41,66.6,70
PDN,20180607,67.48,67.48,63.57,63.57,120
PDN,20180606,,,,67.48,0
PDN,20180605,69.24,69.24,67.48,67.48,80
PDN,20180604,68.46,68.46,65.73,66.5,70
PDN,20180601,70.42,70.42,70.42,70.42,160
PDN,20180531,68.36,68.46,68.36,68.46,90
PDN,20180530,,,,67.48,0
PDN,20180529,71.2,71.2,67.48,67.48,400
PDN,20180528,,,,72.37,0
PDN,20180525,,,,72.37,0
PDN,20180524,65.24,72.38,65.24,72.37,110
PDN,20180523,69.83,69.93,65.04,69.93,1830
PDN,20180522,69.93,69.93,69.93,69.93,130
PDN,20180521,,,,65.53,0
PDN,20180518,,,,65.53,0
PDN,20180517,65.52,65.52,65.52,65.53,40
PDN,20180516,68.26,68.26,65.52,65.62,30
PDN,20180515,71.39,71.39,63.57,64.74,370
PDN,20180514,68.26,68.26,68.26,68.26,10
PDN,20180511,,,,73.35,0
PDN,20180510,,,,73.35,0
PDN,20180509,74.23,74.23,73.35,73.35,210
PDN,20180508,75.6,75.7,66.5,74.33,440
PDN,20180507,,,,71.49,0
PDN,20180504,,,,71.49,0
PDN,20180503,71.49,71.49,71.49,71.49,10
PDN,20180502,72.37,74.33,72.37,73.35,3080
PDN,20180427,72.08,72.08,72.08,72.08,10
PDN,20180426,74.82,74.82,73.35,73.35,280
PDN,20180424,74.82,74.82,74.82,74.82,250
PDN,20180423,75.3,75.4,75.3,75.31,1230
PDN,20180420,75.69,77.16,75.69,77.16,430
PDN,20180419,77.26,77.26,75.3,77.16,7830
PDN,20180418,78.24,78.24,76.28,76.28,1280
PDN,20180417,80.2,80.2,77.27,77.26,10690
PDN,20180416,76.96,81.17,76.96,80.2,140
PDN,20180413,81.17,81.17,81.17,81.17,10
PDN,20180412,,,,84.89,0
PDN,20180411,82.34,84.89,82.15,84.89,80
PDN,20180410,79.81,85.58,79.81,85.57,2400
PDN,20180409,84.1,86.06,81.17,84.99,178720
PDN,20180406,84.11,85.58,81.17,81.17,490
PDN,20180405,83.72,83.72,76.78,83.13,10920
PDN,20180404,84.89,84.89,80.2,80.2,28530
PDN,20180403,85.67,85.67,80.19,80.2,400
PDN,20180402,85.67,85.67,81.17,81.17,200
PDN,20180330,85.67,85.67,85.67,85.67,300
PDN,20180329,85.67,85.67,85.67,85.67,730
PDN,20180328,85.67,85.67,85.67,85.67,190
PDN,20180327,85.67,85.67,85.67,85.67,220
PDN,20180326,85.67,85.67,85.67,85.67,190
PDN,20180323,82.54,86.06,82.44,82.44,380
PDN,20180322,79.12,82.54,79.12,82.54,80
PDN,20180321,83.03,83.03,83.03,83.03,20
PDN,20180320,84.1,84.79,78.73,83.03,4290
PDN,20180319,84.89,84.89,81.17,81.17,190
PDN,20180316,84.01,85.96,81.66,81.66,1780
PDN,20180315,85.97,86.06,83.23,86.06,250
PDN,20180314,84.01,84.01,84.01,84.01,420
PDN,20180313,85.96,86.06,83.61,83.62,1310
PDN,20180312,87.62,87.62,83.22,87.33,1720
PDN,20180309,81.66,87.82,81.66,87.82,380
PDN,20180308,87.53,87.53,87.53,87.53,400
PDN,20180307,84.99,89,83.13,84.99,380
PDN,20180306,83.91,86.55,83.13,84.99,2310
PDN,20180305,84.01,84.01,84.01,84.01,50
PDN,20180302,84.79,84.79,82.15,84.01,90
PDN,20180301,87.63,87.63,82.64,82.64,1390
PDN,20180228,85.47,87.62,85.47,87.63,1250
PDN,20180227,87.82,87.82,87.82,87.82,330
PDN,20180226,82.54,87.82,82.54,87.82,5810
PDN,20180223,83.23,88.71,83.23,88.02,5510
PDN,20180222,85.09,89.39,84.01,89.39,3390
PDN,20180221,90.27,90.27,90.27,90.27,10
PDN,20180213,86.06,86.06,86.06,86.06,10
PDN,20180212,84.79,84.79,84.79,84.79,60
PDN,20180209,84.01,84.01,84.01,84.01,20
PDN,20180208,85.87,85.87,84.99,84.99,2010
PDN,20180207,84.99,84.99,83.13,84.99,880
PDN,20180206,81.76,85.58,81.76,84.99,400
PDN,20180205,,,,87.63,0
PDN,20180202,87.63,87.63,87.63,87.63,40
PDN,20180201,88.02,89.49,82.84,82.84,280
PDN,20180131,84.01,89,84.01,89,3530
PDN,20180130,84.11,84.11,84.11,84.11,150
PDN,20180129,87.54,87.54,81.28,84.11,500
PDN,20180126,87.34,87.34,80.69,85.09,170
PDN,20180125,83.82,85.09,83.13,85.09,11660
PDN,20180122,87.04,87.04,83.52,85.09,470
PDN,20180119,83.81,86.06,83.71,86.06,1650
PDN,20180118,86.55,87.43,86.55,87.43,220
PDN,20180117,88.02,88.02,86.94,86.94,1040
PDN,20180116,88.03,88.03,88.03,88.02,120
PDN,20180115,86.85,86.85,83.87,86.56,170
PDN,20180112,87.32,87.32,84.15,85.6,2150
PDN,20180111,85.31,85.31,83.67,83.67,310
PDN,20180110,86.55,87.23,86.46,86.46,120
PDN,20180109,86.56,88.29,83.67,86.36,7490
PDN,20180108,87.8,87.8,87.8,87.81,230
PDN,20180105,85.5,88.39,83.77,87.9,550
PDN,20180104,87.91,87.91,83.58,83.58,1200
PDN,20180103,82.81,88.1,82.81,83.29,330
PDN,20180102,89.25,89.25,82.81,82.81,460
PDN,20171229,89.05,89.05,87.61,87.81,1310
PDN,20171228,88.2,88.2,87.23,87.9,1770
PDN,20171227,88.77,88.77,80.5,86.56,3880
PDN,20171226,85.31,90.6,84.92,86.56,550
PDN,20171225,92.23,92.23,90.4,91.27,370
PDN,20171222,88.39,89.45,88.39,89.44,350
PDN,20171221,86.56,86.56,85.59,85.6,1810
PDN,20171220,86.66,89.73,86.56,89.73,740
PDN,20171219,91.36,91.36,91.36,91.37,250
PDN,20171218,91.46,91.46,85.4,90.88,1270
PDN,20171215,93.77,93.77,87.62,91.75,2860
PDN,20171214,94.25,95.02,88.48,88.77,750
PDN,20171213,89.06,91.94,88.57,91.75,2150
PDN,20171212,95.22,95.22,95.22,95.21,170
PDN,20171211,95.02,95.02,91.37,91.37,140
PDN,20171208,91.75,91.75,88,91.37,540
PDN,20171207,94.16,94.16,88.48,93.96,800
PDN,20171206,94.93,94.93,88.48,91.37,180
PDN,20171205,,,,91.37,0
PDN,20171204,95.5,95.5,87.71,91.37,6010
PDN,20171201,91.08,93.29,90.98,93.29,1660
PDN,20171130,97.81,97.81,97.81,97.81,400
PDN,20171129,97.81,97.81,97.81,97.81,100
PDN,20171128,90.5,97.81,90.5,97.81,690
PDN,20171127,97.33,97.33,92.33,97.23,260
PDN,20171124,92.9,92.9,84.25,92.33,510
PDN,20171123,98,98,87.42,87.42,1510
PDN,20171122,93.96,93.96,93.96,93.96,40
PDN,20171121,96.17,100.98,95.88,100.98,1480
PDN,20171120,92.33,99.06,92.33,96.17,1600
PDN,20171117,93.29,93.29,93.29,93.29,550
PDN,20171116,87.14,93.39,87.04,93.29,2400
PDN,20171115,93.87,93.87,86.08,93.58,530
PDN,20171114,88.48,94.74,88.48,90.6,600
PDN,20171113,95.12,95.12,95.12,95.12,160
PDN,20171110,91.08,91.08,85.21,90.79,10330
PDN,20171109,90.11,90.11,90.11,90.12,30
PDN,20171108,88.39,88.39,88.39,88.38,50
PDN,20171107,86.74,91.26,85.78,85.79,520
PDN,20171106,93.1,93.1,84.73,92.13,710
PDN,20171103,90.21,90.21,90.21,90.21,510
PDN,20171102,89.45,90.31,85.02,90.21,5700
PDN,20171101,87.42,91.37,87.42,91.37,790
PDN,20171031,91.65,91.65,85.4,87.52,810
PDN,20171030,91.65,91.65,91.65,91.65,510
PDN,20171027,,,,86.75,0
PDN,20171026,83.87,86.75,83.19,86.75,13600
PDN,20171025,88.96,88.96,86.36,87.52,3480
PDN,20171024,81.75,86.37,81.75,86.36,670
PDN,20171023,82.9,87.13,82.71,86.56,2730
PDN,20171020,88,88,88,88,420
PDN,20171019,83.38,88.19,83.19,85.4,7150
PDN,20171018,89.25,89.44,89.25,89.44,350
PDN,20171017,85.02,90.89,85.02,90.88,580
PDN,20171016,81.07,85.01,80.78,85.02,1910
PDN,20171013,85.79,85.79,81.08,85.11,2220
PDN,20171012,79.34,86.26,79.05,86.27,430
PDN,20171011,83.86,83.86,83.86,83.86,70
PDN,20171010,84.15,85.3,82.61,82.61,110
PDN,20171009,82.9,82.9,82.9,82.9,380
PDN,20171006,,,,85.5,0
PDN,20171005,,,,85.5,0
PDN,20171004,88.48,88.48,81.75,85.5,340
PDN,20171003,86.37,86.37,81.85,86.27,1030
PDN,20171002,90.3,90.4,84.53,84.54,1340
PDN,20170929,90.4,90.4,90.4,90.4,710
PDN,20170928,90.88,91.27,83.96,90.4,2610
PDN,20170927,85.02,90.21,84.92,90.21,3420
PDN,20170926,85.02,91.27,85.02,91.27,2660
PDN,20170925,84.63,91.36,84.63,91.37,1540
PDN,20170922,85.31,86.37,79.54,85.4,2190
PDN,20170921,85.31,85.31,85.31,85.31,1110
PDN,20170920,80.88,85.31,80.69,85.31,2110
PDN,20170919,86.75,86.75,86.75,86.75,210
PDN,20170918,86.46,86.46,86.46,86.46,20
PDN,20170915,80.4,85.31,80.02,85.31,2010
PDN,20170914,85.98,85.98,85.98,85.98,510
PDN,20170913,84.63,86.46,82.71,85.4,400
PDN,20170912,82.71,84.45,82.71,84.44,800
PDN,20170911,85.6,85.6,85.6,85.6,500
PDN,20170908,,,,85.6,0
PDN,20170907,,,,85.6,0
PDN,20170906,80.5,85.98,80.31,85.6,10890
PDN,20170905,86.47,86.47,86.27,86.27,100
PDN,20170901,85.59,85.59,85.59,85.6,10
PDN,20170831,85.6,85.6,82.9,82.9,140
PDN,20170830,82.71,82.71,82.71,82.71,160
PDN,20170829,87.13,87.13,87.13,87.13,20
PDN,20170828,87.62,87.71,81.84,87.23,1150
PDN,20170825,81.17,88.48,80.69,88,2180
PDN,20170824,86.75,86.75,86.75,86.75,320
PDN,20170823,86.75,86.75,86.75,86.75,30
PDN,20170822,,,,86.75,0
PDN,20170821,81.75,86.85,81.46,86.75,1470
PDN,20170818,87.03,87.51,80.49,87.52,2060
PDN,20170817,87.51,87.51,86.36,86.36,1390
PDN,20170816,86.55,90.21,80.5,86.36,1520
PDN,20170815,81.75,88.19,81.46,86.17,1420
PDN,20170814,81.56,87.52,81.46,87.52,530
PDN,20170811,87.52,87.52,87.52,87.52,150
PDN,20170810,83.48,87.52,83.48,87.52,1040
PDN,20170809,82.62,83.58,82.62,83.58,140
PDN,20170808,86.46,86.46,78.76,84.54,480
PDN,20170807,83.57,84.63,81.26,84.63,1060
PDN,20170804,81.65,85.6,76.08,82.61,1070
PDN,20170803,,,,81.75,0
PDN,20170802,81.75,81.75,81.75,81.75,200
PDN,20170801,78.57,84.06,78.57,81.75,400
PDN,20170731,,,,84.44,0
PDN,20170728,83.67,84.44,76.75,84.44,3280
PDN,20170727,78.67,82.52,78.67,82.42,200
PDN,20170726,85.5,85.5,79.54,84.54,290
PDN,20170725,79.06,86.56,78.67,85.5,290
PDN,20170724,87.52,87.52,76.94,84.54,870
PDN,20170721,82.13,87.71,76.46,82.71,1080
PDN,20170720,76.56,83.19,76.56,82.13,2760
PDN,20170719,71.55,82.33,71.55,82.23,1910
PDN,20170718,71.55,76.94,71.55,76.94,850
PDN,20170717,71.55,76.94,71.55,76.84,2360
PDN,20170714,71.55,76.94,71.55,76.94,310
PDN,20170713,71.55,76.94,71.55,76.94,120
PDN,20170712,79.82,80.78,73.38,76.94,910
PDN,20170711,71.17,80.79,71.17,78.86,1360
PDN,20170710,76.45,76.45,75.97,76.46,30
PDN,20170707,74.05,74.05,74.05,74.05,20
PDN,20170706,,,,74.05,0
PDN,20170705,75.97,76.94,69.72,74.05,110
PDN,20170704,74.06,74.06,70.11,74.05,670
PDN,20170703,69.72,71.17,69.72,71.17,1650
PDN,20170630,74.06,74.06,73.1,73.09,260
PDN,20170629,69.25,69.25,68.77,69.25,1920
PDN,20170628,70.98,71.17,70.98,71.17,430
PDN,20170627,66.74,70.2,66.36,70.21,1380
PDN,20170626,66.75,66.75,66.75,66.74,60
