<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PHR,20180713,20,20.2,19.9,20,67850
PHR,20180712,20,20,19.5,20,67050
PHR,20180711,19.3,20.1,19.3,19.85,251200
PHR,20180710,19.5,20.3,19.5,20.25,75950
PHR,20180709,19.6,19.8,19.3,19.5,177460
PHR,20180706,18.15,19.9,18.15,19.5,232870
PHR,20180705,18.65,18.95,18.5,18.6,169180
PHR,20180704,19,19.05,18.3,19,206160
PHR,20180703,19.7,19.7,18.8,18.9,330280
PHR,20180702,20.3,20.7,19.4,19.6,164140
PHR,20180629,20.2,21.4,20.2,20.8,384820
PHR,20180628,21.6,22,20.8,21,75660
PHR,20180627,22.7,22.75,21.6,21.6,178050
PHR,20180626,23,23,22.2,22.7,122790
PHR,20180625,22.9,23.2,22.7,23,96960
PHR,20180622,22.9,22.95,22.6,22.6,72740
PHR,20180621,23,23,22.6,22.6,66230
PHR,20180620,22.45,23.2,22.45,23.1,111270
PHR,20180619,23.1,23.85,22.4,22.45,344730
PHR,20180618,24.8,25.2,23.7,24,220750
PHR,20180615,26,26,24.9,25.4,193310
PHR,20180614,25.5,26.4,25.5,25.85,257040
PHR,20180613,25.61,25.61,25.07,25.32,311680
PHR,20180612,25.97,25.97,24.92,25.21,449770
PHR,20180611,26.52,26.63,25.95,25.97,325260
PHR,20180608,26.74,26.94,26.34,26.63,202260
PHR,20180607,26.45,27.14,26.34,26.74,459340
PHR,20180606,25.44,26.35,25.27,26.17,459110
PHR,20180605,25,25.09,24.63,24.64,249220
PHR,20180604,24.41,25.15,24.41,24.86,258570
PHR,20180601,24.36,24.47,23.73,24.18,177320
PHR,20180531,23.61,24.3,23.33,24.3,95450
PHR,20180530,23.61,23.84,23.04,23.5,63980
PHR,20180529,22.59,23.61,22.59,23.61,116180
PHR,20180528,23.78,23.78,22.33,22.36,375170
PHR,20180525,24.81,24.81,23.95,23.95,319040
PHR,20180524,24.47,24.58,24.01,24.58,72350
PHR,20180523,23.9,24.24,23.84,24.24,108260
PHR,20180522,25.26,25.26,23.95,24.24,415730
PHR,20180521,25.43,25.46,24.75,24.92,72760
PHR,20180518,25.49,25.49,24.61,25.32,207560
PHR,20180517,25.27,25.61,24.95,25.21,306040
PHR,20180516,25.41,25.43,25.04,25.18,355530
PHR,20180515,25.04,25.44,24.92,25.32,383400
PHR,20180514,24.06,24.97,24.06,24.98,518070
PHR,20180511,23.79,23.98,23.61,23.95,317070
PHR,20180510,23.61,24.18,23.44,23.7,417960
PHR,20180509,23.78,23.78,23.21,23.5,833600
PHR,20180508,23.15,24.18,22.9,23.44,392820
PHR,20180507,22.81,23.01,22.76,22.87,354010
PHR,20180504,23.22,23.9,22.76,22.87,393040
PHR,20180503,23.32,23.41,22.93,23.33,60880
PHR,20180502,22.98,24.12,22.98,23.21,67690
PHR,20180427,22.82,23.22,22.82,23.21,96350
PHR,20180426,22.93,23.21,22.76,22.99,147520
PHR,20180424,22.76,23.13,22.47,23.04,221770
PHR,20180423,23.62,23.62,22.76,22.87,531350
PHR,20180420,23.9,24.07,23.7,23.73,274890
PHR,20180419,24.19,24.41,23.9,23.9,310360
PHR,20180418,24.87,24.87,24.18,24.47,121010
PHR,20180417,24.41,25.04,24.41,24.61,43150
PHR,20180416,24.13,25.04,23.9,24.95,160980
PHR,20180413,24.19,24.44,23.73,24.24,176500
PHR,20180412,23.89,24.29,23.78,24.13,267360
PHR,20180411,25.21,25.58,23.96,24.35,410390
PHR,20180410,25.89,25.89,25.21,25.21,270410
PHR,20180409,26.17,26.48,25.03,25.58,521880
PHR,20180406,26.17,26.45,26.06,26.17,164960
PHR,20180405,25.83,26.63,25.83,26.34,114470
PHR,20180404,26.92,27.2,26.06,26.17,366400
PHR,20180403,27.25,27.31,26.8,27.03,314430
PHR,20180402,26.46,27.37,26.46,27.28,440250
PHR,20180330,25.44,26.35,25.44,26.29,127860
PHR,20180329,25.21,25.78,25.21,25.58,105830
PHR,20180328,25.32,25.83,25.26,25.32,354050
PHR,20180327,26.17,26.17,25.32,25.32,189590
