<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PIV,20180713,1.5,1.5,1.5,1.5,174700
PIV,20180712,,,,1.6,0
PIV,20180711,,,,1.6,0
PIV,20180710,,,,1.6,0
PIV,20180709,,,,1.6,0
PIV,20180706,1.6,1.7,1.6,1.6,209900
PIV,20180705,,,,1.7,0
PIV,20180704,,,,1.7,0
PIV,20180703,,,,1.7,0
PIV,20180702,,,,1.7,0
PIV,20180629,1.7,1.9,1.7,1.7,371100
PIV,20180628,,,,1.8,0
PIV,20180627,,,,1.8,0
PIV,20180626,,,,1.8,0
PIV,20180625,,,,1.8,0
PIV,20180622,1.8,1.9,1.8,1.8,304800
PIV,20180621,,,,2,0
PIV,20180620,,,,2,0
PIV,20180619,,,,2,0
PIV,20180618,,,,2,0
PIV,20180615,2.2,2.2,2,2,513520
PIV,20180614,,,,2.2,0
PIV,20180613,,,,2.2,0
PIV,20180612,,,,2.2,0
PIV,20180611,,,,2.2,0
PIV,20180608,2.4,2.5,2.1,2.2,1091827
PIV,20180607,,,,2.3,0
PIV,20180606,,,,2.3,0
PIV,20180605,,,,2.3,0
PIV,20180604,,,,2.3,0
PIV,20180601,2.4,2.4,2.3,2.3,193000
PIV,20180531,,,,2.5,0
PIV,20180530,,,,2.5,0
PIV,20180529,,,,2.5,0
PIV,20180528,,,,2.5,0
PIV,20180525,2.5,2.6,2.5,2.5,473947
PIV,20180524,,,,2.7,0
PIV,20180523,,,,2.7,0
PIV,20180522,,,,2.7,0
PIV,20180521,,,,2.7,0
PIV,20180518,2.8,2.8,2.6,2.7,606550
PIV,20180517,,,,2.8,0
PIV,20180516,,,,2.8,0
PIV,20180515,,,,2.8,0
PIV,20180514,,,,2.8,0
PIV,20180511,2.8,2.8,2.7,2.8,481230
PIV,20180510,,,,2.6,0
PIV,20180509,,,,2.6,0
PIV,20180508,,,,2.6,0
PIV,20180507,,,,2.6,0
PIV,20180504,2.6,3,2.6,2.6,423810
PIV,20180503,,,,2.8,0
PIV,20180502,,,,2.8,0
PIV,20180427,2.8,2.8,2.8,2.8,64710
PIV,20180426,,,,3.1,0
PIV,20180424,,,,3.1,0
PIV,20180423,,,,3.1,0
PIV,20180420,3.1,3.1,3.1,3.1,9703
PIV,20180419,,,,3.4,0
PIV,20180418,,,,3.4,0
PIV,20180417,,,,3.4,0
PIV,20180416,,,,3.4,0
PIV,20180413,3.4,3.4,3.4,3.4,11150
PIV,20180412,,,,3.7,0
PIV,20180411,,,,3.7,0
PIV,20180410,,,,3.7,0
PIV,20180409,,,,3.7,0
PIV,20180406,3.7,3.7,3.7,3.7,6010
PIV,20180405,,,,4.1,0
PIV,20180404,,,,4.1,0
PIV,20180403,,,,4.1,0
PIV,20180402,,,,4.1,0
PIV,20180330,4.1,4.1,4.1,4.1,25650
