<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PLC,20180713,17,17,16.2,16.6,18000
PLC,20180712,16.9,16.9,16.6,16.6,22800
PLC,20180711,17,17,16.3,16.6,40100
PLC,20180710,16.8,16.8,16.2,16.2,15400
PLC,20180709,15.7,16.9,15.7,16.2,41250
PLC,20180706,15.6,15.8,15.5,15.5,27800
PLC,20180705,16,17,15.5,15.8,29200
PLC,20180704,16.2,16.2,15.5,15.8,3700
PLC,20180703,16.2,16.2,15.5,15.5,18400
PLC,20180702,16.2,16.2,15.1,15.7,35600
PLC,20180629,15.6,16.4,15.6,16.2,28800
PLC,20180628,15.5,15.7,15.3,15.6,11300
PLC,20180627,15,15.7,15,15.7,145000
PLC,20180626,15.2,15.6,14.9,15,106412
PLC,20180625,16,16,15.1,15.3,49600
PLC,20180622,16.4,16.4,15.4,16.1,107800
PLC,20180621,16.5,16.5,15.6,16,50708
PLC,20180620,15.6,16,15.5,16,92200
PLC,20180619,16.1,16.1,16,16,17400
PLC,20180618,17.8,17.8,16,16.1,63810
PLC,20180615,16.8,17.9,16.6,16.6,129800
PLC,20180614,17.4,19,16.8,16.8,43888
PLC,20180613,17.13,17.4,17.13,17.4,4590
PLC,20180612,17.49,17.49,16.68,17.31,16100
PLC,20180611,17.04,17.49,17.04,17.04,28900
PLC,20180608,17.13,17.13,17.04,17.04,57650
PLC,20180607,17.4,17.4,16.86,17.13,74400
PLC,20180606,17.76,17.76,16.86,16.86,105300
PLC,20180605,17.67,17.76,16.59,16.86,24000
PLC,20180604,17.94,17.94,17.49,17.49,14030
PLC,20180601,17.49,17.58,17.04,17.58,33120
PLC,20180531,17.94,17.94,17.04,17.58,39690
PLC,20180530,17.04,17.58,16.77,16.77,3540
PLC,20180529,16.86,16.86,16.59,16.68,7400
PLC,20180528,16.6,16.96,16.06,16.14,23400
PLC,20180525,16.14,16.14,15.69,16.06,73425
PLC,20180524,16.14,16.5,16.14,16.14,48120
PLC,20180523,16.06,16.15,15.61,16.14,46820
PLC,20180522,16.78,16.78,15.7,15.7,60400
PLC,20180521,17.04,17.04,16.05,16.06,71474
PLC,20180518,16.77,16.86,16.14,16.14,45100
PLC,20180517,16.86,17.04,16.68,16.68,66659
PLC,20180516,16.95,17.04,16.95,16.95,4130
PLC,20180515,16.95,17.04,16.77,17.04,11965
PLC,20180514,16.59,17.67,16.59,16.95,36626
PLC,20180511,17.85,17.85,16.68,16.68,42775
PLC,20180510,18.3,18.3,17.04,17.04,110750
PLC,20180509,18.39,18.39,16.95,16.95,29800
PLC,20180508,18.84,18.84,16.77,17.04,141200
PLC,20180507,18.75,18.75,17.13,17.49,84000
PLC,20180504,18.75,18.75,18.21,18.21,32100
PLC,20180503,18.39,18.39,18.3,18.3,55555
PLC,20180502,18.75,18.75,18.75,18.75,100
PLC,20180427,19.2,19.2,18.39,18.84,3000
PLC,20180426,18.84,18.84,18.21,18.3,67000
PLC,20180424,19.74,19.74,18.21,18.39,23361
PLC,20180423,19.65,19.65,18.39,18.39,36900
PLC,20180420,18.84,18.84,18.39,18.39,7110
PLC,20180419,18.83,18.83,18.47,18.84,23210
PLC,20180418,19.74,19.74,18.84,19.1,24500
