<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PLX,20180713,54,54.8,53.8,54,266960
PLX,20180712,53.5,54.7,52.8,53.5,139300
PLX,20180711,52.5,54,52.1,54,406410
PLX,20180710,55,56.5,55,55,301320
PLX,20180709,55.5,56.9,55,55,358880
PLX,20180706,53,56.1,51.8,54.4,683880
PLX,20180705,56,56,52.8,52.8,498150
PLX,20180704,56.2,56.5,54.2,55.6,319770
PLX,20180703,58.5,58.5,55,55.1,446650
PLX,20180702,58.4,58.7,55.9,58.5,488920
PLX,20180629,59,59.9,58.5,58.5,149200
PLX,20180628,59.5,59.8,58,59,410520
PLX,20180627,61,62,59.8,59.8,331450
PLX,20180626,61.1,61.1,60,60.6,221360
PLX,20180625,62.8,62.8,61.5,61.6,383240
PLX,20180622,59.54,60.4,58.97,60.4,308340
PLX,20180621,60.77,60.77,59.54,59.64,259740
PLX,20180620,59.92,60.87,58.59,60.87,305680
PLX,20180619,60.5,60.97,57.16,59.54,1282720
PLX,20180618,63.63,64.01,61.44,61.45,517670
PLX,20180615,63.25,64.11,62.59,64.11,476310
PLX,20180614,63.83,65.07,63.54,63.54,594110
PLX,20180613,61.83,63.83,61.44,63.83,496570
PLX,20180612,61.92,62.87,59.25,61.73,927160
PLX,20180611,63.35,65.16,63.06,63.16,584970
PLX,20180608,63.63,65.25,62.68,64.97,781580
PLX,20180607,63.83,64.21,62.88,63.73,637220
PLX,20180606,62.87,64.3,61.73,64.02,547500
PLX,20180605,59.83,63.36,59.83,62.49,765440
PLX,20180604,59.54,60.49,58.68,59.83,386910
PLX,20180601,59.92,60.01,58.01,59.54,686660
PLX,20180531,55.25,59.54,55.25,59.06,849930
PLX,20180530,56.68,57.63,55.73,55.73,490400
PLX,20180529,54.3,57.07,53.73,57.06,678390
PLX,20180528,56.2,56.2,53.35,53.35,976740
PLX,20180525,60.02,60.5,56.69,56.68,618290
PLX,20180524,60.59,61.44,59.06,60.02,382870
PLX,20180523,58.11,60.3,57.35,60.3,614660
PLX,20180522,61.45,62.88,58.5,59.06,955310
PLX,20180521,65.83,65.83,62.87,62.88,542820
PLX,20180518,64.02,65.73,61.92,65.73,825630
PLX,20180517,65.35,66.02,64.78,64.78,852580
PLX,20180516,67.64,67.64,65.26,65.73,728550
PLX,20180515,62.88,67.26,62.88,67.26,1275590
PLX,20180514,62.3,62.97,61.07,62.88,408200
PLX,20180511,60.97,61.83,59.06,60.97,672780
PLX,20180510,64.78,64.78,60.97,60.97,552890
PLX,20180509,65.54,65.92,63.64,64.49,615370
PLX,20180508,62.97,65.54,62.97,64.97,643400
PLX,20180507,61.92,63.73,61.44,63.35,492350
PLX,20180504,62.88,63.07,61.45,62.3,632690
PLX,20180503,62.88,65.26,60.97,63.07,788130
PLX,20180502,60.49,62.88,60.02,62.88,837650
PLX,20180427,54.97,58.78,54.87,58.78,1112190
PLX,20180426,59.92,59.92,54.96,54.97,909200
PLX,20180424,59.63,60.97,57.25,59.06,1222150
PLX,20180423,66.68,67.63,61.54,61.54,683680
PLX,20180420,63.64,66.12,62.88,66.11,733140
PLX,20180419,68.4,68.4,63.64,63.64,1255730
PLX,20180418,70.5,71.17,67.45,68.4,1160450
PLX,20180417,73.07,73.26,69.93,70.5,692890
PLX,20180416,72.88,73.26,71.45,73.07,557830
PLX,20180413,76.21,76.97,71.45,72.88,948810
PLX,20180412,75.26,76.21,74.02,76.21,950990
PLX,20180411,79.17,79.93,75.26,75.26,1006130
PLX,20180410,78.97,79.45,77.45,79.07,557070
PLX,20180409,79.07,80.5,78.88,79.45,761600
PLX,20180406,78.12,79.07,76.98,79.07,891780
PLX,20180405,78.59,79.07,77.35,77.55,532380
PLX,20180404,79.07,79.55,78.02,78.59,937700
PLX,20180403,80.5,81.36,78.97,79.07,778980
PLX,20180402,79.64,81.26,79.36,80.88,770760
PLX,20180330,78.97,79.92,77.64,79.74,501160
PLX,20180329,78.97,79.35,77.73,78.4,374820
PLX,20180328,77.26,79.74,76.79,78.97,500520
PLX,20180327,79.55,80.02,76.5,78.12,1269680
PLX,20180326,81.07,81.93,79.07,79.07,1121370
PLX,20180323,80.98,82.31,79.93,81.07,1182670
PLX,20180322,83.84,84.6,82.69,82.79,1293360
PLX,20180321,82.12,83.55,81.55,82.79,1797680
PLX,20180320,81.92,83.07,81.45,81.45,922890
PLX,20180319,80.98,82.4,80.5,82.21,1156350
PLX,20180316,77.36,81.07,77.36,79.07,2039440
PLX,20180315,77.17,78.12,76.5,77.26,665400
PLX,20180314,77.83,79.07,77.35,77.36,511470
PLX,20180313,78.98,79.36,75.93,77.64,932770
PLX,20180312,81.26,81.26,78.5,78.5,507620
PLX,20180309,81.36,81.93,79.84,80.02,552480
PLX,20180308,79.36,81.17,78.6,80.98,676110
PLX,20180307,82.02,82.5,79.07,79.36,833790
PLX,20180306,80.5,82.89,79.07,82.5,838820
PLX,20180305,83.36,84.31,79.16,79.17,1014150
PLX,20180302,81.93,82.88,81.26,82.88,849060
PLX,20180301,84.59,85.54,82.02,83.07,1258110
PLX,20180228,81.93,86.69,81.93,85.64,1820920
PLX,20180227,85.26,85.26,82.4,83.74,845450
PLX,20180226,80.97,84.5,80.97,84.31,2159560
PLX,20180223,74.69,78.97,74.5,78.97,2058340
PLX,20180222,75.26,76.12,72.41,73.83,622310
PLX,20180221,76.41,76.98,74.98,75.93,803170
PLX,20180213,75.26,75.54,74.31,74.5,546150
PLX,20180212,69.64,74.21,69.64,74.21,750900
PLX,20180209,69.54,71.26,68.4,69.64,770290
PLX,20180208,74.79,75.45,73.36,73.45,459780
PLX,20180207,76.31,76.4,73.92,76.12,1566120
PLX,20180206,72.4,76.21,72.4,72.4,1071710
PLX,20180205,83.26,83.26,77.83,77.83,1590460
PLX,20180202,82.89,84.41,82.31,83.64,992010
PLX,20180201,84.6,85.74,83.64,84.41,723200
PLX,20180131,83.83,88.59,81.07,84.31,1946140
PLX,20180130,85.74,86.59,82.69,85.26,1593930
PLX,20180129,88.6,88.6,86.31,87.45,1706230
PLX,20180126,89.45,89.74,85.74,88.6,1662110
PLX,20180125,89.74,90.98,88.4,88.69,2924920
PLX,20180122,87.55,89.93,85.74,88.69,1527840
PLX,20180119,83.36,87.55,82.69,87.55,2791600
PLX,20180118,80.98,83.17,78.12,82.69,2552170
PLX,20180117,86.69,87.93,82.12,82.12,1459300
PLX,20180116,85.74,88.32,84.7,86.69,1556760
PLX,20180115,82.6,86.7,81.93,86.22,1470780
PLX,20180112,84.02,86.88,81.92,82.6,1928010
PLX,20180111,80.5,84.6,79.74,84.02,1057380
PLX,20180110,79.17,81.93,79.07,80.98,1428940
PLX,20180109,80.02,80.97,78.59,79.17,1278870
PLX,20180108,74.88,80.31,74.88,80.02,1164450
PLX,20180105,74.59,75.64,73.55,75.26,1368060
PLX,20180104,71.83,74.88,71.83,74.88,1439440
PLX,20180103,71.45,72.21,70.78,71.64,1096830
PLX,20180102,71.64,72.88,70.4,71.45,1142760
PLX,20171229,70.5,72.88,69.55,71.45,1458000
PLX,20171228,69.54,70.97,68.78,70.5,1381580
PLX,20171227,70.49,70.78,68.59,69.73,1163520
PLX,20171226,68.5,70.02,68.5,69.73,1344510
PLX,20171225,65.92,68.49,65.54,68.5,1751990
PLX,20171222,66.4,66.4,64.97,65.73,894560
PLX,20171221,65.93,67.64,65.93,66.4,923560
PLX,20171220,64.31,67.55,64.21,66.69,2730440
PLX,20171219,62.4,64.69,62.21,63.83,1286100
PLX,20171218,61.92,63.16,61.92,62.78,428870
PLX,20171215,61.73,61.92,61.06,61.92,340040
PLX,20171214,59.35,61.83,59.06,61.73,370260
PLX,20171213,61.93,61.93,58.97,59.35,649540
PLX,20171212,61.25,62.3,58.11,61.07,778430
PLX,20171211,61.45,62.68,61.35,61.35,306410
PLX,20171208,61.64,63.73,60.59,62.78,533660
PLX,20171207,62.88,63.36,60.88,61.35,661200
PLX,20171206,62.87,64.11,61.92,62.88,710670
PLX,20171205,62.97,64.69,62.4,63.35,1170480
PLX,20171204,62.11,63.25,61.44,63.07,750070
PLX,20171201,59.06,62.11,59.06,62.11,1338940
PLX,20171130,59.06,59.73,58.97,59.06,714320
PLX,20171129,57.25,59.16,56.77,58.87,1305540
PLX,20171128,58.11,58.21,56.97,57.25,387960
PLX,20171127,57.16,58.78,56.68,58.11,599940
PLX,20171124,57.64,57.74,56.31,57.35,485810
PLX,20171123,58.97,59.07,57.54,57.64,569880
PLX,20171122,57.64,59.45,57.16,58.97,536080
PLX,20171121,55.06,58.49,55.06,57.64,1242580
PLX,20171120,53.64,54.88,53.64,54.68,578810
PLX,20171117,54.3,54.3,52.97,52.97,486410
PLX,20171116,54.21,54.78,54.11,54.49,260240
PLX,20171115,53.06,54.78,52.97,54.21,445550
PLX,20171114,52.4,53.35,51.54,52.68,462250
PLX,20171113,54.77,54.77,51.44,52.78,580360
PLX,20171110,55.25,55.44,54.39,55.25,147190
PLX,20171109,54.21,55.64,53.73,55.44,399080
PLX,20171108,53.25,54.21,53.25,54.21,197170
PLX,20171107,51.07,54.21,51.07,53.35,417220
PLX,20171106,54.39,54.59,50.97,52.21,590070
PLX,20171103,54.11,55.25,54.01,54.49,356150
PLX,20171102,57.25,57.92,54.11,54.11,708070
PLX,20171101,58.59,58.59,57.16,57.92,386030
PLX,20171031,59.06,59.06,58.11,58.3,205440
PLX,20171030,60.02,60.21,59.07,59.06,475770
PLX,20171027,59.06,59.63,58.77,59.64,265120
PLX,20171026,59.36,59.36,57.93,59.06,150610
PLX,20171025,59.26,59.36,57.64,59.26,101350
PLX,20171024,59.16,59.93,57.93,59.26,298110
PLX,20171023,59.82,60.01,59.06,59.45,228920
PLX,20171020,60.3,60.97,60.01,60.3,326490
PLX,20171019,59.83,60.5,59.54,60.3,416860
PLX,20171018,59.06,60.3,58.68,59.83,516960
PLX,20171017,57.73,59.07,57.73,59.06,398400
PLX,20171016,57.73,58.31,57.45,58.02,258220
PLX,20171013,57.73,58.02,57.54,58.02,360640
PLX,20171012,58.87,58.87,57.82,58.02,276780
PLX,20171011,59.06,59.06,58.77,58.87,226180
PLX,20171010,58.11,58.87,57.73,58.87,213840
PLX,20171009,58.59,58.59,57.64,58.3,174990
PLX,20171006,58.49,59.35,58.39,58.78,129560
PLX,20171005,57.54,59.45,57.54,58.49,254450
PLX,20171004,57.45,57.83,56.78,57.54,332820
PLX,20171003,58.96,59.73,56.68,57.35,459660
PLX,20171002,59.54,60.11,59.06,59.06,331260
PLX,20170929,60.87,60.87,59.82,60.11,611130
PLX,20170928,61.73,61.73,60.78,60.87,442750
PLX,20170927,61.45,61.73,61.35,61.73,252960
PLX,20170926,61.93,62.21,61.35,61.35,648770
PLX,20170925,61.54,62.02,61.35,61.83,358140
PLX,20170922,61.16,61.73,61.16,61.54,340680
PLX,20170921,60.4,61.92,60.4,61.16,479010
PLX,20170920,62.11,62.11,60.68,60.97,1065660
PLX,20170919,63.07,63.45,58.97,62.11,1325010
PLX,20170918,64.78,64.78,63.26,63.26,1266740
PLX,20170915,65.06,65.16,64.49,65.07,3548190
PLX,20170914,65.45,65.93,65.16,65.16,709380
PLX,20170913,64.49,65.92,64.3,65.45,2785080
PLX,20170912,63.73,64.31,63.73,64.3,647000
PLX,20170911,64.4,64.4,63.73,63.83,484390
PLX,20170908,63.64,64.69,63.35,63.73,743570
PLX,20170907,63.83,64.12,63.64,63.64,580970
PLX,20170906,63.83,64.12,63.35,63.83,525730
PLX,20170905,64.31,64.69,63.74,63.83,807400
PLX,20170901,63.64,63.93,63.07,63.64,237100
PLX,20170831,63.83,64.5,63.45,63.64,403980
PLX,20170830,64.49,64.78,63.83,63.83,357560
PLX,20170829,64.88,65.45,64.59,64.78,544800
PLX,20170828,64.3,65.25,64.11,65.07,939860
PLX,20170825,64.4,65.16,64.11,64.3,501000
PLX,20170824,63.44,64.59,63.25,64.4,865230
PLX,20170823,63.16,63.64,63.06,63.54,103940
PLX,20170822,64.49,64.59,63.16,63.54,211800
PLX,20170821,63.83,64.68,63.64,64.11,1445250
PLX,20170818,62.68,63.25,62.58,62.97,287630
PLX,20170817,62.97,63.16,62.68,62.68,202030
PLX,20170816,63.16,63.54,62.4,62.97,578890
PLX,20170815,63.17,63.17,62.4,63.16,269720
PLX,20170814,61.45,63.07,61.16,62.88,264910
PLX,20170811,61.92,62.78,61.16,61.45,186140
PLX,20170810,61.92,62.87,61.73,62.11,283290
PLX,20170809,64.3,64.78,62.39,62.68,699190
PLX,20170808,63.64,65.74,63.64,64.3,1347990
PLX,20170807,60.59,63.64,60.49,63.64,1648590
PLX,20170804,59.83,60.88,59.73,60.59,515090
PLX,20170803,60.02,60.21,59.73,60.02,331860
PLX,20170802,59.83,60.5,59.16,60.21,347480
PLX,20170801,59.26,60.69,59.26,60.02,420960
PLX,20170731,60.97,60.97,59.83,59.83,291180
PLX,20170728,59.73,61.16,59.16,61.16,505210
PLX,20170727,61.06,61.06,59.83,59.83,883020
PLX,20170726,62.12,62.12,61.26,61.54,328670
PLX,20170725,59.07,61.93,58.11,61.83,1548220
PLX,20170724,61.45,62.4,60.02,60.02,1064220
PLX,20170721,62.4,62.88,62.21,62.4,615940
PLX,20170720,63.52,63.71,62.19,62.4,583230
PLX,20170719,62.49,63.49,62.49,62.95,998340
PLX,20170718,62.04,62.85,61.95,62.58,796070
PLX,20170717,63.58,63.94,62.31,62.4,613290
PLX,20170714,64.3,64.49,63.58,63.58,766980
PLX,20170713,62.67,63.76,62.67,63.76,1069020
PLX,20170712,63.4,63.4,62.49,62.49,905250
PLX,20170711,62.49,62.49,61.76,62.49,669300
PLX,20170710,62.22,63.04,61.95,62.49,1149130
PLX,20170707,64.22,64.49,63.04,63.13,1345800
PLX,20170706,62.22,64.67,61.76,64.49,1697930
PLX,20170705,61.4,63.03,61.13,62.49,493040
PLX,20170704,62.22,62.31,61.04,61.49,983220
PLX,20170703,62.67,63.21,62.22,62.58,1235890
PLX,20170630,63.49,63.68,62.68,62.67,846590
PLX,20170629,62.49,63.76,61.67,63.13,980940
