<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PMP,20180713,,,,15,0
PMP,20180712,,,,15,0
PMP,20180711,,,,15,0
PMP,20180710,,,,15,0
PMP,20180709,,,,15,0
PMP,20180706,,,,15,0
PMP,20180705,,,,15,0
PMP,20180704,,,,15,0
PMP,20180703,,,,15,0
PMP,20180702,,,,15,0
PMP,20180629,,,,15,0
PMP,20180628,,,,15,0
PMP,20180627,,,,15,0
PMP,20180626,,,,15,0
PMP,20180625,,,,15,0
PMP,20180622,,,,15,0
PMP,20180621,,,,15,0
PMP,20180620,,,,15,0
PMP,20180619,15,15,15,15,500
PMP,20180618,15.5,15.5,15.5,15.5,500
PMP,20180615,,,,16.4,0
PMP,20180614,,,,16.4,0
PMP,20180613,,,,16.4,0
PMP,20180612,,,,16.4,0
PMP,20180611,,,,16.4,0
PMP,20180608,,,,16.4,0
PMP,20180607,,,,16.4,0
PMP,20180606,,,,16.4,0
PMP,20180605,,,,16.4,0
PMP,20180604,,,,16.4,0
PMP,20180601,,,,16.4,0
PMP,20180531,16.4,16.4,16.4,16.4,100
PMP,20180530,,,,14.95,0
PMP,20180529,,,,14.95,0
PMP,20180528,,,,14.95,0
PMP,20180525,,,,14.95,0
PMP,20180524,,,,14.95,0
PMP,20180523,,,,14.95,0
PMP,20180522,,,,14.95,0
PMP,20180521,,,,14.95,0
PMP,20180518,,,,14.95,0
PMP,20180517,,,,14.95,0
PMP,20180516,,,,14.95,0
PMP,20180515,,,,14.95,0
PMP,20180514,,,,14.95,0
PMP,20180511,,,,14.95,0
PMP,20180510,,,,14.95,0
PMP,20180509,14.95,14.95,14.95,14.95,100
PMP,20180508,,,,13.86,0
PMP,20180507,,,,13.86,0
PMP,20180504,,,,13.86,0
PMP,20180503,,,,13.86,0
PMP,20180502,,,,13.86,0
PMP,20180427,,,,13.86,0
PMP,20180426,,,,13.86,0
PMP,20180424,,,,13.86,0
PMP,20180423,,,,13.86,0
PMP,20180420,,,,13.86,0
PMP,20180419,,,,13.86,0
PMP,20180418,,,,13.86,0
PMP,20180417,,,,13.86,0
PMP,20180416,,,,13.86,0
PMP,20180413,,,,13.86,0
PMP,20180412,13.86,13.86,13.86,13.86,500
PMP,20180411,14.04,14.04,14.04,14.04,500
PMP,20180410,13.68,13.68,13.68,13.68,1000
PMP,20180409,,,,15.13,0
PMP,20180406,,,,15.13,0
PMP,20180405,,,,15.13,0
PMP,20180404,,,,15.13,0
PMP,20180403,,,,15.13,0
PMP,20180402,,,,15.13,0
PMP,20180330,,,,15.13,0
PMP,20180329,,,,15.13,0
PMP,20180328,,,,15.13,0
PMP,20180327,,,,15.13,0
PMP,20180326,15.13,15.13,15.13,15.13,16
PMP,20180323,,,,15.13,0
PMP,20180322,,,,15.13,0
PMP,20180321,,,,15.13,0
PMP,20180320,15.13,15.13,15.13,15.13,900
PMP,20180319,15.04,15.04,15.04,15.04,116
PMP,20180316,,,,16.67,0
PMP,20180315,16.67,16.67,16.67,16.67,500
PMP,20180314,,,,16.58,0
PMP,20180313,,,,16.58,0
PMP,20180312,,,,16.58,0
PMP,20180309,,,,16.58,0
PMP,20180308,,,,16.58,0
PMP,20180307,,,,16.58,0
PMP,20180306,,,,16.58,0
PMP,20180305,,,,16.58,0
PMP,20180302,,,,16.58,0
PMP,20180301,,,,16.58,0
PMP,20180228,,,,16.58,0
PMP,20180227,,,,16.58,0
PMP,20180226,,,,16.58,0
PMP,20180223,,,,16.58,0
PMP,20180222,16.58,16.58,16.58,16.58,28
PMP,20180221,,,,16.58,0
PMP,20180213,,,,16.58,0
PMP,20180212,,,,16.58,0
PMP,20180209,,,,16.58,0
PMP,20180208,,,,16.58,0
PMP,20180207,,,,16.58,0
PMP,20180206,,,,16.58,0
PMP,20180205,16.58,16.58,16.58,16.58,100
PMP,20180202,,,,16.58,0
PMP,20180201,,,,16.58,0
PMP,20180131,,,,16.58,0
PMP,20180130,,,,16.58,0
PMP,20180129,,,,16.58,0
PMP,20180126,,,,16.58,0
PMP,20180125,,,,16.58,0
PMP,20180122,,,,16.58,0
PMP,20180119,,,,16.58,0
PMP,20180118,,,,16.58,0
PMP,20180117,,,,16.58,0
PMP,20180116,16.58,16.58,16.58,16.58,200
PMP,20180115,,,,18.39,0
PMP,20180112,,,,18.39,0
PMP,20180111,,,,18.39,0
PMP,20180110,,,,18.39,0
PMP,20180109,,,,18.39,0
PMP,20180108,18.39,18.39,18.39,18.39,1000
PMP,20180105,,,,16.76,0
PMP,20180104,,,,16.76,0
PMP,20180103,,,,16.76,0
PMP,20180102,,,,16.76,0
PMP,20171229,,,,16.76,0
PMP,20171228,16.76,16.76,16.76,16.76,2
PMP,20171227,,,,16.76,0
PMP,20171226,,,,16.76,0
PMP,20171225,,,,16.76,0
PMP,20171222,,,,16.76,0
PMP,20171221,,,,16.76,0
PMP,20171220,,,,16.76,0
PMP,20171219,,,,16.76,0
PMP,20171218,,,,16.76,0
PMP,20171215,16.76,16.76,16.76,16.76,30
PMP,20171214,,,,16.76,0
PMP,20171213,,,,16.76,0
PMP,20171212,,,,16.76,0
PMP,20171211,,,,16.76,0
PMP,20171208,,,,16.76,0
PMP,20171207,16.76,16.76,16.76,16.76,100
PMP,20171206,,,,15.4,0
PMP,20171205,,,,15.4,0
PMP,20171204,,,,15.4,0
PMP,20171201,,,,15.4,0
PMP,20171130,,,,15.4,0
PMP,20171129,,,,15.4,0
PMP,20171128,15.4,15.4,15.4,15.4,5200
PMP,20171127,,,,15.4,0
PMP,20171124,15.4,15.4,15.4,15.4,5000
PMP,20171123,,,,15.4,0
PMP,20171122,,,,15.4,0
PMP,20171121,,,,15.4,0
PMP,20171120,,,,15.4,0
PMP,20171117,,,,15.4,0
PMP,20171116,15.4,15.4,15.4,15.4,100
PMP,20171115,,,,15.4,0
PMP,20171114,,,,15.4,0
PMP,20171113,,,,15.4,0
PMP,20171110,,,,15.4,0
PMP,20171109,,,,15.4,0
PMP,20171108,,,,15.4,0
PMP,20171107,15.4,15.4,15.4,15.4,15000
PMP,20171106,15.4,15.4,15.4,15.4,600
PMP,20171103,,,,15.4,0
PMP,20171102,,,,15.4,0
PMP,20171101,,,,15.4,0
PMP,20171031,15.4,15.4,15.4,15.4,6500
PMP,20171030,15.4,15.4,15.4,15.4,500
PMP,20171027,15.58,15.58,15.58,15.58,200
PMP,20171026,15.5,15.68,15.41,15.58,28200
PMP,20171025,15.85,15.85,15.85,15.86,4000
PMP,20171024,,,,15.4,0
PMP,20171023,,,,15.4,0
PMP,20171020,15.4,15.4,15.4,15.4,5000
PMP,20171019,,,,15.4,0
PMP,20171018,,,,15.4,0
PMP,20171017,,,,15.4,0
PMP,20171016,,,,15.4,0
PMP,20171013,15.4,15.4,15.4,15.4,5300
PMP,20171012,15.4,15.4,15.4,15.4,2000
PMP,20171011,,,,15.4,0
PMP,20171010,,,,15.4,0
PMP,20171009,,,,15.4,0
PMP,20171006,15.4,15.4,15.4,15.4,1500
PMP,20171005,,,,15.4,0
PMP,20171004,,,,15.4,0
PMP,20171003,15.4,15.4,15.4,15.4,500
PMP,20171002,15.41,15.41,15.41,15.4,22000
PMP,20170929,14.31,14.31,14.31,14.32,5000
PMP,20170928,15.4,15.4,15.4,15.4,500
PMP,20170927,,,,15.67,0
PMP,20170926,,,,15.67,0
PMP,20170925,,,,15.67,0
PMP,20170922,,,,15.67,0
PMP,20170921,,,,15.67,0
PMP,20170920,,,,15.67,0
PMP,20170919,,,,15.67,0
PMP,20170918,,,,15.67,0
PMP,20170915,,,,15.67,0
PMP,20170914,,,,15.67,0
PMP,20170913,15.68,15.68,15.68,15.67,400
PMP,20170912,,,,14.32,0
PMP,20170911,,,,14.32,0
PMP,20170908,,,,14.32,0
PMP,20170907,,,,14.32,0
PMP,20170906,14.32,14.32,14.32,14.32,1500
PMP,20170905,,,,14.32,0
PMP,20170901,,,,14.32,0
PMP,20170831,,,,14.32,0
PMP,20170830,,,,14.32,0
PMP,20170829,,,,14.32,0
PMP,20170828,,,,14.32,0
PMP,20170825,14.32,14.32,14.32,14.32,1000
PMP,20170824,,,,14.41,0
PMP,20170823,,,,14.41,0
PMP,20170822,,,,14.41,0
PMP,20170821,14.41,14.41,14.41,14.41,1000
PMP,20170818,,,,14.41,0
PMP,20170817,14.41,14.41,14.41,14.41,1000
PMP,20170816,,,,14.5,0
PMP,20170815,,,,14.5,0
PMP,20170814,,,,14.5,0
PMP,20170811,14.5,14.5,14.5,14.5,500
PMP,20170810,,,,14.5,0
PMP,20170809,15.04,15.04,14.5,14.5,700
PMP,20170808,,,,14.95,0
PMP,20170807,,,,14.95,0
PMP,20170804,,,,14.95,0
PMP,20170803,,,,14.95,0
PMP,20170802,14.95,14.95,14.95,14.95,800
PMP,20170801,,,,14.95,0
PMP,20170731,14.95,14.95,14.95,14.95,100
PMP,20170728,,,,14.95,0
PMP,20170727,,,,14.95,0
PMP,20170726,,,,14.95,0
PMP,20170725,,,,14.95,0
PMP,20170724,,,,14.95,0
PMP,20170721,,,,14.95,0
PMP,20170720,,,,14.95,0
PMP,20170719,14.95,14.95,14.95,14.95,2000
PMP,20170718,,,,14.95,0
PMP,20170717,,,,14.95,0
PMP,20170714,,,,14.95,0
PMP,20170713,,,,14.95,0
PMP,20170712,,,,14.95,0
PMP,20170711,15.04,15.04,14.95,14.95,1900
PMP,20170710,14.95,14.95,14.95,14.95,2000
PMP,20170707,,,,14.86,0
PMP,20170706,,,,14.86,0
PMP,20170705,,,,14.86,0
PMP,20170704,,,,14.86,0
PMP,20170703,,,,14.86,0
PMP,20170630,14.95,14.95,14.86,14.86,2000
PMP,20170629,14.95,14.95,14.95,14.95,8000
PMP,20170628,14.95,14.95,14.95,14.95,4400
PMP,20170627,14.13,14.95,14.13,14.95,1000
