<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PMS,20180713,13.2,13.7,13.2,13.7,1600
PMS,20180712,,,,13.9,0
PMS,20180711,13.8,13.9,13.8,13.9,4100
PMS,20180710,14.4,14.4,13.6,13.6,2160
PMS,20180709,14.5,14.8,14.1,14.8,540
PMS,20180706,14,15,14,15,330
PMS,20180705,14.5,14.5,14.5,14.5,100
PMS,20180704,,,,13.7,0
PMS,20180703,13.8,13.8,13.7,13.7,14000
PMS,20180702,13.8,13.8,13.7,13.7,8000
PMS,20180629,13.7,13.7,13.7,13.7,20
PMS,20180628,,,,13.7,0
PMS,20180627,,,,13.7,0
PMS,20180626,,,,13.7,0
PMS,20180625,13.7,13.7,13.7,13.7,2429
PMS,20180622,13.5,13.5,13.5,13.5,300
PMS,20180621,13.1,13.1,13.1,13.1,1000
PMS,20180620,13.2,13.2,13,13.1,9000
PMS,20180619,13.2,13.2,13.1,13.1,1700
PMS,20180618,13.9,13.9,13.8,13.8,800
PMS,20180615,13.8,13.8,13.6,13.8,1200
PMS,20180614,,,,13.5,0
PMS,20180613,13.5,13.5,13.5,13.5,200
PMS,20180612,13.7,14,13.2,13.2,2700
PMS,20180611,13.2,13.2,13.2,13.2,200
PMS,20180608,14.2,14.2,13.2,13.2,210
PMS,20180607,13.3,13.3,13.2,13.3,2030
PMS,20180606,14.5,14.5,13.1,13.2,4445
PMS,20180605,14.5,14.5,14.5,14.5,1030
PMS,20180604,15,15,14.4,14.4,1211
PMS,20180601,14,15.8,14,15.8,3400
PMS,20180531,14.9,16.2,14,14.5,1400
PMS,20180530,13.9,14.9,13.9,14.9,200
PMS,20180529,13.2,14.8,13.1,14.8,2100
PMS,20180528,16.8,16.8,14.3,14.5,2600
PMS,20180525,14.5,15.7,14.5,15.7,1100
PMS,20180524,15.2,15.2,15.2,15.2,300
PMS,20180523,16.8,16.8,16.8,16.8,170
PMS,20180522,,,,16.8,0
PMS,20180521,16,16.8,16,16.8,200
PMS,20180518,15,15.5,14.7,15.5,3330
PMS,20180517,15.34,15.34,14.65,14.65,3117
PMS,20180516,15.43,15.43,15.43,15.43,613
PMS,20180515,15.6,15.6,15.17,15.43,9200
PMS,20180514,15.08,16.38,14.99,16.38,12900
PMS,20180511,15.09,15.09,15.09,15.08,1000
PMS,20180510,15.17,15.17,14.74,15,14005
PMS,20180509,14.56,14.65,14.56,14.65,10000
PMS,20180508,14.56,14.56,14.56,14.56,6301
PMS,20180507,14.56,14.56,14.56,14.56,8400
PMS,20180504,14.56,14.56,14.56,14.56,15800
PMS,20180503,14.56,14.56,14.56,14.56,2000
PMS,20180502,14.56,14.56,14.56,14.56,12900
PMS,20180427,14.56,14.56,14.56,14.56,10
PMS,20180426,14.74,14.74,14.57,14.56,14000
