<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PNJ,20180713,83,85.9,83,85,217450
PNJ,20180712,82.2,84,81,82.2,114410
PNJ,20180711,82.5,83.9,80.4,82.5,426990
PNJ,20180710,82.5,86,82,85.5,319020
PNJ,20180709,86,87,82.5,82.5,398130
PNJ,20180706,80.5,86.5,79.1,86.5,469910
PNJ,20180705,83.8,84.8,78,81.3,523390
PNJ,20180704,76,81.3,75,81.3,493240
PNJ,20180703,80,82,76,76,775020
PNJ,20180702,84.5,85.5,81,81,738950
PNJ,20180629,89,91,85.7,87,581690
PNJ,20180628,97,97.9,90.3,90.3,931230
PNJ,20180627,101.1,102.9,97,97,512250
PNJ,20180626,101.6,102.2,98.8,102.2,458090
PNJ,20180625,105.9,107.4,103.5,103.5,322980
PNJ,20180622,101,105,97.8,105,650220
PNJ,20180621,107,107,101.8,103,309700
PNJ,20180620,109,109,105,107,415250
PNJ,20180619,109,110,105.1,106,842680
PNJ,20180618,119,119.1,113,113,460340
PNJ,20180615,119,122,117.8,119,253200
PNJ,20180614,120,123,119,119,667820
PNJ,20180613,114.74,118,113.67,116.33,898670
PNJ,20180612,120.13,120.2,116,118.67,512380
PNJ,20180611,121.54,123.27,120,121.33,312980
PNJ,20180608,121.33,123.33,120.67,122.47,210880
PNJ,20180607,123.34,124,120.34,122,333220
PNJ,20180606,120,123.26,118,123.27,408910
PNJ,20180605,116,119.33,115.33,119.33,279280
PNJ,20180604,114,115.33,113.4,115.33,218140
PNJ,20180601,110,115.33,110,113.8,260990
PNJ,20180531,108,111.33,106.33,111.33,302580
PNJ,20180530,110,110.33,107.33,108,138810
PNJ,20180529,107.93,112.66,102,110,634890
PNJ,20180528,114.67,115.33,107.93,107.93,697030
PNJ,20180525,118.66,118.66,116,116,137470
PNJ,20180524,119.33,120,117.33,119.33,102670
PNJ,20180523,117.93,119.33,116.06,119.33,170120
PNJ,20180522,120,120,116,117.93,391620
PNJ,20180521,122.27,122.67,120,120,146940
PNJ,20180518,121,121.34,117.2,120.67,319040
PNJ,20180517,122,122,119.66,120.67,131160
PNJ,20180516,122.06,123.33,120.53,121.33,323540
PNJ,20180515,123.67,124.4,122.73,123.33,230960
PNJ,20180514,123.34,124.54,121.67,124,228360
PNJ,20180511,117.54,121.87,116.07,121.87,492930
PNJ,20180510,121.53,122.53,117.87,117.87,371420
PNJ,20180509,121.93,122.6,120.2,121.53,191480
PNJ,20180508,121.93,125.2,121.93,121.93,370500
PNJ,20180507,115.87,121.79,115.2,121.8,480240
PNJ,20180504,113.21,115.14,113.21,113.87,227490
PNJ,20180503,113.2,114.54,111.07,113.21,217860
PNJ,20180502,115.2,116.87,112.54,113.87,264010
PNJ,20180427,110.21,116.54,109.21,113.87,274310
PNJ,20180426,113.87,114.47,111.21,111.21,335900
PNJ,20180424,113.87,115.87,111.87,115.87,217450
PNJ,20180423,116.54,118.54,114.54,115.87,348310
PNJ,20180420,109.88,114.81,109.88,114.81,259900
PNJ,20180419,114.54,116.41,108.55,109.88,778630
PNJ,20180418,121.2,122.53,115.21,116.54,584820
PNJ,20180417,122.6,124.33,120.2,120.87,245100
PNJ,20180416,123.86,125.86,122.93,123,176360
