<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PPC,20180713,17,17.2,16.9,17,41130
PPC,20180712,16.9,17.25,16.9,16.9,60050
PPC,20180711,16.95,17.4,16.9,16.9,61120
PPC,20180710,17.2,17.45,16.95,16.95,258590
PPC,20180709,17.4,17.5,17,17.05,255910
PPC,20180706,17,17.3,17,17.2,44830
PPC,20180705,17,17.6,16.95,17,237190
PPC,20180704,17.45,17.45,17,17.35,148120
PPC,20180703,17.05,17.3,16.6,17.1,201190
PPC,20180702,17.6,18,17,17,310140
PPC,20180629,17.7,18.2,17.6,17.6,359300
PPC,20180628,17.75,17.8,17.5,17.6,223760
PPC,20180627,17.6,17.8,17.55,17.75,175150
PPC,20180626,17.3,17.8,17.25,17.6,238760
PPC,20180625,17.2,17.3,17,17.3,162240
PPC,20180622,17.3,17.3,17,17,160920
PPC,20180621,17.15,17.15,16.9,17,89200
PPC,20180620,16.85,16.9,16.7,16.7,496340
PPC,20180619,17.1,17.15,16.7,16.7,532890
PPC,20180618,17.6,17.6,17,17.1,147780
PPC,20180615,17.3,17.7,17.3,17.6,60150
PPC,20180614,17.4,17.5,17.2,17.2,295540
PPC,20180613,17.25,17.45,17.25,17.4,20050
PPC,20180612,17.4,17.45,17.1,17.25,69790
PPC,20180611,17.6,17.65,17.4,17.45,45400
PPC,20180608,17.9,17.9,17.5,17.8,67810
PPC,20180607,17.8,17.9,17.5,17.9,142180
PPC,20180606,17.2,17.9,17.2,17.9,93150
PPC,20180605,17.45,17.45,17.15,17.2,100370
PPC,20180604,17.45,17.55,17,17.15,247620
PPC,20180601,17.5,17.6,17.1,17.5,48310
PPC,20180531,17.3,17.5,17.2,17.5,27290
PPC,20180530,17.6,17.65,17.1,17.1,121930
PPC,20180529,16.83,17.45,16.83,17.45,84020
PPC,20180528,17.55,17.55,16.74,16.74,258360
PPC,20180525,17.6,17.6,17.31,17.31,165100
PPC,20180524,17.78,17.78,17.36,17.36,129770
PPC,20180523,17.45,17.5,17.21,17.5,88690
PPC,20180522,17.59,17.69,17.31,17.45,176070
PPC,20180521,17.68,17.68,17.45,17.45,285080
PPC,20180518,17.69,17.78,17.36,17.4,277850
PPC,20180517,17.31,17.97,17.31,17.69,87550
PPC,20180516,17.78,17.78,17.31,17.31,119790
PPC,20180515,17.5,17.69,17.12,17.59,374510
PPC,20180514,17.59,17.97,17.41,17.69,45770
PPC,20180511,17.4,17.49,17.02,17.5,109630
PPC,20180510,17.97,17.97,17.41,17.4,45670
PPC,20180509,17.97,17.97,17.4,17.88,31970
PPC,20180508,17.83,18.06,17.59,17.97,47900
PPC,20180507,17.31,18.35,17.26,17.78,85400
PPC,20180504,17.31,17.5,17.22,17.26,124840
PPC,20180503,17.07,17.35,17.02,17.36,123270
PPC,20180502,17.07,17.4,17.02,17.07,159730
PPC,20180427,17.31,17.5,17.03,17.4,48590
PPC,20180426,17.69,17.78,17.31,17.31,102830
PPC,20180424,17.69,17.78,17.5,17.69,139510
PPC,20180423,17.69,18.26,16.84,17.69,325960
PPC,20180420,18.15,18.15,17.5,17.5,232640
PPC,20180419,18.15,18.62,17.68,17.87,235860
PPC,20180418,18.61,18.8,18.15,18.15,300130
PPC,20180417,18.89,18.89,18.52,18.52,308690
PPC,20180416,18.75,18.89,18.52,18.89,107190
PPC,20180413,19.17,19.45,18.75,18.75,199380
PPC,20180412,19.27,19.41,19.18,19.22,119720
PPC,20180411,19.27,19.73,18.8,19.27,452930
PPC,20180410,19.27,19.27,18.43,19.08,343350
PPC,20180409,19.08,19.92,19.08,19.13,355980
