<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PPY,20180713,,,,16.5,0
PPY,20180712,,,,16.5,0
PPY,20180711,,,,16.5,0
PPY,20180710,,,,16.5,0
PPY,20180709,,,,16.5,0
PPY,20180706,,,,16.5,0
PPY,20180705,,,,16.5,0
PPY,20180704,,,,16.5,0
PPY,20180703,,,,16.5,0
PPY,20180702,,,,16.5,0
PPY,20180629,16.5,16.5,16.5,16.5,100
PPY,20180628,16.5,16.5,16.5,16.5,100
PPY,20180627,,,,15.9,0
PPY,20180626,,,,15.9,0
PPY,20180625,,,,15.9,0
PPY,20180622,,,,15.9,0
PPY,20180621,,,,15.9,0
PPY,20180620,,,,15.9,0
PPY,20180619,,,,15.9,0
PPY,20180618,,,,15.9,0
PPY,20180615,,,,15.9,0
PPY,20180614,,,,15.9,0
PPY,20180613,,,,15.9,0
PPY,20180612,,,,15.9,0
PPY,20180611,,,,15.9,0
PPY,20180608,,,,15.9,0
PPY,20180607,,,,15.9,0
PPY,20180606,,,,15.9,0
PPY,20180605,,,,15.9,0
PPY,20180604,,,,15.9,0
PPY,20180601,,,,15.9,0
PPY,20180531,15.9,15.9,15.9,15.9,300
PPY,20180530,,,,15.8,0
PPY,20180529,,,,15.8,0
PPY,20180528,,,,15.8,0
PPY,20180525,,,,15.8,0
PPY,20180524,,,,15.8,0
PPY,20180523,,,,15.8,0
PPY,20180522,,,,15.8,0
PPY,20180521,,,,15.8,0
PPY,20180518,,,,15.8,0
PPY,20180517,16,16,15.8,15.8,1500
PPY,20180516,,,,17.4,0
PPY,20180515,,,,17.4,0
PPY,20180514,,,,17.4,0
PPY,20180511,,,,17.4,0
PPY,20180510,,,,17.4,0
PPY,20180509,,,,17.4,0
PPY,20180508,,,,17.4,0
PPY,20180507,,,,17.4,0
PPY,20180504,,,,17.4,0
PPY,20180503,,,,17.4,0
PPY,20180502,,,,17.4,0
PPY,20180427,,,,17.4,0
PPY,20180426,,,,17.4,0
PPY,20180424,,,,17.4,0
PPY,20180423,,,,17.4,0
PPY,20180420,,,,17.4,0
PPY,20180419,,,,17.4,0
PPY,20180418,,,,17.4,0
PPY,20180417,,,,17.4,0
PPY,20180416,,,,17.4,0
PPY,20180413,,,,17.4,0
PPY,20180412,,,,17.4,0
PPY,20180411,,,,17.4,0
PPY,20180410,,,,17.4,0
PPY,20180409,17.4,17.4,17.4,17.4,100
PPY,20180406,,,,17.4,0
PPY,20180405,,,,17.4,0
PPY,20180404,,,,17.4,0
PPY,20180403,,,,17.4,0
PPY,20180402,,,,17.4,0
PPY,20180330,,,,17.4,0
PPY,20180329,,,,17.4,0
PPY,20180328,16.16,17.4,16.16,17.4,330
PPY,20180327,16.16,16.16,16.16,16.16,400
PPY,20180326,16.54,16.92,16.54,16.92,1100
PPY,20180323,,,,16.16,0
PPY,20180322,,,,16.16,0
PPY,20180321,,,,16.16,0
PPY,20180320,,,,16.16,0
PPY,20180319,,,,16.16,0
PPY,20180316,,,,16.16,0
PPY,20180315,,,,16.16,0
PPY,20180314,,,,16.16,0
PPY,20180313,,,,16.16,0
PPY,20180312,16.17,16.17,16.17,16.16,100
PPY,20180309,,,,17.12,0
PPY,20180308,17.12,17.12,17.12,17.12,300
PPY,20180307,,,,18.07,0
PPY,20180306,,,,18.07,0
PPY,20180305,,,,18.07,0
PPY,20180302,,,,18.07,0
PPY,20180301,,,,18.07,0
PPY,20180228,,,,18.07,0
PPY,20180227,18.07,18.07,18.07,18.07,500
PPY,20180226,,,,18.83,0
PPY,20180223,,,,18.83,0
PPY,20180222,,,,18.83,0
PPY,20180221,,,,18.83,0
PPY,20180213,,,,18.83,0
PPY,20180212,,,,18.83,0
PPY,20180209,18.82,18.82,18.82,18.83,200
PPY,20180208,,,,20.82,0
PPY,20180207,,,,20.82,0
PPY,20180206,,,,20.82,0
PPY,20180205,,,,20.82,0
PPY,20180202,,,,20.82,0
PPY,20180201,,,,20.82,0
PPY,20180131,20.82,20.82,20.82,20.82,100
PPY,20180130,19.5,19.5,19.5,19.49,100
PPY,20180129,18.83,18.83,18.83,18.83,100
PPY,20180126,17.12,17.97,17.12,17.97,300
PPY,20180125,17.02,17.02,17.02,17.02,24
PPY,20180122,17.02,17.02,17.02,17.02,1000
PPY,20180119,17.02,17.02,17.02,17.02,600
PPY,20180118,18.83,18.83,18.83,18.83,100
PPY,20180117,20.92,20.92,20.92,20.92,100
PPY,20180116,,,,23.2,0
PPY,20180115,,,,23.2,0
PPY,20180112,23.2,23.2,23.2,23.2,1600
