<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PSE,20180713,8.1,9.9,8.1,9.9,300
PSE,20180712,8,9,8,9,700
PSE,20180711,,,,8.8,0
PSE,20180710,8.8,8.8,8.8,8.8,9600
PSE,20180709,8.4,8.8,8.4,8.8,2800
PSE,20180706,,,,8,0
PSE,20180705,8.1,8.1,8,8,400
PSE,20180704,,,,8.1,0
PSE,20180703,8.1,8.1,8.1,8.1,100
PSE,20180702,8.2,8.2,8.2,8.2,100
PSE,20180629,7.6,8.4,7.6,8.4,200
PSE,20180628,,,,8.4,0
PSE,20180627,8.3,8.4,8.3,8.4,200
PSE,20180626,7.7,7.7,7.7,7.7,100
PSE,20180625,,,,8.4,0
PSE,20180622,8.4,8.4,8.4,8.4,100
PSE,20180621,8.4,8.4,8.4,8.4,100
PSE,20180620,8.5,8.5,8.5,8.5,100
PSE,20180619,8.5,8.5,8.1,8.1,200
PSE,20180618,,,,7.8,0
PSE,20180615,8.3,8.3,7.8,7.8,200
PSE,20180614,,,,8.5,0
PSE,20180613,8,8.5,8,8.5,700
PSE,20180612,8.5,8.5,8.5,8.5,400
PSE,20180611,8.3,8.6,8.2,8.6,700
PSE,20180608,8.3,8.7,8.3,8.7,1900
PSE,20180607,8.4,8.8,8.3,8.8,3200
PSE,20180606,8.4,9.2,8.4,9.2,200
PSE,20180605,8.4,9.9,8.4,9.2,500
PSE,20180604,9,9.2,8.5,9.2,3500
PSE,20180601,8.3,9.4,8.3,9.4,800
PSE,20180531,8.6,9.3,8.6,9,500
PSE,20180530,8.5,9.5,8.5,9.5,700
PSE,20180529,8.5,10.3,8.5,9,3300
PSE,20180528,8.2,9.4,8.2,9.4,200
PSE,20180525,8.2,9,8.2,9,200
PSE,20180524,9,9,9,9,100
PSE,20180523,8.3,8.3,8.3,8.3,100
PSE,20180522,8.39,8.39,8.3,8.3,1600
PSE,20180521,8.39,9.19,8.39,9.19,600
PSE,20180518,8.57,8.57,8.39,8.39,1500
PSE,20180517,8.48,8.75,8.3,8.39,1100
PSE,20180516,8.74,8.74,8.48,8.48,600
PSE,20180515,8.04,8.04,8.04,8.03,100
PSE,20180514,8.04,8.75,8.04,8.75,200
PSE,20180511,8.03,8.74,8.03,8.75,200
PSE,20180510,8.39,8.39,8.04,8.03,200
PSE,20180509,8.04,8.04,7.68,7.68,1400
PSE,20180508,7.95,8.21,7.59,7.59,2500
PSE,20180507,,,,7.5,0
PSE,20180504,,,,7.5,0
PSE,20180503,7.41,8.21,7.41,7.5,3100
PSE,20180502,7.32,8.12,7.32,8.12,200
PSE,20180427,7.41,8.03,7.41,8.03,200
PSE,20180426,8.12,8.12,8.12,8.12,400
PSE,20180424,8.12,8.21,8.12,8.21,800
PSE,20180423,7.32,8.03,7.32,8.03,200
PSE,20180420,7.32,8.03,7.32,8.03,300
PSE,20180419,,,,8.12,0
PSE,20180418,,,,8.12,0
PSE,20180417,8.48,8.48,7.5,8.12,2100
PSE,20180416,8.12,8.3,7.32,8.3,1400
PSE,20180413,8.13,8.13,7.41,7.94,3700
PSE,20180412,8.66,8.66,7.59,7.59,6900
PSE,20180411,8.48,8.48,8.03,8.39,5200
PSE,20180410,8.47,8.56,8.38,8.57,900
PSE,20180409,7.77,8.93,7.77,8.92,1510
PSE,20180406,7.59,8.48,7.59,8.48,200
PSE,20180405,7.68,8.48,7.68,8.39,300
PSE,20180404,7.95,8.48,7.95,8.48,200
PSE,20180403,7.77,8.66,7.77,8.66,200
PSE,20180402,7.95,8.48,7.95,8.48,700
PSE,20180330,8.04,8.75,8.04,8.75,200
PSE,20180329,7.68,8.84,7.68,8.84,230
PSE,20180328,7.86,8.48,7.86,8.48,200
PSE,20180327,8.65,8.65,8.65,8.66,100
PSE,20180326,8.03,8.03,8.03,8.03,130
PSE,20180323,7.68,8.93,7.68,8.92,500
PSE,20180322,7.77,8.48,7.77,8.48,200
PSE,20180321,7.77,8.57,7.77,8.57,200
PSE,20180320,8.12,8.57,8.12,8.57,200
PSE,20180319,8.12,8.12,8.12,8.12,100
PSE,20180316,,,,7.41,0
PSE,20180315,8.47,8.47,7.4,7.41,200
PSE,20180314,7.86,7.86,7.86,7.85,100
PSE,20180313,7.86,8.66,7.86,8.66,200
PSE,20180312,8.65,8.65,8.65,8.66,100
PSE,20180309,,,,8.03,0
PSE,20180308,8.03,8.03,7.94,8.03,14900
PSE,20180307,8.03,8.03,7.94,7.94,6700
PSE,20180306,8.03,8.03,8.03,8.03,500
PSE,20180305,7.32,8.03,7.32,8.03,1100
PSE,20180302,8.12,8.12,8.03,8.03,5000
PSE,20180301,7.32,8.03,7.32,8.03,9600
PSE,20180228,8.03,8.03,8.03,8.03,100
PSE,20180227,7.32,7.32,7.32,7.32,100
PSE,20180226,,,,8.03,0
PSE,20180223,8.03,8.03,8.03,8.03,100
PSE,20180222,8.03,8.92,8.03,8.92,300
PSE,20180221,7.5,8.92,7.5,8.92,300
PSE,20180213,7.41,8.21,7.41,8.21,200
PSE,20180212,7.59,8.12,7.59,8.12,200
PSE,20180209,8.03,8.39,7.94,8.39,3700
PSE,20180208,8.04,8.04,8.04,8.03,100
PSE,20180207,7.68,8.84,7.68,8.84,200
PSE,20180206,8.03,8.48,8.03,8.48,3100
PSE,20180205,8.48,8.48,7.77,8.39,300
PSE,20180202,7.77,8.57,7.77,8.57,200
PSE,20180201,8.57,8.57,8.57,8.57,100
PSE,20180131,8.03,8.03,8.03,8.03,4900
PSE,20180130,8.48,8.48,8.03,8.48,5700
PSE,20180129,8.48,8.48,8.48,8.48,1200
PSE,20180126,8.03,8.48,8.03,8.48,1000
PSE,20180125,8.39,8.39,8.04,8.03,3200
PSE,20180122,,,,8.03,0
PSE,20180119,,,,8.03,0
PSE,20180118,8.03,8.03,8.03,8.03,100
PSE,20180117,8.03,8.03,8.03,8.03,200
PSE,20180116,8.75,8.75,8.04,8.03,11400
PSE,20180115,8.75,8.75,8.75,8.75,3100
