<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PTD,20180713,,,,15.5,0
PTD,20180712,,,,15.5,0
PTD,20180711,,,,15.5,0
PTD,20180710,,,,15.5,0
PTD,20180709,,,,15.5,0
PTD,20180706,,,,15.5,0
PTD,20180705,,,,15.5,0
PTD,20180704,,,,15.5,0
PTD,20180703,,,,15.5,0
PTD,20180702,,,,15.5,0
PTD,20180629,,,,15.5,0
PTD,20180628,,,,15.5,0
PTD,20180627,,,,15.5,0
PTD,20180626,,,,15.5,0
PTD,20180625,,,,15.5,0
PTD,20180622,,,,15.5,0
PTD,20180621,,,,15.5,0
PTD,20180620,,,,15.5,0
PTD,20180619,,,,15.5,0
PTD,20180618,,,,15.5,0
PTD,20180615,,,,15.5,0
PTD,20180614,,,,15.5,0
PTD,20180613,,,,15.5,0
PTD,20180612,,,,15.5,0
PTD,20180611,,,,15.5,0
PTD,20180608,,,,15.5,0
PTD,20180607,,,,15.5,0
PTD,20180606,15.5,15.5,15.5,15.5,100
PTD,20180605,,,,14.1,0
PTD,20180604,,,,14.1,0
PTD,20180601,,,,14.1,0
PTD,20180531,,,,14.1,0
PTD,20180530,,,,14.1,0
PTD,20180529,,,,14.1,0
PTD,20180528,,,,14.1,0
PTD,20180525,,,,14.1,0
PTD,20180524,,,,14.1,0
PTD,20180523,,,,14.1,0
PTD,20180522,,,,14.1,0
PTD,20180521,,,,14.1,0
PTD,20180518,,,,14.1,0
PTD,20180517,,,,14.1,0
PTD,20180516,,,,14.1,0
PTD,20180515,,,,14.1,0
PTD,20180514,,,,14.1,0
PTD,20180511,14.1,14.1,14.1,14.1,25
PTD,20180510,14.1,14.1,14.1,14.1,70
PTD,20180509,,,,14.1,0
PTD,20180508,,,,14.1,0
PTD,20180507,14.1,14.1,14.1,14.1,95
PTD,20180504,14.1,14.1,14.1,14.1,100
PTD,20180503,,,,14.4,0
PTD,20180502,14.4,14.4,14.4,14.4,100
PTD,20180427,,,,13.5,0
PTD,20180426,,,,13.5,0
PTD,20180424,,,,13.5,0
PTD,20180423,,,,13.5,0
PTD,20180420,,,,13.5,0
