<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
QST,20180713,,,,10.6,0
QST,20180712,,,,10.6,0
QST,20180711,,,,10.6,0
QST,20180710,,,,10.6,0
QST,20180709,,,,10.6,0
QST,20180706,,,,10.6,0
QST,20180705,,,,10.6,0
QST,20180704,,,,10.6,0
QST,20180703,,,,10.6,0
QST,20180702,,,,10.6,0
QST,20180629,,,,10.6,0
QST,20180628,,,,10.6,0
QST,20180627,,,,10.6,0
QST,20180626,,,,10.6,0
QST,20180625,,,,10.6,0
QST,20180622,,,,10.6,0
QST,20180621,,,,10.6,0
QST,20180620,,,,10.6,0
QST,20180619,,,,10.6,0
QST,20180618,,,,10.6,0
QST,20180615,,,,10.6,0
QST,20180614,,,,10.6,0
QST,20180613,,,,10.6,0
QST,20180612,,,,10.6,0
QST,20180611,,,,10.6,0
QST,20180608,,,,10.6,0
QST,20180607,,,,10.6,0
QST,20180606,,,,10.6,0
QST,20180605,,,,10.6,0
QST,20180604,,,,10.6,0
QST,20180601,,,,10.6,0
QST,20180531,,,,10.6,0
QST,20180530,,,,10.6,0
QST,20180529,,,,10.6,0
QST,20180528,,,,10.6,0
QST,20180525,,,,10.6,0
QST,20180524,,,,10.6,0
QST,20180523,,,,10.6,0
QST,20180522,,,,10.6,0
QST,20180521,,,,10.6,0
QST,20180518,,,,10.6,0
QST,20180517,,,,10.6,0
QST,20180516,,,,10.6,0
QST,20180515,,,,10.6,0
QST,20180514,,,,10.6,0
QST,20180511,,,,10.6,0
QST,20180510,,,,10.6,0
QST,20180509,,,,10.6,0
QST,20180508,,,,10.6,0
QST,20180507,,,,10.6,0
QST,20180504,,,,10.6,0
QST,20180503,,,,10.6,0
QST,20180502,,,,10.6,0
QST,20180427,,,,10.6,0
QST,20180426,,,,10.6,0
QST,20180424,,,,10.6,0
QST,20180423,,,,10.6,0
QST,20180420,,,,10.6,0
QST,20180419,,,,10.6,0
QST,20180418,,,,10.6,0
QST,20180417,,,,10.6,0
QST,20180416,,,,10.6,0
QST,20180413,,,,10.6,0
QST,20180412,,,,10.6,0
QST,20180411,,,,10.6,0
QST,20180410,,,,10.6,0
QST,20180409,,,,10.6,0
QST,20180406,,,,10.6,0
QST,20180405,,,,10.6,0
QST,20180404,,,,10.6,0
QST,20180403,,,,10.6,0
QST,20180402,,,,10.6,0
QST,20180330,,,,10.6,0
QST,20180329,,,,10.6,0
QST,20180328,,,,10.6,0
QST,20180327,,,,10.6,0
QST,20180326,,,,10.6,0
QST,20180323,,,,10.6,0
QST,20180322,,,,10.6,0
QST,20180321,,,,10.6,0
QST,20180320,,,,10.6,0
QST,20180319,,,,10.6,0
QST,20180316,,,,10.6,0
QST,20180315,,,,10.6,0
QST,20180314,,,,10.6,0
QST,20180313,,,,10.6,0
QST,20180312,,,,10.6,0
QST,20180309,,,,10.6,0
QST,20180308,,,,10.6,0
QST,20180307,,,,10.6,0
QST,20180306,,,,10.6,0
QST,20180305,,,,10.6,0
QST,20180302,10.6,10.6,10.6,10.6,100
QST,20180301,,,,9.7,0
QST,20180228,,,,9.7,0
QST,20180227,,,,9.7,0
