<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
QTC,20180713,,,,17.5,0
QTC,20180712,,,,17.5,0
QTC,20180711,,,,17.5,0
QTC,20180710,,,,17.5,0
QTC,20180709,,,,17.5,0
QTC,20180706,,,,17.5,0
QTC,20180705,,,,17.5,0
QTC,20180704,17.5,17.5,17.5,17.5,500
QTC,20180703,17.9,18,17.9,18,200
QTC,20180702,,,,17.5,0
QTC,20180629,,,,17.5,0
QTC,20180628,17.5,17.5,17.5,17.5,1000
QTC,20180627,17.5,17.5,17.5,17.5,300
QTC,20180626,17.5,17.5,17.5,17.5,700
QTC,20180625,17.5,17.5,17.5,17.5,1600
QTC,20180622,17.5,17.5,17.5,17.5,2400
QTC,20180621,,,,17.5,0
QTC,20180620,,,,17.5,0
QTC,20180619,18.4,18.4,17.5,17.5,9700
QTC,20180618,,,,19,0
QTC,20180615,,,,19,0
QTC,20180614,,,,19,0
QTC,20180613,,,,19,0
QTC,20180612,,,,19,0
QTC,20180611,,,,19,0
QTC,20180608,19,19,19,19,2100
QTC,20180607,,,,18.9,0
QTC,20180606,18.9,18.9,18.9,18.9,10
QTC,20180605,19.08,19.08,18.9,18.9,1300
QTC,20180604,18,18,18,18,310
QTC,20180601,,,,17.82,0
QTC,20180531,17.82,17.82,17.82,17.82,10
QTC,20180530,,,,17.82,0
QTC,20180529,,,,17.82,0
QTC,20180528,17.82,17.82,17.82,17.82,300
QTC,20180525,19.8,19.8,19.8,19.8,100
QTC,20180524,18.45,18.45,18.45,18.45,2600
QTC,20180523,,,,20.43,0
QTC,20180522,,,,20.43,0
QTC,20180521,20.43,20.43,20.43,20.43,100
QTC,20180518,,,,19.08,0
QTC,20180517,,,,19.08,0
QTC,20180516,,,,19.08,0
QTC,20180515,18,19.08,18,19.08,200
QTC,20180514,,,,17.73,0
QTC,20180511,17.73,17.73,17.73,17.73,100
QTC,20180510,,,,17.37,0
QTC,20180509,17.37,17.37,17.37,17.37,100
QTC,20180508,,,,17.1,0
QTC,20180507,,,,17.1,0
QTC,20180504,,,,17.1,0
QTC,20180503,17.1,17.1,17.1,17.1,500
QTC,20180502,,,,17.55,0
QTC,20180427,,,,17.55,0
QTC,20180426,17.1,17.55,17.1,17.55,2200
QTC,20180424,,,,17.64,0
