<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
S4A,20180713,,,,28.5,0
S4A,20180712,28.5,28.5,28.5,28.5,1120
S4A,20180711,28.2,28.5,28.2,28.5,1870
S4A,20180710,28.5,28.5,28.2,28.2,1930
S4A,20180709,28.3,28.4,28.3,28.4,5400
S4A,20180706,28.2,28.4,28.2,28.4,2810
S4A,20180705,28.2,28.2,28.2,28.2,1000
S4A,20180704,28.1,28.1,28.1,28.1,10
S4A,20180703,28,28.1,27.9,27.9,9280
S4A,20180702,28.3,28.3,28,28,1580
S4A,20180629,28.2,28.3,28.1,28.3,200
S4A,20180628,28,28.2,28,28.2,2680
S4A,20180627,,,,28,0
S4A,20180626,28.2,28.2,28,28,930
S4A,20180625,,,,28,0
S4A,20180622,28,28,28,28,40
S4A,20180621,28.2,28.2,28.2,28.2,20040
S4A,20180620,29.8,29.8,28.1,28.2,1520
S4A,20180619,28,28.1,27,28,290
S4A,20180618,28.1,28.1,27.8,27.8,220
S4A,20180615,28.3,28.3,27.8,27.8,1180
S4A,20180614,27.3,27.3,27.3,27.3,10
S4A,20180613,27.2,27.2,27,27.05,2100
S4A,20180612,,,,27.05,0
S4A,20180611,27,27.05,27,27.05,1400
S4A,20180608,28,28,28,28,5960
S4A,20180607,26.5,27.5,26.5,27.5,780
S4A,20180606,,,,27.1,0
S4A,20180605,,,,27.1,0
S4A,20180604,28,28,27.1,27.1,3530
S4A,20180601,28,28,28,28,6750
S4A,20180531,27,27.55,27,27.55,55470
S4A,20180530,27.5,27.5,27.3,27.3,6310
S4A,20180529,26.5,27,26.5,27,10410
S4A,20180528,26.3,26.3,26.3,26.3,12500
S4A,20180525,26.3,26.3,26.2,26.3,3500
S4A,20180524,27,27,27,27,1000
S4A,20180523,26.3,26.3,26.3,26.3,100
S4A,20180522,26.5,26.5,26,26.2,5540
S4A,20180521,,,,26.5,0
S4A,20180518,26.5,26.5,26.5,26.5,1680
S4A,20180517,26.5,26.5,26.5,26.5,200
S4A,20180516,26.5,26.5,26.5,26.5,1400
S4A,20180515,26.3,26.9,26.3,26.9,3510
S4A,20180514,26.3,26.3,26.3,26.3,830
S4A,20180511,26.3,26.35,26.3,26.3,15440
S4A,20180510,26.25,26.5,26.25,26.3,3000
S4A,20180509,27,27,27,27,100
S4A,20180508,26.3,26.3,26.3,26.3,1000
S4A,20180507,26.5,26.5,26.1,26.1,3360
S4A,20180504,26.5,26.5,26.5,26.5,5910
S4A,20180503,26.2,26.2,26.2,26.2,10
S4A,20180502,,,,26.2,0
S4A,20180427,25.7,26.2,25.7,26.2,2780
S4A,20180426,25.41,25.9,25.41,25.9,8000
S4A,20180424,25.51,25.9,25.51,25.56,3400
S4A,20180423,25.41,25.51,25.31,25.51,1000
S4A,20180420,25.7,25.9,25.7,25.9,4680
S4A,20180419,25.9,26.39,25.9,25.9,21570
S4A,20180418,25.51,25.51,25.51,25.51,730
S4A,20180417,25.41,25.51,25.41,25.51,300
S4A,20180416,25.41,25.41,25.41,25.41,950
S4A,20180413,25.51,25.51,24.43,24.43,530
S4A,20180412,25.02,25.41,24.82,25.41,900
S4A,20180411,24.97,24.97,24.97,24.97,100
S4A,20180410,24.92,24.92,24.92,24.92,3000
S4A,20180409,25.41,25.41,24.24,25.41,1310
S4A,20180406,24.92,25.9,24.53,25.9,30
S4A,20180405,24.63,24.92,24.63,24.92,2000
S4A,20180404,25.41,25.41,25.41,25.41,30
S4A,20180403,25.41,25.7,25.41,25.7,101000
S4A,20180402,24.92,25.41,24.92,25.41,5100
S4A,20180330,26.39,26.39,26.39,26.39,30
S4A,20180329,25.41,25.41,25.41,25.41,10000
S4A,20180328,25.41,25.41,25.41,25.41,790
S4A,20180327,25.9,25.9,25.42,25.41,19290
S4A,20180326,25.22,25.22,25.22,25.22,30
S4A,20180323,25.21,25.21,25.21,25.22,5000
S4A,20180322,25.41,25.41,25.41,25.41,1000
S4A,20180321,25.41,25.9,25.41,25.9,4200
S4A,20180320,25.41,25.41,25.41,25.41,400
S4A,20180319,25.41,25.41,25.41,25.41,230
S4A,20180316,25.41,25.41,24.43,24.43,10030
S4A,20180315,,,,25.41,0
S4A,20180314,24.73,25.41,24.73,25.41,2160
S4A,20180313,24.63,24.63,24.63,24.63,1300
S4A,20180312,,,,24.24,0
S4A,20180309,24.34,24.34,24.24,24.24,500
S4A,20180308,24.18,24.18,24.18,24.19,320
S4A,20180307,24.53,24.97,24.53,24.82,2110
S4A,20180306,24.97,24.97,24.97,24.97,10
S4A,20180305,23.65,23.65,23.65,23.65,240
S4A,20180302,23.65,23.65,23.65,23.65,360
S4A,20180301,24.44,24.53,23.65,23.75,9050
S4A,20180228,23.75,23.75,22.96,22.97,2000
S4A,20180227,,,,24.43,0
S4A,20180226,24.43,24.43,24.24,24.43,1150
S4A,20180223,,,,23.65,0
S4A,20180222,25.41,25.51,23.65,23.65,1240
S4A,20180221,24.92,25.41,24.92,25.41,5480
S4A,20180213,24.92,24.92,24.92,24.92,200
S4A,20180212,24.43,24.43,24.43,24.43,1500
S4A,20180209,23.75,23.95,23.75,23.94,9510
S4A,20180208,23.45,23.45,23.45,23.46,1710
S4A,20180207,23.26,23.26,23.16,23.16,1000
S4A,20180206,23.16,23.36,23.16,23.36,9590
S4A,20180205,23.65,23.74,23.45,23.75,31900
S4A,20180202,23.45,23.94,23.45,23.94,2370
S4A,20180201,24.43,24.43,23.06,23.06,11760
S4A,20180131,23.06,24.13,22.96,23.06,16960
S4A,20180130,22.97,23.26,22.97,23.06,24290
S4A,20180129,23.94,23.94,23.84,23.85,3230
S4A,20180126,23.46,23.95,23.46,23.94,7170
S4A,20180125,24.53,24.53,24.23,24.34,7020
S4A,20180122,24.24,24.44,24.24,24.43,16670
S4A,20180119,25.12,25.12,24.24,24.24,24040
S4A,20180118,23.84,23.84,23.75,23.75,13810
S4A,20180117,23.93,23.93,23.66,23.84,23440
S4A,20180116,24.02,24.02,23.84,23.84,8020
S4A,20180115,25.5,25.5,23.84,23.93,11860
S4A,20180112,23.75,23.93,23.47,23.89,10530
S4A,20180111,23.29,23.93,23.29,23.47,19580
S4A,20180110,23.01,23.38,23.01,23.29,13760
S4A,20180109,23.02,23.02,23.02,23.01,1200
S4A,20180108,22.65,23.11,22.6,23.11,8720
S4A,20180105,22.55,22.6,22.55,22.6,12040
S4A,20180104,22.27,22.55,22.27,22.55,1020
S4A,20180103,23.01,23.2,22,22.18,28980
S4A,20180102,21.49,21.91,21.49,21.91,2130
S4A,20171229,21.17,21.45,21.17,21.17,7390
S4A,20171228,22.1,22.1,21.18,21.17,4900
S4A,20171227,21.35,21.35,21.26,21.36,5270
S4A,20171226,21.17,21.17,21.17,21.17,4000
S4A,20171225,22.09,22.09,21.17,21.17,7380
S4A,20171222,,,,21.17,0
S4A,20171221,21.17,21.63,21.17,21.17,5130
S4A,20171220,,,,21.17,0
S4A,20171219,20.71,21.17,20.71,21.17,2010
S4A,20171218,21.12,21.17,20.99,21.17,12720
S4A,20171215,21.17,21.17,21.17,21.17,200
S4A,20171214,20.99,21.17,20.99,21.17,1990
S4A,20171213,20.71,21.08,20.71,21.08,1250
S4A,20171212,20.71,21.08,20.53,21.08,6340
S4A,20171211,20.71,21.08,20.71,20.71,1650
S4A,20171208,20.71,20.71,20.71,20.71,10
S4A,20171207,20.71,20.71,20.71,20.71,8710
S4A,20171206,19.98,21.18,19.98,20.71,15110
S4A,20171205,20.71,20.89,20.53,20.9,1520
S4A,20171204,20.53,21.17,20.39,20.71,4500
S4A,20171201,20.25,20.43,20.07,20.25,7380
S4A,20171130,19.88,20.25,19.79,20.25,3530
S4A,20171129,20.07,20.25,20.07,20.25,800
S4A,20171128,20.25,20.25,20.25,20.25,20
S4A,20171127,20.25,20.25,20.07,20.25,4840
S4A,20171124,20.25,20.25,20.25,20.25,520
S4A,20171123,20.16,20.53,20.16,20.53,1610
S4A,20171122,20.53,20.53,20.53,20.53,10
S4A,20171121,20.25,20.25,20.25,20.25,10
S4A,20171120,20.71,20.71,20.71,20.71,350
S4A,20171117,20.76,20.76,19.88,19.88,920
S4A,20171116,20.25,20.25,20.25,20.25,2400
