<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
S74,20180713,,,,4.4,0
S74,20180712,,,,4.4,0
S74,20180711,,,,4.4,0
S74,20180710,,,,4.4,0
S74,20180709,,,,4.4,0
S74,20180706,,,,4.4,0
S74,20180705,,,,4.4,0
S74,20180704,,,,4.4,0
S74,20180703,,,,4.4,0
S74,20180702,,,,4.4,0
S74,20180629,,,,4.4,0
S74,20180628,,,,4.4,0
S74,20180627,,,,4.4,0
S74,20180626,,,,4.4,0
S74,20180625,,,,4.4,0
S74,20180622,,,,4.4,0
S74,20180621,,,,4.4,0
S74,20180620,,,,4.4,0
S74,20180619,,,,4.4,0
S74,20180618,,,,4.4,0
S74,20180615,,,,4.4,0
S74,20180614,,,,4.4,0
S74,20180613,,,,4.4,0
S74,20180612,,,,4.4,0
S74,20180611,,,,4.4,0
S74,20180608,,,,4.4,0
S74,20180607,,,,4.4,0
S74,20180606,4.4,4.4,4.4,4.4,8700
S74,20180605,4.4,4.4,4.4,4.4,18100
S74,20180604,,,,4.6,0
S74,20180601,,,,4.6,0
S74,20180531,4.6,4.6,4.6,4.6,40
S74,20180530,,,,4.6,0
S74,20180529,,,,4.6,0
S74,20180528,4.6,4.6,4.6,4.6,100
S74,20180525,4.9,4.9,4.9,4.9,82399
S74,20180524,5.4,5.4,5.4,5.4,2
S74,20180523,,,,5.4,0
S74,20180522,5.4,5.4,5.4,5.4,90
S74,20180521,,,,5.4,0
S74,20180518,,,,5.4,0
S74,20180517,,,,5.4,0
S74,20180516,,,,5.4,0
S74,20180515,,,,5.4,0
S74,20180514,5.4,5.4,5.4,5.4,100700
S74,20180511,,,,5.4,0
S74,20180510,,,,5.4,0
S74,20180509,5.3,5.4,5.3,5.4,18800
S74,20180508,,,,5.4,0
S74,20180507,,,,5.4,0
S74,20180504,,,,5.4,0
S74,20180503,,,,5.4,0
S74,20180502,,,,5.4,0
S74,20180427,,,,5.4,0
S74,20180426,,,,5.4,0
S74,20180424,,,,5.4,0
S74,20180423,5.4,5.4,5.4,5.4,20300
S74,20180420,,,,5.3,0
S74,20180419,,,,5.3,0
S74,20180418,,,,5.3,0
S74,20180417,,,,5.3,0
S74,20180416,,,,5.3,0
S74,20180413,,,,5.3,0
S74,20180412,,,,5.3,0
S74,20180411,,,,5.3,0
S74,20180410,,,,5.3,0
S74,20180409,,,,5.3,0
S74,20180406,,,,5.3,0
S74,20180405,,,,5.3,0
S74,20180404,,,,5.3,0
