<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SBA,20180713,14.75,14.8,14.75,14.8,400
SBA,20180712,14.75,15,14.75,14.75,1970
SBA,20180711,14.75,14.75,14.75,14.75,10
SBA,20180710,14.85,14.85,14.7,14.8,10690
SBA,20180709,14.75,14.8,14.75,14.8,11570
SBA,20180706,14.7,14.8,14.7,14.8,36860
SBA,20180705,14.75,14.8,14.7,14.7,2570
SBA,20180704,14.65,14.8,14.6,14.65,41460
SBA,20180703,14.65,14.65,14.65,14.65,20
SBA,20180702,14.7,14.7,14.7,14.7,4250
SBA,20180629,14.6,14.8,14.6,14.8,8610
SBA,20180628,14.7,14.8,14.7,14.8,12010
SBA,20180627,,,,14.9,0
SBA,20180626,14.9,14.9,14.9,14.9,200
SBA,20180625,14.9,14.9,14.6,14.6,58700
SBA,20180622,14.8,14.8,14.65,14.8,8660
SBA,20180621,14.8,14.8,14.5,14.5,36000
SBA,20180620,14.5,14.8,14.5,14.8,38970
SBA,20180619,14.6,14.8,14.6,14.7,11350
SBA,20180618,14.8,14.8,14.7,14.7,18810
SBA,20180615,14.8,14.8,14.8,14.8,7200
SBA,20180614,14.8,14.8,14.8,14.8,15600
SBA,20180613,14.95,14.95,14.8,14.8,11530
SBA,20180612,14.8,14.95,14.8,14.8,50610
SBA,20180611,14.9,15,14.8,14.8,43830
SBA,20180608,14.9,14.9,14.9,14.9,126520
SBA,20180607,14.9,14.95,14.85,14.85,5270
SBA,20180606,14.95,14.95,14.8,14.85,26530
SBA,20180605,14.95,14.95,14.8,14.8,14270
SBA,20180604,14.7,14.95,14.7,14.95,21750
SBA,20180601,14.8,14.8,14.7,14.8,15040
SBA,20180531,15,15,14.7,14.8,8250
SBA,20180530,14.9,14.9,14.8,14.85,18030
SBA,20180529,14.8,15,14.5,14.8,31070
SBA,20180528,14.9,14.9,14.8,14.8,31310
SBA,20180525,14.9,15,14.7,14.8,54550
SBA,20180524,15,15.05,14.9,14.9,47240
SBA,20180523,15.2,15.2,15,15.1,71750
SBA,20180522,15.2,15.25,15.1,15.2,28030
SBA,20180521,15,15.2,14.8,15.1,181410
SBA,20180518,15.2,15.25,15.1,15.25,80
SBA,20180517,15.4,15.4,15,15,8700
SBA,20180516,15.1,15.2,15,15.1,204980
SBA,20180515,15.25,15.25,15.2,15.2,42600
SBA,20180514,15.3,15.4,15.2,15.25,261110
SBA,20180511,15.25,15.25,15.2,15.2,81420
SBA,20180510,15.2,15.3,15.2,15.2,9520
SBA,20180509,15.2,15.25,15.15,15.2,5650
SBA,20180508,15.2,15.25,15.2,15.2,11400
SBA,20180507,15.25,15.25,15.2,15.2,16080
SBA,20180504,15.25,15.25,15.1,15.1,20140
SBA,20180503,15.1,15.25,15.1,15.25,4390
SBA,20180502,15.1,15.25,15.1,15.2,13180
SBA,20180427,15.2,15.2,15.15,15.2,12610
SBA,20180426,15.35,15.35,15,15.25,15550
SBA,20180424,15,15.4,14.7,15.2,22880
SBA,20180423,15,15.05,14.9,14.9,39990
SBA,20180420,15.05,15.05,15,15,20620
SBA,20180419,15,15,15,15,47760
SBA,20180418,15.09,15.09,14.99,15,3080
SBA,20180417,15.1,15.1,15,15.09,4680
SBA,20180416,15.09,15.14,14.99,15,36400
SBA,20180413,14.9,15.09,14.9,15.09,55200
SBA,20180412,14.99,15.09,14.75,15.09,22520
SBA,20180411,15.19,15.19,14.99,15.04,50660
SBA,20180410,14.95,15.09,14.9,15.09,53560
SBA,20180409,14.9,15.09,14.9,14.95,81510
SBA,20180406,14.75,15.09,14.7,15.09,44180
SBA,20180405,14.62,14.81,14.52,14.8,24220
SBA,20180404,14.51,14.61,14.47,14.52,93880
SBA,20180403,14.61,14.9,14.47,14.61,26150
SBA,20180402,14.61,14.75,14.61,14.71,28050
SBA,20180330,14.42,14.71,14.42,14.61,26900
SBA,20180329,14.9,14.9,14.61,14.61,32070
SBA,20180328,14.8,14.8,14.8,14.8,6100
SBA,20180327,15,15,14.71,14.8,18120
SBA,20180326,15,15,14.67,15,2550
SBA,20180323,15,15,15,15,6750
SBA,20180322,14.99,14.99,14.99,15,5840
SBA,20180321,15.09,15.09,14.99,15.09,59220
SBA,20180320,15,15.09,15,15.09,29210
SBA,20180319,15.09,15.18,15.09,15.19,54230
SBA,20180316,15.19,15.19,15,15.04,45560
SBA,20180315,15.28,15.28,15.14,15.19,23170
SBA,20180314,15.19,15.29,15.09,15.28,105040
SBA,20180313,15.19,15.19,14.14,15.19,21350
SBA,20180312,15.19,15.19,15.09,15.19,11850
SBA,20180309,15.09,15.19,15.09,15.19,43740
SBA,20180308,15.24,15.24,15.09,15.19,8150
SBA,20180307,15.24,15.24,15.14,15.14,41740
SBA,20180306,15.14,15.14,15.09,15.14,13970
SBA,20180305,15.14,15.19,15.09,15.14,18860
SBA,20180302,14.99,15.28,14.95,15.14,7570
SBA,20180301,15.09,15.43,15.09,15.28,5140
SBA,20180228,15.47,15.47,15.18,15.19,22670
SBA,20180227,15.14,15.47,15.14,15.47,49440
SBA,20180226,15.28,15.47,15.18,15.28,21360
SBA,20180223,15.37,15.47,15.37,15.47,3480
SBA,20180222,15.38,15.76,15.38,15.47,20910
SBA,20180221,16.14,16.14,15.47,15.76,11120
