<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SCI,20180713,7.4,7.4,7.1,7.1,200
SCI,20180712,,,,7.8,0
SCI,20180711,,,,7.8,0
SCI,20180710,,,,7.8,0
SCI,20180709,7.8,7.8,7.8,7.8,100
SCI,20180706,,,,7.4,0
SCI,20180705,,,,7.4,0
SCI,20180704,,,,7.4,0
SCI,20180703,,,,7.4,0
SCI,20180702,,,,7.4,0
SCI,20180629,,,,7.4,0
SCI,20180628,6.8,7.4,6.8,7.4,200
SCI,20180627,6.6,6.8,6.6,6.8,300
SCI,20180626,,,,7.3,0
SCI,20180625,,,,7.3,0
SCI,20180622,,,,7.3,0
SCI,20180621,,,,7.3,0
SCI,20180620,,,,7.3,0
SCI,20180619,7.3,7.3,7.3,7.3,100
SCI,20180618,,,,6.7,0
SCI,20180615,,,,6.7,0
SCI,20180614,6.6,6.7,6.6,6.7,1000
SCI,20180613,,,,6.1,0
SCI,20180612,,,,6.1,0
SCI,20180611,6,6.1,6,6.1,1600
SCI,20180608,7.2,7.2,6,6,300
SCI,20180607,6.6,6.6,6.6,6.6,700
SCI,20180606,7.3,7.3,7.3,7.3,100
SCI,20180605,,,,6.9,0
SCI,20180604,6.9,6.9,6.9,6.9,120
SCI,20180601,5.3,6.3,5.3,6.3,3600
SCI,20180531,4.8,5.8,4.8,5.8,200
SCI,20180530,4.5,5.3,4.5,5.3,200
SCI,20180529,4.9,4.9,4.1,4.9,900
SCI,20180528,,,,4.5,0
SCI,20180525,,,,4.5,0
SCI,20180524,4.5,4.5,4.5,4.5,100
SCI,20180523,5,5,5,5,200
SCI,20180522,,,,5.4,0
SCI,20180521,,,,5.4,0
SCI,20180518,,,,5.4,0
SCI,20180517,,,,5.4,0
SCI,20180516,,,,5.4,0
SCI,20180515,,,,5.4,0
SCI,20180514,5.4,5.4,5.4,5.4,164
SCI,20180511,5,6,5,6,220
SCI,20180510,5.5,5.5,5.5,5.5,100
SCI,20180509,5.7,5.7,5.7,5.7,100
SCI,20180508,6.3,6.3,6.3,6.3,100
SCI,20180507,7,7,7,7,700
SCI,20180504,7.7,7.7,7.7,7.7,764
SCI,20180503,,,,8.5,0
SCI,20180502,,,,8.5,0
SCI,20180427,,,,8.5,0
SCI,20180426,,,,8.5,0
SCI,20180424,8.5,8.5,8.5,8.5,100
SCI,20180423,,,,8.2,0
SCI,20180420,,,,8.2,0
SCI,20180419,,,,8.2,0
SCI,20180418,7.4,8.4,7.4,8.2,2600
SCI,20180417,,,,8.2,0
SCI,20180416,,,,8.2,0
SCI,20180413,8.3,8.3,7.2,8.2,800
SCI,20180412,7.9,7.9,7.9,7.9,100
SCI,20180411,,,,8.7,0
SCI,20180410,,,,8.7,0
SCI,20180409,,,,8.7,0
SCI,20180406,7.7,8.7,7.7,8.7,200
SCI,20180405,7.8,8.5,7.8,8.5,200
SCI,20180404,8.6,8.6,8.6,8.6,100
SCI,20180403,6.5,7.9,6.5,7.9,220
SCI,20180402,6,7.2,6,7.2,200
SCI,20180330,5.4,6.6,5.4,6.6,200
SCI,20180329,6,6,6,6,100
SCI,20180328,6.6,6.6,6.6,6.6,100
SCI,20180327,7.3,7.3,7.3,7.3,100
SCI,20180326,8.1,8.1,8.1,8.1,2200
SCI,20180323,,,,9,0
SCI,20180322,,,,9,0
SCI,20180321,,,,9,0
SCI,20180320,,,,9,0
SCI,20180319,,,,9,0
SCI,20180316,,,,9,0
SCI,20180315,,,,9,0
SCI,20180314,,,,9,0
SCI,20180313,,,,9,0
SCI,20180312,,,,9,0
SCI,20180309,,,,9,0
SCI,20180308,,,,9,0
SCI,20180307,,,,9,0
SCI,20180306,,,,9,0
SCI,20180305,,,,9,0
SCI,20180302,,,,9,0
SCI,20180301,,,,9,0
