<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SDG,20180713,,,,31,0
SDG,20180712,,,,31,0
SDG,20180711,,,,31,0
SDG,20180710,,,,31,0
SDG,20180709,,,,31,0
SDG,20180706,,,,31,0
SDG,20180705,,,,31,0
SDG,20180704,,,,31,0
SDG,20180703,,,,31,0
SDG,20180702,,,,31,0
SDG,20180629,,,,31,0
SDG,20180628,,,,31,0
SDG,20180627,,,,31,0
SDG,20180626,,,,31,0
SDG,20180625,,,,31,0
SDG,20180622,,,,31,0
SDG,20180621,,,,31,0
SDG,20180620,,,,31,0
SDG,20180619,,,,31,0
SDG,20180618,,,,31,0
SDG,20180615,,,,31,0
SDG,20180614,,,,31,0
SDG,20180613,,,,31,0
SDG,20180612,,,,31,0
SDG,20180611,,,,31,0
SDG,20180608,,,,31,0
SDG,20180607,,,,31,0
SDG,20180606,,,,31,0
SDG,20180605,,,,31,0
SDG,20180604,,,,31,0
SDG,20180601,,,,31,0
SDG,20180531,,,,31,0
SDG,20180530,,,,31,0
SDG,20180529,,,,31,0
SDG,20180528,,,,31,0
SDG,20180525,,,,31,0
SDG,20180524,31,31,31,31,600
SDG,20180523,,,,34,0
SDG,20180522,,,,34,0
SDG,20180521,34,34,34,34,1800
SDG,20180518,31,31,31,31,1100
SDG,20180517,30.8,30.8,30.8,30.8,7500
SDG,20180516,,,,28,0
SDG,20180515,28.7,28.7,23.5,28,303200
SDG,20180514,31.9,31.9,26.1,26.1,325500
SDG,20180511,,,,29,0
SDG,20180510,,,,29,0
SDG,20180509,,,,29,0
SDG,20180508,,,,29,0
SDG,20180507,,,,29,0
SDG,20180504,,,,29,0
SDG,20180503,,,,29,0
SDG,20180502,,,,29,0
SDG,20180427,23.85,29,23.85,29,2900
SDG,20180426,26.47,26.47,26.47,26.47,300
SDG,20180424,29.37,29.37,29.37,29.37,200
SDG,20180423,29.75,32.56,29.75,32.55,910
SDG,20180420,32.92,32.92,32.92,32.93,640100
SDG,20180419,32.09,32.09,29.19,29.93,2500
SDG,20180418,29.19,29.19,29.19,29.19,1100
SDG,20180417,26.57,26.57,26.57,26.57,200
SDG,20180416,24.23,24.23,24.23,24.23,400
SDG,20180413,22.07,22.07,21.98,22.08,4800
SDG,20180412,20.11,20.11,20.11,20.11,290400
SDG,20180411,18.33,18.33,18.33,18.33,100
SDG,20180410,16.75,16.75,16.75,16.74,7400
SDG,20180409,15.25,15.25,15.25,15.25,100
