<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SDN,20180713,,,,32,0
SDN,20180712,,,,32,0
SDN,20180711,,,,32,0
SDN,20180710,,,,32,0
SDN,20180709,,,,32,0
SDN,20180706,32,32,32,32,100
SDN,20180705,,,,30.3,0
SDN,20180704,,,,30.3,0
SDN,20180703,,,,30.3,0
SDN,20180702,,,,30.3,0
SDN,20180629,,,,30.3,0
SDN,20180628,,,,30.3,0
SDN,20180627,,,,30.3,0
SDN,20180626,,,,30.3,0
SDN,20180625,,,,30.3,0
SDN,20180622,,,,30.3,0
SDN,20180621,,,,30.3,0
SDN,20180620,,,,30.3,0
SDN,20180619,,,,30.3,0
SDN,20180618,,,,30.3,0
SDN,20180615,,,,30.3,0
SDN,20180614,,,,30.3,0
SDN,20180613,,,,30.3,0
SDN,20180612,,,,30.3,0
SDN,20180611,,,,30.3,0
SDN,20180608,,,,30.3,0
SDN,20180607,,,,30.3,0
SDN,20180606,,,,30.3,0
SDN,20180605,,,,30.3,0
SDN,20180604,32,32,30.3,30.3,2700
SDN,20180601,,,,30.3,0
SDN,20180531,,,,30.3,0
SDN,20180530,,,,30.3,0
SDN,20180529,,,,30.3,0
SDN,20180528,,,,30.3,0
SDN,20180525,,,,30.3,0
SDN,20180524,30.3,30.3,30.3,30.3,130
SDN,20180523,,,,31.25,0
SDN,20180522,,,,31.25,0
SDN,20180521,31.25,31.25,31.25,31.25,49
SDN,20180518,,,,31.25,0
SDN,20180517,,,,31.25,0
SDN,20180516,,,,31.25,0
SDN,20180515,,,,31.25,0
SDN,20180514,,,,31.25,0
SDN,20180511,,,,31.25,0
SDN,20180510,,,,31.25,0
SDN,20180509,,,,31.25,0
SDN,20180508,,,,31.25,0
SDN,20180507,,,,31.25,0
SDN,20180504,,,,31.25,0
SDN,20180503,31.25,31.25,31.25,31.25,8
SDN,20180502,,,,31.25,0
SDN,20180427,,,,31.25,0
SDN,20180426,,,,31.25,0
SDN,20180424,,,,31.25,0
SDN,20180423,,,,31.25,0
SDN,20180420,,,,31.25,0
SDN,20180419,31.25,31.25,31.25,31.25,300
SDN,20180418,,,,31.25,0
SDN,20180417,31.25,31.25,31.25,31.25,7
SDN,20180416,,,,31.25,0
SDN,20180413,,,,31.25,0
SDN,20180412,,,,31.25,0
SDN,20180411,31.25,31.25,31.25,31.25,200
SDN,20180410,,,,32.67,0
SDN,20180409,,,,32.67,0
SDN,20180406,32.67,32.67,32.67,32.67,8
SDN,20180405,,,,32.67,0
SDN,20180404,,,,32.67,0
SDN,20180403,,,,32.67,0
SDN,20180402,,,,32.67,0
SDN,20180330,32.66,32.66,32.66,32.67,100
SDN,20180329,,,,32.38,0
SDN,20180328,,,,32.38,0
SDN,20180327,,,,32.38,0
SDN,20180326,32.19,32.38,32.19,32.38,13400
SDN,20180323,,,,33.14,0
SDN,20180322,,,,33.14,0
SDN,20180321,,,,33.14,0
SDN,20180320,,,,33.14,0
SDN,20180319,,,,33.14,0
SDN,20180316,,,,33.14,0
SDN,20180315,,,,33.14,0
SDN,20180314,,,,33.14,0
SDN,20180313,33.14,33.14,33.14,33.14,12
SDN,20180312,,,,33.14,0
SDN,20180309,,,,33.14,0
SDN,20180308,,,,33.14,0
SDN,20180307,,,,33.14,0
SDN,20180306,33.14,33.14,33.14,33.14,33
SDN,20180305,,,,33.14,0
SDN,20180302,,,,33.14,0
SDN,20180301,,,,33.14,0
SDN,20180228,,,,33.14,0
SDN,20180227,,,,33.14,0
SDN,20180226,,,,33.14,0
SDN,20180223,,,,33.14,0
SDN,20180222,,,,33.14,0
SDN,20180221,,,,33.14,0
SDN,20180213,,,,33.14,0
SDN,20180212,,,,33.14,0
SDN,20180209,,,,33.14,0
SDN,20180208,,,,33.14,0
SDN,20180207,,,,33.14,0
SDN,20180206,,,,33.14,0
SDN,20180205,,,,33.14,0
SDN,20180202,,,,33.14,0
SDN,20180201,,,,33.14,0
SDN,20180131,,,,33.14,0
SDN,20180130,,,,33.14,0
SDN,20180129,,,,33.14,0
SDN,20180126,33.14,33.14,33.14,33.14,400
SDN,20180125,33.14,33.14,33.14,33.14,100
SDN,20180122,33.14,33.14,33.14,33.14,600
SDN,20180119,,,,32.38,0
SDN,20180118,32.38,32.38,32.38,32.38,99
SDN,20180117,,,,32.38,0
SDN,20180116,,,,32.38,0
SDN,20180115,32.38,32.38,32.38,32.38,1
SDN,20180112,,,,32.38,0
SDN,20180111,,,,32.38,0
SDN,20180110,,,,32.38,0
SDN,20180109,,,,32.38,0
SDN,20180108,,,,32.38,0
SDN,20180105,,,,32.38,0
SDN,20180104,,,,32.38,0
SDN,20180103,32.38,32.38,32.38,32.38,300
SDN,20180102,34.23,34.23,34.23,34.23,10
SDN,20171229,,,,34.23,0
SDN,20171228,,,,34.23,0
SDN,20171227,,,,34.23,0
SDN,20171226,,,,34.23,0
SDN,20171225,,,,34.23,0
SDN,20171222,35.16,35.16,34.24,34.23,400
SDN,20171221,,,,34.05,0
SDN,20171220,,,,34.05,0
SDN,20171219,,,,34.05,0
SDN,20171218,34.05,34.05,34.05,34.05,4000
SDN,20171215,,,,33.31,0
SDN,20171214,32.85,33.31,32.85,33.31,7500
SDN,20171213,,,,31.46,0
SDN,20171212,,,,31.46,0
SDN,20171211,31.46,31.46,31.46,31.46,1000
SDN,20171208,31.46,31.46,31.46,31.46,518
SDN,20171207,31.46,31.46,31.46,31.46,2000
SDN,20171206,,,,31.46,0
SDN,20171205,31.46,31.46,31.46,31.46,10
SDN,20171204,,,,31.46,0
SDN,20171201,,,,31.46,0
SDN,20171130,,,,31.46,0
SDN,20171129,,,,31.46,0
SDN,20171128,,,,31.46,0
SDN,20171127,,,,31.46,0
SDN,20171124,,,,31.46,0
SDN,20171123,,,,31.46,0
SDN,20171122,,,,31.46,0
SDN,20171121,31.46,31.46,31.46,31.46,500
SDN,20171120,31.46,31.46,31.46,31.46,6000
SDN,20171117,31.46,31.46,31.46,31.46,11000
SDN,20171116,,,,31.46,0
SDN,20171115,,,,31.46,0
SDN,20171114,31.46,31.46,31.46,31.46,2600
SDN,20171113,,,,31.46,0
SDN,20171110,,,,31.46,0
SDN,20171109,,,,31.46,0
SDN,20171108,,,,31.46,0
SDN,20171107,,,,31.46,0
SDN,20171106,31.46,31.46,31.46,31.46,55
SDN,20171103,,,,31.46,0
SDN,20171102,,,,31.46,0
SDN,20171101,,,,31.46,0
SDN,20171031,31.46,31.46,31.46,31.46,30
SDN,20171030,,,,31.46,0
SDN,20171027,,,,31.46,0
SDN,20171026,31.46,31.46,31.46,31.46,30
SDN,20171025,,,,31.46,0
SDN,20171024,,,,31.46,0
SDN,20171023,31.46,31.46,31.46,31.46,20
SDN,20171020,31.46,31.46,31.46,31.46,10
SDN,20171019,31.46,31.46,31.46,31.46,20
SDN,20171018,31.46,31.46,31.46,31.46,20
SDN,20171017,,,,31.46,0
SDN,20171016,31.46,31.46,31.46,31.46,10
SDN,20171013,31.45,31.45,31.45,31.46,1500
SDN,20171012,,,,34.23,0
SDN,20171011,,,,34.23,0
SDN,20171010,,,,34.23,0
SDN,20171009,,,,34.23,0
SDN,20171006,,,,34.23,0
SDN,20171005,,,,34.23,0
SDN,20171004,34.23,34.23,34.23,34.23,10
SDN,20171003,,,,34.23,0
SDN,20171002,34.23,34.23,34.23,34.23,200
SDN,20170929,,,,34.23,0
