<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SDU,20180713,,,,9.8,0
SDU,20180712,,,,9.8,0
SDU,20180711,,,,9.8,0
SDU,20180710,,,,9.8,0
SDU,20180709,,,,9.8,0
SDU,20180706,,,,9.8,0
SDU,20180705,,,,9.8,0
SDU,20180704,,,,9.8,0
SDU,20180703,,,,9.8,0
SDU,20180702,,,,9.8,0
SDU,20180629,,,,9.8,0
SDU,20180628,,,,9.8,0
SDU,20180627,,,,9.8,0
SDU,20180626,9.8,9.8,9.8,9.8,100
SDU,20180625,9,9,9,9,100
SDU,20180622,10,10,10,10,100
SDU,20180621,9.2,9.2,9.2,9.2,300
SDU,20180620,,,,10.2,0
SDU,20180619,,,,10.2,0
SDU,20180618,,,,10.2,0
SDU,20180615,,,,10.2,0
SDU,20180614,,,,10.2,0
SDU,20180613,,,,10.2,0
SDU,20180612,,,,10.2,0
SDU,20180611,,,,10.2,0
SDU,20180608,,,,10.2,0
SDU,20180607,10.2,10.2,10.2,10.2,60000
SDU,20180606,10.3,10.3,10.3,10.3,100
SDU,20180605,,,,9.4,0
SDU,20180604,,,,9.4,0
SDU,20180601,,,,9.4,0
SDU,20180531,9.4,9.4,9.4,9.4,100
SDU,20180530,,,,10.4,0
SDU,20180529,,,,10.4,0
SDU,20180528,10.4,10.4,10.4,10.4,15000
SDU,20180525,,,,10.9,0
SDU,20180524,,,,10.9,0
SDU,20180523,11,11.4,10.9,10.9,48700
SDU,20180522,10.5,10.5,10.5,10.5,100
SDU,20180521,,,,11.6,0
SDU,20180518,11.7,11.7,11.6,11.6,40000
SDU,20180517,10.9,11.9,10.9,11.9,2600
SDU,20180516,10.1,10.9,10.1,10.9,3600
SDU,20180515,10.5,10.9,10.5,10.9,5000
SDU,20180514,10.5,10.5,10.5,10.5,100
SDU,20180511,11.5,11.5,9.6,9.6,300
SDU,20180510,,,,10.5,0
SDU,20180509,10.5,10.5,10.5,10.5,100
SDU,20180508,11.5,11.5,9.6,9.6,300
SDU,20180507,11.8,11.8,10.5,10.5,500
SDU,20180504,,,,10.8,0
SDU,20180503,,,,10.8,0
SDU,20180502,,,,10.8,0
SDU,20180427,,,,10.8,0
SDU,20180426,,,,10.8,0
SDU,20180424,,,,10.8,0
SDU,20180423,,,,10.8,0
SDU,20180420,10.8,10.8,10.8,10.8,100
SDU,20180419,9.9,9.9,9.9,9.9,400
SDU,20180418,,,,11,0
SDU,20180417,,,,11,0
SDU,20180416,11.5,11.5,11,11,700
SDU,20180413,11.5,11.5,11.5,11.5,100
SDU,20180412,,,,10.5,0
SDU,20180411,10.5,10.5,10.5,10.5,100
SDU,20180410,,,,11.2,0
SDU,20180409,11.2,11.2,11.2,11.2,400
SDU,20180406,11.2,11.2,11.2,11.2,400
SDU,20180405,11.5,11.5,11.4,11.4,2100
SDU,20180404,11.7,11.7,11.6,11.6,300
SDU,20180403,12.8,12.8,12.8,12.8,300
SDU,20180402,,,,12.8,0
SDU,20180330,,,,12.8,0
SDU,20180329,12.8,12.8,12.8,12.8,11400
SDU,20180328,11.9,13.1,11.9,12.9,10900
SDU,20180327,11.5,12.6,11.5,12,6500
SDU,20180326,11.4,11.5,11.4,11.5,4500
SDU,20180323,11.5,11.5,11.5,11.5,5500
SDU,20180322,11.5,11.5,11.5,11.5,1000
SDU,20180321,11.5,11.5,11.5,11.5,100
SDU,20180320,10.5,10.5,10.5,10.5,200
SDU,20180319,11.7,11.7,11.6,11.6,200
SDU,20180316,,,,11.7,0
SDU,20180315,,,,11.7,0
SDU,20180314,11.6,11.7,11.6,11.7,900
SDU,20180313,11.7,11.7,11.7,11.7,23500
SDU,20180312,11.3,11.3,11.3,11.3,100
SDU,20180309,12.5,12.5,12.5,12.5,22100
SDU,20180308,,,,11.6,0
SDU,20180307,11.6,11.6,11.6,11.6,16000
SDU,20180306,11.7,11.7,11.7,11.7,14000
SDU,20180305,11.9,11.9,11.9,11.9,17000
SDU,20180302,11.8,12.1,11.8,12.1,21400
SDU,20180301,,,,12.8,0
SDU,20180228,,,,12.8,0
SDU,20180227,,,,12.8,0
SDU,20180226,,,,12.8,0
SDU,20180223,,,,12.8,0
SDU,20180222,,,,12.8,0
SDU,20180221,12.8,12.8,12.8,12.8,100
SDU,20180213,,,,11.7,0
SDU,20180212,11.7,11.7,11.7,11.7,14000
SDU,20180209,11.8,11.8,11.8,11.8,20000
SDU,20180208,11.9,11.9,11.9,11.9,5000
SDU,20180207,11.5,12,11.5,12,20000
SDU,20180206,12.7,12.8,11.7,11.7,3600
SDU,20180205,,,,13,0
SDU,20180202,,,,13,0
SDU,20180201,,,,13,0
SDU,20180131,,,,13,0
SDU,20180130,,,,13,0
SDU,20180129,,,,13,0
SDU,20180126,13,13,13,13,1500
SDU,20180125,13.2,13.2,13.2,13.2,100
SDU,20180122,12.2,12.2,12,12,700
SDU,20180119,11,12.1,11,12.1,800
SDU,20180118,11,11,11,11,100
SDU,20180117,10,10,10,10,500
SDU,20180116,10.6,10.6,10,10,2500
SDU,20180115,10,10.6,10,10.6,8700
SDU,20180112,10,10,10,10,200
SDU,20180111,11.6,11.6,10.9,10.9,8100
SDU,20180110,11.8,11.8,11,11,7900
SDU,20180109,11,11.8,11,11.8,4100
SDU,20180108,12,12,12,12,6000
SDU,20180105,12.2,12.2,12.2,12.2,100
SDU,20180104,11.5,11.5,11.1,11.1,1300
SDU,20180103,12.3,12.3,12.3,12.3,94000
SDU,20180102,,,,12.4,0
SDU,20171229,12.4,12.4,12.4,12.4,92000
SDU,20171228,,,,12.7,0
SDU,20171227,12.9,12.9,12.7,12.7,93300
SDU,20171226,,,,12.9,0
SDU,20171225,13,13,12.9,12.9,89000
SDU,20171222,,,,13.6,0
SDU,20171221,,,,13.6,0
SDU,20171220,,,,13.6,0
SDU,20171219,,,,13.6,0
SDU,20171218,,,,13.6,0
SDU,20171215,,,,13.6,0
SDU,20171214,,,,13.6,0
SDU,20171213,,,,13.6,0
SDU,20171212,,,,13.6,0
SDU,20171211,,,,13.6,0
SDU,20171208,13.6,13.6,13.6,13.6,1000
SDU,20171207,13.6,13.6,13.6,13.6,2900
SDU,20171206,12.4,12.4,12.4,12.4,100
SDU,20171205,11.3,11.3,11.3,11.3,1400
SDU,20171204,13.4,13.4,11.1,11.1,15100
SDU,20171201,14.8,14.8,12.3,12.3,89600
SDU,20171130,,,,13.5,0
SDU,20171129,15.6,15.6,13.5,13.5,85200
SDU,20171128,,,,14.2,0
SDU,20171127,16.5,16.5,14.2,14.2,81100
SDU,20171124,15,15,15,15,500
SDU,20171123,15.5,15.5,14.5,15,71100
SDU,20171122,17,17,16,16,27000
SDU,20171121,18,18,17.5,17.5,11000
SDU,20171120,21.3,21.3,17.6,18,21100
SDU,20171117,21.1,21.1,19.5,19.5,6100
SDU,20171116,21.1,21.1,21.1,21.1,5500
SDU,20171115,23.4,23.4,23.4,23.4,5000
SDU,20171114,25.9,25.9,25.9,25.9,3700
SDU,20171113,,,,28.7,0
SDU,20171110,,,,28.7,0
SDU,20171109,,,,28.7,0
SDU,20171108,28.7,28.7,28.7,28.7,100
SDU,20171107,31.8,31.8,31.8,31.8,100
SDU,20171106,,,,35.3,0
SDU,20171103,,,,35.3,0
SDU,20171102,,,,35.3,0
SDU,20171101,,,,35.3,0
SDU,20171031,,,,35.3,0
SDU,20171030,,,,35.3,0
SDU,20171027,,,,35.3,0
SDU,20171026,,,,35.3,0
SDU,20171025,,,,35.3,0
SDU,20171024,,,,35.3,0
SDU,20171023,,,,35.3,0
SDU,20171020,,,,35.3,0
SDU,20171019,,,,35.3,0
SDU,20171018,,,,35.3,0
SDU,20171017,,,,35.3,0
SDU,20171016,,,,35.3,0
SDU,20171013,,,,35.3,0
SDU,20171012,,,,35.3,0
SDU,20171011,,,,35.3,0
SDU,20171010,,,,35.3,0
SDU,20171009,,,,35.3,0
SDU,20171006,,,,35.3,0
SDU,20171005,,,,35.3,0
SDU,20171004,,,,35.3,0
SDU,20171003,,,,35.3,0
SDU,20171002,,,,35.3,0
SDU,20170929,,,,35.3,0
SDU,20170928,35.3,35.3,35.3,35.3,100
SDU,20170927,,,,32.1,0
SDU,20170926,32.1,32.1,32.1,32.1,100
SDU,20170925,,,,29.2,0
SDU,20170922,,,,29.2,0
SDU,20170921,,,,29.2,0
SDU,20170920,,,,29.2,0
SDU,20170919,,,,29.2,0
SDU,20170918,,,,29.2,0
SDU,20170915,,,,29.2,0
SDU,20170914,,,,29.2,0
SDU,20170913,,,,29.2,0
SDU,20170912,,,,29.2,0
SDU,20170911,,,,29.2,0
SDU,20170908,,,,29.2,0
SDU,20170907,,,,29.2,0
SDU,20170906,,,,29.2,0
SDU,20170905,,,,29.2,0
SDU,20170901,,,,29.2,0
SDU,20170831,,,,29.2,0
SDU,20170830,,,,29.2,0
SDU,20170829,,,,29.2,0
SDU,20170828,,,,29.2,0
SDU,20170825,,,,29.2,0
SDU,20170824,,,,29.2,0
SDU,20170823,,,,29.2,0
SDU,20170822,,,,29.2,0
SDU,20170821,29.2,29.2,29.2,29.2,100
