<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SDY,20180713,,,,7.5,0
SDY,20180712,,,,7.5,0
SDY,20180711,,,,7.5,0
SDY,20180710,,,,7.5,0
SDY,20180709,,,,7.5,0
SDY,20180706,,,,7.5,0
SDY,20180705,,,,7.5,0
SDY,20180704,,,,7.5,0
SDY,20180703,,,,7.5,0
SDY,20180702,,,,7.5,0
SDY,20180629,,,,7.5,0
SDY,20180628,,,,7.5,0
SDY,20180627,,,,7.5,0
SDY,20180626,,,,7.5,0
SDY,20180625,,,,7.5,0
SDY,20180622,,,,7.5,0
SDY,20180621,,,,7.5,0
SDY,20180620,,,,7.5,0
SDY,20180619,,,,7.5,0
SDY,20180618,,,,7.5,0
SDY,20180615,,,,7.5,0
SDY,20180614,,,,7.5,0
SDY,20180613,,,,7.5,0
SDY,20180612,,,,7.5,0
SDY,20180611,,,,7.5,0
SDY,20180608,,,,7.5,0
SDY,20180607,,,,7.5,0
SDY,20180606,,,,7.5,0
SDY,20180605,,,,7.5,0
SDY,20180604,,,,7.5,0
SDY,20180601,,,,7.5,0
SDY,20180531,,,,7.5,0
SDY,20180530,,,,7.5,0
SDY,20180529,,,,7.5,0
SDY,20180528,,,,7.5,0
SDY,20180525,,,,7.5,0
SDY,20180524,,,,7.5,0
SDY,20180523,,,,7.5,0
SDY,20180522,,,,7.5,0
SDY,20180521,,,,7.5,0
SDY,20180518,,,,7.5,0
SDY,20180517,,,,7.5,0
SDY,20180516,,,,7.5,0
SDY,20180515,,,,7.5,0
SDY,20180514,,,,7.5,0
SDY,20180511,,,,7.5,0
SDY,20180510,,,,7.5,0
SDY,20180509,,,,7.5,0
SDY,20180508,,,,7.5,0
SDY,20180507,,,,7.5,0
SDY,20180504,,,,7.5,0
SDY,20180503,,,,7.5,0
SDY,20180502,,,,7.5,0
SDY,20180427,,,,7.5,0
SDY,20180426,,,,7.5,0
SDY,20180424,,,,7.5,0
SDY,20180423,,,,7.5,0
SDY,20180420,,,,7.5,0
SDY,20180419,,,,7.5,0
SDY,20180418,,,,7.5,0
SDY,20180417,,,,7.5,0
SDY,20180416,,,,7.5,0
SDY,20180413,,,,7.5,0
SDY,20180412,,,,7.5,0
SDY,20180411,,,,7.5,0
SDY,20180410,,,,7.5,0
SDY,20180409,,,,7.5,0
SDY,20180406,,,,7.5,0
SDY,20180405,,,,7.5,0
SDY,20180404,,,,7.5,0
SDY,20180403,,,,7.5,0
SDY,20180402,,,,7.5,0
SDY,20180330,,,,7.5,0
SDY,20180329,,,,7.5,0
SDY,20180328,,,,7.5,0
SDY,20180327,,,,7.5,0
SDY,20180326,,,,7.5,0
SDY,20180323,,,,7.5,0
SDY,20180322,,,,7.5,0
SDY,20180321,,,,7.5,0
SDY,20180320,,,,7.5,0
SDY,20180319,,,,7.5,0
SDY,20180316,,,,7.5,0
SDY,20180315,,,,7.5,0
SDY,20180314,,,,7.5,0
SDY,20180313,,,,7.5,0
SDY,20180312,,,,7.5,0
SDY,20180309,,,,7.5,0
SDY,20180308,,,,7.5,0
SDY,20180307,,,,7.5,0
SDY,20180306,,,,7.5,0
SDY,20180305,,,,7.5,0
SDY,20180302,,,,7.5,0
SDY,20180301,,,,7.5,0
SDY,20180228,,,,7.5,0
SDY,20180227,,,,7.5,0
SDY,20180226,,,,7.5,0
SDY,20180223,,,,7.5,0
SDY,20180222,,,,7.5,0
SDY,20180221,,,,7.5,0
SDY,20180213,,,,7.5,0
SDY,20180212,,,,7.5,0
SDY,20180209,,,,7.5,0
SDY,20180208,,,,7.5,0
SDY,20180207,,,,7.5,0
SDY,20180206,,,,7.5,0
SDY,20180205,,,,7.5,0
SDY,20180202,,,,7.5,0
SDY,20180201,,,,7.5,0
SDY,20180131,,,,7.5,0
SDY,20180130,,,,7.5,0
SDY,20180129,,,,7.5,0
SDY,20180126,,,,7.5,0
SDY,20180125,,,,7.5,0
SDY,20180122,7.5,7.5,7.5,7.5,1000
SDY,20180119,,,,7.2,0
SDY,20180118,,,,7.2,0
SDY,20180117,,,,7.2,0
SDY,20180116,,,,7.2,0
SDY,20180115,,,,7.2,0
SDY,20180112,,,,7.2,0
SDY,20180111,,,,7.2,0
SDY,20180110,,,,7.2,0
SDY,20180109,,,,7.2,0
SDY,20180108,,,,7.2,0
SDY,20180105,,,,7.2,0
SDY,20180104,,,,7.2,0
SDY,20180103,,,,7.2,0
SDY,20180102,,,,7.2,0
SDY,20171229,,,,7.2,0
SDY,20171228,,,,7.2,0
SDY,20171227,7.2,7.2,7.2,7.2,10000
SDY,20171226,6.7,6.7,6.7,6.7,50000
SDY,20171225,5.5,5.9,5.5,5.9,31500
SDY,20171222,,,,6,0
SDY,20171221,,,,6,0
SDY,20171220,,,,6,0
SDY,20171219,,,,6,0
SDY,20171218,,,,6,0
SDY,20171215,,,,6,0
SDY,20171214,,,,6,0
SDY,20171213,,,,6,0
SDY,20171212,,,,6,0
SDY,20171211,,,,6,0
SDY,20171208,,,,6,0
SDY,20171207,,,,6,0
SDY,20171206,,,,6,0
SDY,20171205,,,,6,0
SDY,20171204,,,,6,0
SDY,20171201,,,,6,0
SDY,20171130,,,,6,0
SDY,20171129,,,,6,0
SDY,20171128,,,,6,0
SDY,20171127,,,,6,0
SDY,20171124,,,,6,0
SDY,20171123,,,,6,0
SDY,20171122,,,,6,0
SDY,20171121,,,,6,0
SDY,20171120,,,,6,0
SDY,20171117,,,,6,0
SDY,20171116,,,,6,0
SDY,20171115,,,,6,0
SDY,20171114,,,,6,0
SDY,20171113,,,,6,0
SDY,20171110,,,,6,0
SDY,20171109,,,,6,0
SDY,20171108,,,,6,0
SDY,20171107,,,,6,0
SDY,20171106,,,,6,0
SDY,20171103,,,,6,0
SDY,20171102,,,,6,0
SDY,20171101,,,,6,0
SDY,20171031,,,,6,0
SDY,20171030,,,,6,0
SDY,20171027,,,,6,0
SDY,20171026,,,,6,0
SDY,20171025,,,,6,0
SDY,20171024,,,,6,0
SDY,20171023,,,,6,0
SDY,20171020,6,6,6,6,220000
SDY,20171019,6,6,3.9,3.9,210000
SDY,20171018,,,,6.5,0
SDY,20171017,,,,6.5,0
SDY,20171016,,,,6.5,0
SDY,20171013,,,,6.5,0
SDY,20171012,,,,6.5,0
SDY,20171011,,,,6.5,0
SDY,20171010,,,,6.5,0
SDY,20171009,,,,6.5,0
SDY,20171006,,,,6.5,0
SDY,20171005,,,,6.5,0
SDY,20171004,,,,6.5,0
SDY,20171003,,,,6.5,0
SDY,20171002,,,,6.5,0
SDY,20170929,,,,6.5,0
SDY,20170928,,,,6.5,0
SDY,20170927,,,,6.5,0
SDY,20170926,,,,6.5,0
SDY,20170925,,,,6.5,0
SDY,20170922,,,,6.5,0
SDY,20170921,,,,6.5,0
SDY,20170920,,,,6.5,0
SDY,20170919,,,,6.5,0
SDY,20170918,,,,6.5,0
SDY,20170915,,,,6.5,0
SDY,20170914,,,,6.5,0
SDY,20170913,,,,6.5,0
SDY,20170912,,,,6.5,0
SDY,20170911,,,,6.5,0
SDY,20170908,,,,6.5,0
SDY,20170907,,,,6.5,0
SDY,20170906,,,,6.5,0
SDY,20170905,,,,6.5,0
SDY,20170901,,,,6.5,0
SDY,20170831,,,,6.5,0
SDY,20170830,,,,6.5,0
SDY,20170829,,,,6.5,0
SDY,20170828,,,,6.5,0
SDY,20170825,,,,6.5,0
SDY,20170824,,,,6.5,0
SDY,20170823,,,,6.5,0
SDY,20170822,6.5,6.5,6.5,6.5,84000
SDY,20170821,,,,10,0
SDY,20170818,,,,10,0
SDY,20170817,,,,10,0
SDY,20170816,,,,10,0
SDY,20170815,,,,10,0
SDY,20170814,,,,10,0
SDY,20170811,,,,10,0
SDY,20170810,,,,10,0
SDY,20170809,,,,10,0
SDY,20170808,,,,10,0
SDY,20170807,,,,10,0
SDY,20170804,,,,10,0
SDY,20170803,,,,10,0
SDY,20170802,,,,10,0
SDY,20170801,,,,10,0
SDY,20170731,,,,10,0
SDY,20170728,,,,10,0
SDY,20170727,,,,10,0
SDY,20170726,,,,10,0
SDY,20170725,,,,10,0
SDY,20170724,,,,10,0
SDY,20170721,,,,10,0
SDY,20170720,,,,10,0
SDY,20170719,,,,10,0
SDY,20170718,,,,10,0
SDY,20170717,,,,10,0
SDY,20170714,,,,10,0
SDY,20170713,,,,10,0
SDY,20170712,,,,10,0
SDY,20170711,,,,10,0
SDY,20170710,,,,10,0
SDY,20170707,,,,10,0
SDY,20170706,,,,10,0
SDY,20170705,,,,10,0
SDY,20170704,,,,10,0
SDY,20170703,,,,10,0
SDY,20170630,,,,10,0
SDY,20170629,,,,10,0
SDY,20170628,,,,10,0
SDY,20170627,,,,10,0
SDY,20170626,,,,10,0
SDY,20170623,,,,10,0
SDY,20170622,,,,10,0
SDY,20170621,,,,10,0
SDY,20170620,,,,10,0
SDY,20170619,,,,10,0
SDY,20170616,,,,10,0
SDY,20170615,,,,10,0
SDY,20170614,,,,10,0
SDY,20170613,,,,10,0
SDY,20170612,,,,10,0
SDY,20170609,4.7,10,4.7,10,300
SDY,20170608,,,,7.7,0
SDY,20170607,,,,7.7,0
SDY,20170606,,,,7.7,0
SDY,20170605,,,,7.7,0
SDY,20170602,,,,7.7,0
SDY,20170601,,,,7.7,0
SDY,20170531,,,,7.7,0
SDY,20170530,,,,7.7,0
SDY,20170529,,,,7.7,0
SDY,20170526,,,,7.7,0
SDY,20170525,,,,7.7,0
SDY,20170524,,,,7.7,0
SDY,20170523,,,,7.7,0
SDY,20170522,,,,7.7,0
SDY,20170519,,,,7.7,0
SDY,20170518,,,,7.7,0
SDY,20170517,,,,7.7,0
SDY,20170516,,,,7.7,0
SDY,20170515,,,,7.7,0
SDY,20170512,,,,7.7,0
SDY,20170511,,,,7.7,0
SDY,20170510,,,,7.7,0
SDY,20170509,,,,7.7,0
SDY,20170508,,,,7.7,0
SDY,20170505,,,,7.7,0
SDY,20170504,,,,7.7,0
SDY,20170503,,,,7.7,0
SDY,20170428,,,,7.7,0
SDY,20170427,,,,7.7,0
SDY,20170426,,,,7.7,0
SDY,20170425,,,,7.7,0
SDY,20170424,,,,7.7,0
SDY,20170421,,,,7.7,0
SDY,20170420,,,,7.7,0
SDY,20170419,,,,7.7,0
SDY,20170418,,,,7.7,0
SDY,20170417,,,,7.7,0
SDY,20170414,,,,7.7,0
SDY,20170413,,,,7.7,0
SDY,20170412,,,,7.7,0
SDY,20170411,,,,7.7,0
SDY,20170410,,,,7.7,0
SDY,20170407,,,,7.7,0
SDY,20170405,,,,7.7,0
SDY,20170404,,,,7.7,0
SDY,20170403,,,,7.7,0
SDY,20170331,,,,7.7,0
SDY,20170330,,,,7.7,0
SDY,20170329,,,,7.7,0
SDY,20170328,6.5,7.9,6.5,7.7,245900
SDY,20170327,,,,7.2,0
SDY,20170324,,,,7.2,0
SDY,20170323,,,,7.2,0
SDY,20170322,,,,7.2,0
SDY,20170321,,,,7.2,0
SDY,20170320,7.2,7.2,7.2,7.2,100
SDY,20170317,,,,8,0
SDY,20170316,,,,8,0
SDY,20170315,,,,8,0
SDY,20170314,,,,8,0
SDY,20170313,,,,8,0
SDY,20170310,,,,8,0
SDY,20170309,,,,8,0
SDY,20170308,,,,8,0
SDY,20170307,,,,8,0
SDY,20170306,,,,8,0
SDY,20170303,,,,8,0
SDY,20170302,,,,8,0
SDY,20170301,,,,8,0
SDY,20170228,,,,8,0
SDY,20170227,,,,8,0
SDY,20170224,,,,8,0
SDY,20170223,,,,8,0
SDY,20170222,,,,8,0
SDY,20170221,,,,8,0
SDY,20170220,,,,8,0
SDY,20170217,,,,8,0
SDY,20170216,,,,8,0
SDY,20170215,,,,8,0
SDY,20170214,,,,8,0
SDY,20170213,,,,8,0
SDY,20170210,,,,8,0
SDY,20170209,,,,8,0
SDY,20170208,,,,8,0
SDY,20170207,,,,8,0
SDY,20170206,,,,8,0
SDY,20170203,,,,8,0
