<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SED,20180713,19.5,19.5,17.8,18.9,600
SED,20180712,,,,18.8,0
SED,20180711,17.9,18.8,17.9,18.8,600
SED,20180710,18.8,18.8,18.8,18.8,100
SED,20180709,18.9,18.9,18.9,18.9,300
SED,20180706,19.5,20.5,19.5,20.5,300
SED,20180705,,,,18.8,0
SED,20180704,19.2,20.5,18.2,18.8,1900
SED,20180703,18.2,19.9,18.2,19.9,1200
SED,20180702,,,,18.3,0
SED,20180629,17.8,18.3,17.8,18.3,1100
SED,20180628,18.4,18.4,18.4,18.4,100
SED,20180627,18.6,18.6,17.8,18,1700
SED,20180626,,,,18.3,0
SED,20180625,,,,18.3,0
SED,20180622,18.4,18.4,18.3,18.3,200
SED,20180621,17.8,17.8,17.8,17.8,5100
SED,20180620,18.6,18.6,18.6,18.6,3
SED,20180619,,,,18.6,0
SED,20180618,18.7,18.7,18,18.6,1400
SED,20180615,18.3,18.3,18,18,1800
SED,20180614,,,,19,0
SED,20180613,19,19,19,19,100
SED,20180612,17.7,18.9,17.7,18.9,300
SED,20180611,,,,19.2,0
SED,20180608,,,,19.2,0
SED,20180607,,,,19.2,0
SED,20180606,,,,19.2,0
SED,20180605,,,,19.2,0
SED,20180604,,,,19.2,0
SED,20180601,,,,19.2,0
SED,20180531,,,,19.2,0
SED,20180530,,,,19.2,0
SED,20180529,18.6,19.2,18.6,19.2,400
SED,20180528,,,,18.4,0
SED,20180525,18,18.4,18,18.4,200
SED,20180524,,,,18.4,0
SED,20180523,18.1,18.4,18,18.4,600
SED,20180522,18.2,18.5,18.1,18.5,1200
SED,20180521,18.3,18.3,18.3,18.3,100
SED,20180518,17.2,18.5,17.2,18.5,300
SED,20180517,18,18.5,17.3,18.5,3800
SED,20180516,,,,18.5,0
SED,20180515,18.6,18.6,18.5,18.5,600
SED,20180514,18.1,18.5,18.1,18.1,4100
SED,20180511,,,,18.6,0
SED,20180510,,,,18.6,0
