<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
^VN30,20170913,785.59,786.96,783.56,786.43,41147820,785.59,786.96,783.56,786.43,0,0,0
^VN30,20170912,777.55,783.58,775.81,782.54,44574497,777.55,783.58,775.81,782.54,0,0,0
^VN30,20170911,784.74,789.53,779.58,779.58,42957350,784.74,789.53,779.58,779.58,0,0,0
^VN30,20170908,780.62,786.85,779.20,784.74,38650890,780.62,786.85,779.20,784.74,0,0,0
^VN30,20170907,777.16,780.54,776.00,779.20,43800790,777.16,780.54,776.00,779.20,0,0,0
^VN30,20170906,776.87,777.99,772.63,776.97,40692560,776.87,777.99,772.63,776.97,0,0,0
^VN30,20170905,775.28,778.71,771.68,777.02,39811180,775.28,778.71,771.68,777.02,0,0,0
^VN30,20170901,770.08,774.76,770.08,774.06,38755420,770.08,774.76,770.08,774.06,0,0,0
^VN30,20170831,765.47,772.91,764.22,770.08,55318580,765.47,772.91,764.22,770.08,0,0,0
^VN30,20170830,756.49,764.57,754.59,764.57,36302490,756.49,764.57,754.59,764.57,0,0,0
^VN30,20170829,757.84,758.76,754.59,754.59,47014640,757.84,758.76,754.59,754.59,0,0,0
^VN30,20170828,751.59,758.02,749.20,758.02,52888505,751.59,758.02,749.20,758.02,0,0,0
^VN30,20170825,746.87,751.14,746.87,751.14,35046040,746.87,751.14,746.87,751.14,0,0,0
^VN30,20170824,743.23,749.82,742.34,747.72,36778910,743.23,749.82,742.34,747.72,0,0,0
^VN30,20170823,738.20,743.10,736.71,743.10,29879400,738.20,743.10,736.71,743.10,0,0,0
^VN30,20170822,743.86,743.86,736.88,738.20,33121000,743.86,743.86,736.88,738.20,0,0,0
^VN30,20170821,744.23,744.96,741.68,743.66,32651580,744.23,744.96,741.68,743.66,0,0,0
^VN30,20170818,743.20,745.91,739.31,744.30,36151825,743.20,745.91,739.31,744.30,0,0,0
^VN30,20170817,749.35,750.58,743.20,743.20,49411647,749.35,750.58,743.20,743.20,0,0,0
^VN30,20170816,746.07,749.37,741.57,749.37,46529548,746.07,749.37,741.57,749.37,0,0,0
^VN30,20170815,752.13,752.25,744.93,746.07,37240170,752.13,752.25,744.93,746.07,0,0,0
^VN30,20170814,744.72,751.39,744.45,751.39,43742992,744.72,751.39,744.45,751.39,0,0,0
^VN30,20170811,741.15,746.42,739.30,744.99,49086040,741.15,746.42,739.30,744.99,0,0,0
^VN30,20170810,737.72,745.34,737.72,743.42,42161540,737.72,745.34,737.72,743.42,0,0,0
^VN30,20170809,755.32,758.42,741.36,741.36,73871844,755.32,758.42,741.36,741.36,0,0,0
^VN30,20170808,764.70,764.70,757.47,758.42,49415730,764.70,764.70,757.47,758.42,0,0,0
^VN30,20170807,761.44,766.12,761.20,763.08,47426510,761.44,766.12,761.20,763.08,0,0,0
^VN30,20170804,757.79,761.44,757.79,761.44,50765038,757.79,761.44,757.79,761.44,0,0,0
^VN30,20170803,756.04,761.17,755.70,757.88,64675565,756.04,761.17,755.70,757.88,0,0,0
^VN30,20170802,753.85,759.52,750.75,756.04,63106700,753.85,759.52,750.75,756.04,0,0,0
^VN30,20170801,755.50,758.81,754.64,758.36,55288900,755.50,758.81,754.64,758.36,0,0,0
^VN30,20170731,748.88,756.24,747.61,756.24,71988890,748.88,756.24,747.61,756.24,0,0,0
^VN30,20170728,742.77,749.86,742.20,749.86,54910350,742.77,749.86,742.20,749.86,0,0,0
^VN30,20170727,744.50,747.08,741.96,743.70,36267820,744.50,747.08,741.96,743.70,0,0,0
^VN30,20170726,739.68,745.84,736.34,745.79,48498496,739.68,745.84,736.34,745.79,0,0,0
^VN30,20170725,727.79,737.93,727.79,737.93,40084624,727.79,737.93,727.79,737.93,0,0,0
^VN30,20170724,727.57,730.86,723.45,729.54,36933938,727.57,730.86,723.45,729.54,0,0,0
^VN30,20170721,737.37,739.48,728.47,728.47,47178617,737.37,739.48,728.47,728.47,0,0,0
^VN30,20170720,737.77,737.77,732.08,736.64,51008480,737.77,737.77,732.08,736.64,0,0,0
^VN30,20170719,745.44,745.73,737.77,737.77,61791560,745.44,745.73,737.77,737.77,0,0,0
^VN30,20170718,739.25,745.59,733.60,741.32,72732450,739.25,745.59,733.60,741.32,0,0,0
^VN30,20170717,758.53,759.97,741.66,745.59,83823370,758.53,759.97,741.66,745.59,0,0,0
^VN30,20170714,762.99,764.53,759.01,759.97,49885800,762.99,764.53,759.01,759.97,0,0,0
